method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
unitscope-equal,this-work,user-certified,primary,1,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.5,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,2.832489404330616,0.035028199999942444,0.0003782726598481453,0.0004359510307415502,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
unitscope-tuned,this-work,user-certified,primary,1,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,3.406280276281949,0.03470709999965038,0.0004035711563516483,0.0004683120898018982,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
naive-recalibrated-2c,this-work,user-certified,primary,1,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,2.832489404330616,0.06041910000203643,0.00022538578534539184,0.0004169511476478325,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
full-identity-reference,oracle,oracle-assumption,full-identity-reference,1,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.709739005623294,0.044572700004209764,0.0,3.2084292219098765e-05,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
non-private-reference,oracle,non-private,diagnostic,1,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.020922600000631064,0.0007473834350982828,0.0007473834350982828,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,1,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,5.664978808661232,0.03999850001127925,0.00022538578534539184,0.00028908417427751337,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
stable-local-fallback,this-work,user-certified,primary,2,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1747,1747,1.0,2.0831195578319823,0.026116699998965487,0.00036454808509396813,0.00045153245263558395,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
handle-only-drop-residual,this-work,user-certified,primary,2,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,1.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37378362907842017,0.37378362907842017,0.0,1306,0,0,1306,1.0,3.597003782480754,0.035391099998378195,0.00038269572066739334,0.0004624847009716121,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
unitscope-equal,this-work,user-certified,primary,2,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.5,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,0,1579,2885,1.0,2.574795284868961,0.035796900003333576,0.0003372770861092506,0.0004240309124848758,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
unitscope-tuned,this-work,user-certified,primary,2,7e05e7d37d8a89c8dde0936e51d2be4a5a53fc703e1d728564578c0ef278e9d4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,0,1579,2885,1.0,3.0605290423235485,0.03816050000023097,0.00034535483658904606,0.000428626239928968,fallback_bound,a4398fad5e3d9485a4d6bdc701067a2f42e0d0979d539b16fe6c9a0984ddb154,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.125,0.0625
