method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
unitscope-equal,this-work,user-certified,primary,1,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,4.587426056339373,0.032762900009402074,0.00038312313697375783,0.00040418799565051686,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,1,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,6.218988481681842,0.03228869999293238,0.00040357115635164867,0.0004310832230720332,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,1,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,5.17139446882083,0.031921100002364255,0.00022538578534539173,0.0002985184438180554,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,1,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,10.424509502823316,0.04033699999854434,0.0,9.62528766572963e-06,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,1,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.01893279999785591,0.0007473834350982829,0.0007473834350982829,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,1,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,10.34278893764166,0.032431600004201755,0.00022538578534539173,0.0002523268269159939,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,2,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,3.8032385726825475,0.02319619999616407,0.00036454808509396813,0.0004035028206364125,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,2,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37378362907842017,0.37378362907842017,0.0,1306,0,0,1306,1.0,6.567200370320381,0.03357780000078492,0.00038269572066739377,0.00041770938030993095,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,2,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,4.190562056047452,0.033599700007471256,0.00034814921556636046,0.00038824927961271174,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,2,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,5.587735981267636,0.03345160000026226,0.00034535483658904595,0.00038227589788301345,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,2,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,4.700911528268899,0.03236979999928735,0.0001814991695141461,0.0002392308126576984,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,2,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,9.54232617455116,0.040825699994456954,0.0,1.0522131853379088e-05,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,2,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.01879630000621546,0.0008851428222059767,0.0008851428222059767,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,2,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,9.401823056537799,0.03200720000313595,0.0001814991695141461,0.00019984285923254318,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,3,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1741,0,1741,1.0,4.1383658074525576,0.022515700009535067,0.0003839421354042367,0.0003879822271021852,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,3,ce4c61eebe5a89ca14355cc72dabae0b17fd904ea332a9dc7218d18aac26eb0b,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.3767949454336588,0.3767949454336588,0.0,1312,0,0,1312,1.0,7.453872751318314,0.03204219999315683,0.0003693225038897424,0.00037747108550327275,privacy_level,659b2993335bd8f482d64c183132538fed984917e05135f59b60d03b389ac22a,16.0,0.75,16.0,0.4061720840660698,2,2,0.375,0.0625,0.03125
