method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
unitscope-equal,this-work,user-certified,primary,1,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,2.5126367319440397,0.034265200010850094,0.00038312313697375783,0.0004360931328292665,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,1,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,3.4062802762819486,0.03241469999193214,0.00040357115635164867,0.0004683120898018987,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,1,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,2.8324894043306155,0.033356100000673905,0.00022538578534539173,0.00041695114764783253,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,1,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.709739005623295,0.042164800004684366,0.0,3.208429221909876e-05,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,1,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.01973800000268966,0.0007473834350982829,0.0007473834350982829,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,1,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,5.664978808661231,0.05589999999210704,0.00022538578534539173,0.00028908417427751337,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,2,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,2.0831195578319823,0.02291960000002291,0.00036454808509396813,0.0004515324526355839,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,2,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37378362907842017,0.37378362907842017,0.0,1306,0,0,1306,1.0,3.5970037824807535,0.03406920000270475,0.00038269572066739377,0.00046248470097161255,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,2,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,2.295265366722418,0.032356600000639446,0.00034814921556636046,0.0004372246572991211,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,2,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,3.060529042323549,0.033714799996232614,0.00034535483658904595,0.00042862623992896795,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,2,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,2.574795284868961,0.035030300001380965,0.0001814991695141461,0.0003503545520758825,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,2,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.22654729687365,0.0404802999983076,0.0,3.507377284459695e-05,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,2,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.01918160000059288,0.0008851428222059767,0.0008851428222059767,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,2,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,5.149590569737922,0.03260890000092331,0.0001814991695141461,0.00023085308795041737,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,3,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1741,0,1741,1.0,2.2666763039498465,0.02307519999158103,0.0003839421354042367,0.0004055408741501858,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,3,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.3767949454336588,0.3767949454336588,0.0,1312,0,0,1312,1.0,4.0826542466701365,0.07249409999349155,0.0003693225038897424,0.0003984222846491805,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,3,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3767949454336588,0.6232050545663412,1312,1550,0,2862,1.0,2.503549032040165,0.03372310000122525,0.0003622122011131044,0.00038719420375308265,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,3,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3767949454336588,0.6232050545663412,1312,1550,0,2862,1.0,3.4336123496934663,0.033549600004334934,0.00033589333043671513,0.0003634489444013558,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,3,6f271830c504d9e353b48199445cd74bef6f15cd4dae8e2a5bf88d1f12d6ed02,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.3767949454336588,0.6232050545663412,1312,1550,0,2862,1.0,2.8434538118340753,0.035069599995040335,0.00015793841693607873,0.00028426177745616976,privacy_level,362c0a07687138bcd7533d1ab0cffb289832bb8eb057411cd604738291479ddc,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.0625,0.03125
