method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
unitscope-equal,this-work,user-certified,primary,1,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,1.3261937805392061,0.03143850000924431,0.00038312313697375783,0.0005378632740058606,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,1,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,1.797867419411386,0.031667200004449114,0.00040357115635164867,0.0005806127779812311,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,1,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,1.4950150906056738,0.051014799988479353,0.00022538578534539173,0.0008058577928324316,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,1,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,3.013655042725201,0.040561000001616776,0.0,0.0001151696105378495,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,1,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.020166900008916855,0.0007473834350982829,0.0007473834350982829,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,1,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,2.9900301812113477,0.03210729999409523,0.00022538578534539173,0.0004004521785510622,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,2,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,1.0994904940273251,0.024785600005998276,0.00036454808509396813,0.0005887997067352136,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,2,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37378362907842017,0.37378362907842017,0.0,1306,0,0,1306,1.0,1.8985331163296137,0.035841599994455464,0.00038269572066739377,0.0005933147989062005,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,2,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,1.211463087893003,0.03557609999552369,0.00034814921556636046,0.0005763626336652507,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,2,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,1.6153766000024787,0.03659850000985898,0.00034535483658904595,0.000562571792275384,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,2,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,1.3590016612998153,0.03514469999936409,0.0001814991695141461,0.0007392126824942965,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,2,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,2.758621821724688,0.04249209999397863,0.0,0.00012590063483465866,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,2,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.018870999992941506,0.0008851428222059767,0.0008851428222059767,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,2,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,2.7180033225996305,0.03147399998852052,0.0001814991695141461,0.00033445529116956263,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,3,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1741,0,1741,1.0,1.1963735061964504,0.023883900008513592,0.0003839421354042367,0.00047816465758675957,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,3,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.3767949454336588,0.3767949454336588,0.0,1312,0,0,1312,1.0,2.1548640920475486,0.03364749999309424,0.0003693225038897424,0.0004777566699266686,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,3,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3767949454336588,0.6232050545663412,1312,1550,0,2862,1.0,1.3213972053165712,0.032893700001295656,0.0003622122011131044,0.00046284473159059997,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,3,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3767949454336588,0.6232050545663412,1312,1550,0,2862,1.0,1.8122935500600257,0.032366600004024804,0.00033589333043671513,0.00044140188313885486,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,3,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.3767949454336588,0.6232050545663412,1312,1550,0,2862,1.0,1.500802210109867,0.03291680000256747,0.00015793841693607873,0.0006104777658803608,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,3,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,3.0197232146997957,0.04170190000149887,0.0,0.00011288044587092517,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,3,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.0207294000138063,0.0008784625742730087,0.0008784625742730087,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,3,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.3767949454336588,0.6232050545663412,1312,1550,0,2862,1.0,3.001604420219734,0.0360794000007445,0.00015793841693607873,0.0002713276455372946,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,4,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.773,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1773,0,1773,1.0,1.0711396776708866,0.023044599991408177,0.00035218264277563446,0.00042111111038709194,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,4,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.773,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.3767625493513818,0.3767625493513818,0.0,1336,0,0,1336,1.0,2.0711853635392052,0.03414290001092013,0.0003700013493819434,0.00042674730363812365,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,4,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.773,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3767625493513818,0.6232374506486181,1336,1569,0,2905,1.0,1.217767225225033,0.036964499988243915,0.00032922794015073436,0.00039014051608437345,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,4,27b3f4e81201acedc9e59eec6ff20a869ad992378a99e63871c2a9b46b46dd66,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.773,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3767625493513818,0.6232374506486181,1336,1569,0,2905,1.0,1.7228064244454238,0.05464360000041779,0.0003213668534750342,0.0003796752908602616,privacy_level,b45eaec2ec6f6a1f66a48fca8553172df70d159aa74d7d95a343b96eefe4b0d7,4.0,0.75,4.0,1.4049865329972953,2,2,0.375,0.0625,0.03125
