method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
unitscope-equal,this-work,user-certified,primary,1,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,0.6842865867891434,0.057192799999029376,0.00038312313697375783,0.0008924028434971277,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,1,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,0.927659726641323,0.04219560000638012,0.00040357115635164867,0.0009560726514369531,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,1,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,0.7713946397281987,0.03667249999125488,0.00022538578534539173,0.002187911211237757,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,1,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,1.5549791841942313,0.047037900003488176,0.0,0.0004325893444112286,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,1,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.020237000004271977,0.0007473834350982829,0.0007473834350982829,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,1,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,1.5427892794563973,0.03245569999853615,0.00022538578534539173,0.0007740591538803459,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,2,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,0.5673127173460043,0.023721899997326545,0.00036454808509396813,0.001028055179492734,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
handle-only-drop-residual,this-work,user-certified,primary,2,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,1.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37378362907842017,0.37378362907842017,0.0,1306,0,0,1306,1.0,0.9796009943216145,0.03240130000631325,0.00038269572066739377,0.0010197820220500665,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
unitscope-equal,this-work,user-certified,primary,2,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,0.3333333333333333,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,0.6250880931580662,0.033568600003491156,0.00034814921556636046,0.0010193345399981664,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
unitscope-tuned,this-work,user-certified,primary,2,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,0.8334985099578135,0.03281360000255518,0.00034535483658904595,0.0009952282716151435,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
naive-recalibrated-2c,this-work,user-certified,primary,2,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,0.7012147258551665,0.03226979999453761,0.0001814991695141461,0.002177954769802222,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
full-identity-reference,oracle,oracle-assumption,full-identity-reference,2,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,1.4233876966777332,0.04103040001064073,0.0,0.0004728962165430227,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
non-private-reference,oracle,non-private,diagnostic,2,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.018584100005682558,0.0008851428222059767,0.0008851428222059767,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,2,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,1.402429451710333,0.057926499997847714,0.0001814991695141461,0.0007068307531151613,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
stable-local-fallback,this-work,user-certified,primary,3,db976d9d7f7d6e943af0e3ee8f179087dd7a2bd9b44d5d0fd02952516be6a04e,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1741,0,1741,1.0,0.6173022035643058,0.022114100007456727,0.0003839421354042367,0.0007717728125103678,privacy_level,93a52d74b65180b689ce2065c1634321eeb3326491fa8d2d3403e46f2959e485,2.0,0.75,2.0,2.7229591194317955,2,2,0.375,0.0625,0.03125
