method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
unitscope-equal,this-work,user-certified,primary,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.2,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,1.5075820391664239,0.034213299994007684,0.0005996532235499588,0.0006520985622051393,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
unitscope-tuned,this-work,user-certified,primary,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,3.2161314778015906,0.0352565999928629,0.00045642082818895803,0.0005221749000235796,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
naive-recalibrated-2c,this-work,user-certified,primary,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,2.4039958515537854,0.03392699999676552,0.00031042927461520355,0.0005100997439926175,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
full-identity-reference,oracle,oracle-assumption,full-identity-reference,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.709739005623294,0.041515499993693084,0.0,3.2084292219098765e-05,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
non-private-reference,oracle,non-private,diagnostic,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.02145559999917168,0.0007473834350982828,0.0007473834350982828,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,1540,0,2860,1.0,4.807991703107571,0.03420120000373572,0.00031042927461520355,0.0003781802170848118,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
stable-local-fallback,this-work,user-certified,primary,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,1.0415597789159912,0.02343829999153968,0.0006232759334675851,0.0007288449843958825,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
handle-only-drop-residual,this-work,user-certified,primary,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,1.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37378362907842017,0.37378362907842017,0.0,1306,0,0,1306,1.0,3.597003782480754,0.033636899999692105,0.00038269572066739334,0.0004624847009716121,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
unitscope-equal,this-work,user-certified,primary,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.2,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,1.3771592200334517,0.05970450000313576,0.0005477842586497497,0.0006508910174153977,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
unitscope-tuned,this-work,user-certified,primary,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,1579,0,2885,1.0,2.8749256495006956,0.03263600000354927,0.000391402773670937,0.0004784785597443524,fallback_bound,49012a7e34dcde496613c34e97466b291a10898b592606738cb83775db13c4fd,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
