method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,stage,cell_hash,target_epsilon,policy_lambda,achieved_epsilon,noise_multiplier,records_per_silo,handles_per_user,c_partial,c_local_atom,c_local_mixed
unitscope-equal,this-work,user-certified,primary,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.2,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,1.1329957617322464,0.0343014999962179,0.0007171204537110716,0.0007711868137812466,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
unitscope-tuned,this-work,user-certified,primary,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,3.1251929020094527,0.03428259999782313,0.0004845445534107484,0.0005508051944375556,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
naive-recalibrated-2c,this-work,user-certified,primary,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,2.206603547044085,0.033370999997714534,0.0003801332481002754,0.0005838562710151757,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
full-identity-reference,oracle,oracle-assumption,full-identity-reference,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.709739005623294,0.04105840000556782,0.0,3.2084292219098765e-05,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
non-private-reference,oracle,non-private,diagnostic,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.01880910000181757,0.0007473834350982828,0.0007473834350982828,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,1,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37779049799656556,0.6222095020034345,1320,0,1540,2860,1.0,4.41320709408817,0.032442099996842444,0.0003801332481002754,0.0004499104673386268,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
stable-local-fallback,this-work,user-certified,primary,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1747,1747,1.0,0.5207798894579956,0.023209199993289076,0.0007811771096214012,0.0008960385022430397,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
handle-only-drop-residual,this-work,user-certified,primary,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,1.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.37378362907842017,0.37378362907842017,0.0,1306,0,0,1306,1.0,3.597003782480754,0.03216230000543874,0.00038269572066739334,0.0004624847009716121,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
unitscope-equal,this-work,user-certified,primary,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.2,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,0,1579,2885,1.0,1.029918113947584,0.03290960000595078,0.0006539669325697699,0.0007631607037090074,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
unitscope-tuned,this-work,user-certified,primary,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,0,1579,2885,1.0,2.785183073614817,0.03436179998971056,0.0004159302681432241,0.0005049082455833863,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
naive-recalibrated-2c,this-work,user-certified,primary,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.37378362907842017,0.6262163709215799,1306,0,1579,2885,1.0,1.977847154931488,0.03659000000334345,0.0003083401679776168,0.0005228481433412746,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
full-identity-reference,oracle,oracle-assumption,full-identity-reference,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.22654729687365,0.07278800000494812,0.0,3.507377284459695e-05,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
non-private-reference,oracle,non-private,diagnostic,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.02026540000224486,0.0008851428222059767,0.0008851428222059767,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,2,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.37378362907842017,0.6262163709215799,1306,0,1579,2885,1.0,3.955694309862976,0.034254699989105575,0.0003083401679776168,0.0003805203828148487,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
stable-local-fallback,this-work,user-certified,primary,3,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1741,1741,1.0,0.5666690759874615,0.02352289999544155,0.0008376863338719319,0.0008583168565627556,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
handle-only-drop-residual,this-work,user-certified,primary,3,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,1.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,0.3767949454336588,0.3767949454336588,0.0,1312,0,0,1312,1.0,4.082654246670134,0.03251460001047235,0.00036932250388974216,0.0003984222846491803,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
unitscope-equal,this-work,user-certified,primary,3,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.2,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3767949454336588,0.6232050545663412,1312,0,1550,2862,1.0,1.1373815247336299,0.03435919999901671,0.0006923268239060243,0.0007149160731774306,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
unitscope-tuned,this-work,user-certified,primary,3,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3767949454336588,0.6232050545663412,1312,0,1550,2862,1.0,3.151201050311541,0.03488999999535736,0.0004094597698488947,0.00043652500951832276,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
naive-recalibrated-2c,this-work,user-certified,primary,3,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.3767949454336588,0.6232050545663412,1312,0,1550,2862,1.0,2.224811748934872,0.03660920000402257,0.00029172395675312955,0.0004141243229115211,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
full-identity-reference,oracle,oracle-assumption,full-identity-reference,3,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,0,0,0,1000,1.0,5.7212359014939125,0.043479100000695325,0.0,3.144656992614111e-05,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
non-private-reference,oracle,non-private,diagnostic,3,8f9125a9cf953a892e66855c71b3e1fdf7a4658f439095d9dd1ea5c118d63bbf,,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.741,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,,,non-private,0.0,1.0,0.0,0.0,0,0,0,0,0.0,inf,0.021289700001943856,0.0008784625742730089,0.0008784625742730089,fallback_bound,b7d5911d6ac197caf61031d73c0a345fd6e5aeff70b10443ab9c8f6ab97fa320,8.0,0.75,8.0,0.7415653755729036,2,2,0.375,0.03125,0.015625
