dataset,pairs,refined_mean,handle_mean,stable_mean,refined_minus_handle,rmh_ci_lower,rmh_ci_upper,ci_contains_zero,noninferior_margin_pass,gain_over_stable,gain_ci_lower,gain_ci_upper,fixed_gain_frozen,gain_retention,retention_ge_90pct,fixed_gap_frozen,observed_gap_shrink_fraction,predicted_gap_shrink_fraction,shrink_prediction_deviation
femnist,10,0.14740169642857143,0.14746419642857145,0.12845080357142855,-6.250000000000561e-05,-0.0019375000000000058,0.0018593749999999923,True,True,0.018950892857142857,0.0030243303571428617,0.030875334821428537,0.02430441964285714,0.7797303180087397,False,-0.003255580357142857,0.9808021940349657,0.8,0.18080219403496567
synthea,10,0.22518729145457902,0.22588122873168728,0.19658009680718252,-0.0006939372771082337,-0.0009016448803546051,-0.0005159197636134906,False,True,0.028607194647396583,0.022025727545112582,0.03502603600388156,0.041557510227443306,0.6883760478149451,False,-0.004032543488568202,0.8279157362901439,0.8,0.027915736290143878
