threshold,K,mean_d_w_empirical,p95_d_w_empirical,p99_d_w_empirical,max_d_w_empirical,max_changed_surviving_nodes,max_component_size,max_degree_observed,kappa_hc_conservative_observed_degree,worst_entity_id,fraction_d_w_le_4,fraction_d_w_le_8,fraction_d_w_le_16,pair_precision,pair_recall,pair_f1,predicted_pairs,true_positive_pairs,total_true_pairs,exact_multi_entity_recovery,disclaimer
0.72,2,1.28525,4.0,5.0,8,2,15,8,228,2321,0.98275,1.0,1.0,0.6166666666666667,0.05739400206825233,0.10501419110690635,180,111,1934,0.24532710280373832,empirical deletion recourse is not a deterministic certificate
0.72,4,1.177,2.0,6.0,9,6,15,8,444,581,0.97725,0.999,1.0,0.8770491803278688,0.5532574974146846,0.6785034876347494,1220,1070,1934,0.7453271028037384,empirical deletion recourse is not a deterministic certificate
0.72,8,1.095,2.0,2.0,14,10,15,8,876,3075,0.9975,0.99775,1.0,0.9148622047244095,0.9612202688728024,0.9374684820978315,2032,1859,1934,0.9205607476635514,empirical deletion recourse is not a deterministic certificate
0.72,16,1.0765,2.0,2.0,5,7,15,8,1740,2918,0.99975,1.0,1.0,0.9011516314779271,0.9710444674250258,0.9347934295669488,2084,1878,1934,0.9228971962616822,empirical deletion recourse is not a deterministic certificate
0.72,32,1.0765,2.0,2.0,5,7,15,8,3468,2918,0.99975,1.0,1.0,0.9011516314779271,0.9710444674250258,0.9347934295669488,2084,1878,1934,0.9228971962616822,empirical deletion recourse is not a deterministic certificate
0.76,2,1.23625,3.0,5.0,6,2,6,5,156,2460,0.9835,1.0,1.0,0.8201438848920863,0.05894519131334023,0.10998552821997107,139,114,1934,0.2523364485981308,empirical deletion recourse is not a deterministic certificate
0.76,4,1.09125,1.0,5.0,6,4,6,5,300,2923,0.984,1.0,1.0,0.9671163575042159,0.5930713547052741,0.7352564102564102,1186,1147,1934,0.7897196261682243,empirical deletion recourse is not a deterministic certificate
0.76,8,1.022,1.0,2.0,3,4,6,5,588,2918,1.0,1.0,1.0,0.977510460251046,0.9663908996897621,0.9719188767550703,1912,1869,1934,0.9322429906542056,empirical deletion recourse is not a deterministic certificate
0.76,16,1.022,1.0,2.0,3,4,6,5,1164,2918,1.0,1.0,1.0,0.977510460251046,0.9663908996897621,0.9719188767550703,1912,1869,1934,0.9322429906542056,empirical deletion recourse is not a deterministic certificate
0.76,32,1.022,1.0,2.0,3,4,6,5,2316,2918,1.0,1.0,1.0,0.977510460251046,0.9663908996897621,0.9719188767550703,1912,1869,1934,0.9322429906542056,empirical deletion recourse is not a deterministic certificate
0.8,2,1.22125,3.0,5.0,6,1,6,5,156,2460,0.9835,1.0,1.0,0.9834710743801653,0.06153050672182006,0.11581508515815085,121,119,1934,0.24766355140186916,empirical deletion recourse is not a deterministic certificate
0.8,4,1.073,1.0,5.0,6,1,6,5,300,2460,0.9855,1.0,1.0,0.9982832618025751,0.6013443640124095,0.7505646982897709,1165,1163,1934,0.7757009345794392,empirical deletion recourse is not a deterministic certificate
0.8,8,1.01125,1.0,2.0,2,1,6,5,588,2608,1.0,1.0,1.0,0.9989010989010989,0.9400206825232679,0.9685668620138519,1820,1818,1934,0.9042056074766355,empirical deletion recourse is not a deterministic certificate
0.8,16,1.01125,1.0,2.0,2,1,6,5,1164,2608,1.0,1.0,1.0,0.9989010989010989,0.9400206825232679,0.9685668620138519,1820,1818,1934,0.9042056074766355,empirical deletion recourse is not a deterministic certificate
