threshold,K,entity_id,deleted_atoms,touched_original_components,touched_original_nodes,deleted_group_tags,inserted_group_tags,d_w_empirical,changed_surviving_nodes
0.72,2,2778,1,1,1,1,0,1,0
0.72,2,712,4,1,4,4,0,4,0
0.72,2,1321,1,1,1,1,0,1,0
0.72,2,3004,1,1,1,1,0,1,0
0.72,2,1384,1,1,1,1,0,1,0
0.72,2,3981,1,1,1,1,0,1,0
0.72,2,916,1,1,1,1,0,1,0
0.72,2,1684,4,1,4,4,0,4,0
0.72,2,63,3,1,3,3,0,3,0
0.72,2,3808,1,1,1,1,0,1,0
0.72,2,112,2,1,2,1,0,1,0
0.72,2,3297,1,1,1,1,0,1,0
0.72,2,1315,1,1,1,1,0,1,0
0.72,2,1050,1,1,1,1,0,1,0
0.72,2,2116,1,1,1,1,0,1,0
0.72,2,3232,1,1,1,1,0,1,0
0.72,2,1900,4,1,4,4,0,4,0
0.72,2,2460,6,1,6,6,0,6,0
0.72,2,3123,2,1,2,1,0,1,0
0.72,2,2166,1,1,1,1,0,1,0
0.72,2,1155,1,1,3,3,1,4,2
0.72,2,1485,1,1,1,1,0,1,0
0.72,2,2852,3,2,3,2,0,2,0
0.72,2,707,1,1,1,1,0,1,0
0.72,2,3499,1,1,1,1,0,1,0
0.72,2,2153,1,1,1,1,0,1,0
0.72,2,1665,5,1,5,5,0,5,0
0.72,2,35,4,1,5,4,0,4,0
0.72,2,78,1,1,1,1,0,1,0
0.72,2,3116,1,1,1,1,0,1,0
0.72,2,3103,1,1,1,1,0,1,0
0.72,2,500,1,1,1,1,0,1,0
0.72,2,3594,1,1,1,1,0,1,0
0.72,2,3552,1,1,1,1,0,1,0
0.72,2,248,1,1,1,1,0,1,0
0.72,2,2564,1,1,1,1,0,1,0
0.72,2,386,3,1,4,3,0,3,0
0.72,2,847,1,1,1,1,0,1,0
0.72,2,1425,1,1,1,1,0,1,0
0.72,2,1428,1,1,1,1,0,1,0
0.72,2,2376,1,1,1,1,0,1,0
0.72,2,901,3,1,3,3,0,3,0
0.72,2,833,3,1,3,3,0,3,0
0.72,2,2499,1,1,1,1,0,1,0
0.72,2,937,1,1,1,1,0,1,0
0.72,2,1372,1,1,1,1,0,1,0
0.72,2,3443,1,1,1,1,0,1,0
0.72,2,685,1,1,1,1,0,1,0
0.72,2,644,2,1,2,1,0,1,0
0.72,2,1728,1,1,1,1,0,1,0
0.72,2,954,3,2,3,2,0,2,0
0.72,2,209,2,2,2,2,0,2,0
0.72,2,401,1,1,1,1,0,1,0
0.72,2,897,1,1,1,1,0,1,0
0.72,2,2647,1,1,1,1,0,1,0
0.72,2,450,1,1,1,1,0,1,0
0.72,2,519,1,1,1,1,0,1,0
0.72,2,444,1,1,1,1,0,1,0
0.72,2,2222,1,1,1,1,0,1,0
0.72,2,313,1,1,1,1,0,1,0
0.72,2,1442,4,1,5,4,0,4,0
0.72,2,3686,1,1,1,1,0,1,0
0.72,2,936,1,1,1,1,0,1,0
0.72,2,3176,1,1,1,1,0,1,0
0.72,2,13,1,1,1,1,0,1,0
0.72,2,968,1,1,1,1,0,1,0
0.72,2,2770,1,1,1,1,0,1,0
0.72,2,669,1,1,1,1,0,1,0
0.72,2,923,2,1,2,1,0,1,0
0.72,2,3641,1,1,1,1,0,1,0
0.72,2,2784,1,1,1,1,0,1,0
0.72,2,3371,1,1,1,1,0,1,0
0.72,2,651,6,1,6,6,0,6,0
0.72,2,3619,1,1,1,1,0,1,0
0.72,2,2777,1,1,1,1,0,1,0
0.72,2,844,1,1,1,1,0,1,0
0.72,2,259,1,1,1,1,0,1,0
0.72,2,1441,1,1,1,1,0,1,0
0.72,2,723,1,1,1,1,0,1,0
0.72,2,1874,1,1,1,1,0,1,0
0.72,2,1496,1,1,3,3,1,4,2
0.72,2,2691,5,1,5,5,0,5,0
0.72,2,892,5,1,5,5,0,5,0
0.72,2,2633,5,2,5,5,0,5,0
0.72,2,874,5,1,5,5,0,5,0
0.72,2,1378,1,1,1,1,0,1,0
0.72,2,891,5,1,5,5,0,5,0
0.72,2,157,1,1,1,1,0,1,0
0.72,2,3574,2,1,2,1,0,1,0
0.72,2,984,1,1,1,1,0,1,0
0.72,2,106,3,1,3,3,0,3,0
0.72,2,442,1,1,1,1,0,1,0
0.72,2,328,1,1,1,1,0,1,0
0.72,2,457,1,1,1,1,0,1,0
0.72,2,1894,5,1,5,5,0,5,0
0.72,2,3042,1,1,1,1,0,1,0
0.72,2,2964,1,1,1,1,0,1,0
0.72,2,203,1,1,1,1,0,1,0
0.72,2,2727,1,1,1,1,0,1,0
0.72,2,294,1,1,1,1,0,1,0
0.72,2,2391,1,1,1,1,0,1,0
0.72,2,1178,1,1,1,1,0,1,0
0.72,2,1166,1,1,1,1,0,1,0
0.72,2,243,1,1,1,1,0,1,0
0.72,2,2131,1,1,1,1,0,1,0
0.72,2,236,2,1,2,1,0,1,0
0.72,2,2889,4,1,4,4,0,4,0
0.72,2,1388,1,1,1,1,0,1,0
0.72,2,3792,1,1,1,1,0,1,0
0.72,2,3277,1,1,1,1,0,1,0
0.72,2,189,1,1,1,1,0,1,0
0.72,2,2627,1,1,1,1,0,1,0
0.72,2,2254,4,1,4,4,0,4,0
0.72,2,3762,1,1,1,1,0,1,0
0.72,2,1211,1,1,1,1,0,1,0
0.72,2,2765,1,1,1,1,0,1,0
0.72,2,1959,1,1,2,1,1,2,1
0.72,2,807,2,1,2,1,0,1,0
0.72,2,1233,1,1,1,1,0,1,0
0.72,2,718,1,1,1,1,0,1,0
0.72,2,3707,4,1,4,4,0,4,0
0.72,2,2439,3,1,3,3,0,3,0
0.72,2,2244,1,1,1,1,0,1,0
0.72,2,813,1,1,1,1,0,1,0
0.72,2,2109,1,1,12,1,0,1,0
0.72,2,1583,1,1,1,1,0,1,0
0.72,2,181,1,1,1,1,0,1,0
0.72,2,843,1,1,1,1,0,1,0
0.72,2,2398,1,1,1,1,0,1,0
0.72,2,3861,1,1,1,1,0,1,0
0.72,2,172,1,1,1,1,0,1,0
0.72,2,3835,1,1,1,1,0,1,0
0.72,2,2925,5,1,5,5,0,5,0
0.72,2,3284,4,1,4,4,0,4,0
0.72,2,3295,1,1,1,1,0,1,0
0.72,2,3316,1,1,1,1,0,1,0
0.72,2,466,2,1,2,1,0,1,0
0.72,2,310,1,1,1,1,0,1,0
0.72,2,3437,1,1,1,1,0,1,0
0.72,2,1591,1,1,1,1,0,1,0
0.72,2,2496,5,1,5,5,0,5,0
