epsilon,route,releases,mse,mse_ci_lower,mse_ci_upper,absolute_relative_error,absolute_relative_error_ci_lower,absolute_relative_error_ci_upper
1.0,stable-local,10,23137.826422453887,22949.404025637923,23358.972500909877,0.15180379319614143,0.1511868038589474,0.1525247157121609
1.0,naive-2c,10,4.7063382545553525,0.635946868064616,11.098561917564014,0.0014636612222412434,0.0006145343344078156,0.0025764114012588038
1.0,unitscope,10,1.1765845636388574,0.15898671701616626,2.774640479391021,0.0007318306111206387,0.00030726716720390736,0.0012882057006293971
4.0,stable-local,10,23112.235996007777,23065.219077946145,23167.185327017403,0.15172340338885568,0.15156915605455717,0.15190363401786056
4.0,naive-2c,10,0.29414614090971647,0.039746679254031525,0.693660119847783,0.0003659153055603024,0.00015363358360193723,0.0006441028503146981
4.0,unitscope,10,0.07353653522743095,0.009936669813512457,0.1734150299619502,0.00018295765278016256,7.681679180097967e-05,0.00032205142515736055
16.0,stable-local,10,23106.04521090159,23094.296860612427,23119.772066085938,0.15170330593703427,0.15166474410345968,0.1517483635942855
16.0,naive-2c,10,0.01838413380685682,0.002484167453377896,0.04335375749048677,9.14788263900756e-05,3.840839590048956e-05,0.00016102571257868
16.0,unitscope,10,0.004596033451715412,0.0006210418633441661,0.010838439372622898,4.573941319504348e-05,1.9204197950238962e-05,8.051285628934042e-05
