seed,epsilon,route,reference_person_count,deterministic_count,sensitivity,standard_laplace,noise,release,error,squared_error,absolute_relative_error
42001,1.0,stable-local,1002,1154,1.0,0.31081979412291333,0.31081979412291333,1154.3108197941228,152.31081979412284,23198.58582635776,0.15200680618175932
42001,1.0,naive-2c,1002,1002,2.0,0.31081979412291333,0.6216395882458267,1002.6216395882458,0.6216395882457846,0.3864357776743886,0.0006203987906644557
42001,1.0,unitscope,1002,1002,1.0,0.31081979412291333,0.31081979412291333,1002.310819794123,0.31081979412294913,0.09660894441863248,0.0003101993953322846
42001,4.0,stable-local,1002,1154,1.0,0.31081979412291333,0.07770494853072833,1154.0777049485307,152.0777049485307,23127.62834241236,0.1517741566352602
42001,4.0,naive-2c,1002,1002,2.0,0.31081979412291333,0.15540989706145666,1002.1554098970614,0.15540989706141772,0.024152236104640453,0.00015509969766608556
42001,4.0,unitscope,1002,1002,1.0,0.31081979412291333,0.07770494853072833,1002.0777049485307,0.07770494853070886,0.006038059026160113,7.754984883304278e-05
42001,16.0,stable-local,1002,1154,1.0,0.31081979412291333,0.019426237132682083,1154.0194262371326,152.01942623713262,23109.905953467005,0.15171599424863536
42001,16.0,naive-2c,1002,1002,2.0,0.31081979412291333,0.038852474265364166,1002.0388524742654,0.03885247426535443,0.0015095147565400283,3.877492441652139e-05
42001,16.0,unitscope,1002,1002,1.0,0.31081979412291333,0.019426237132682083,1002.0194262371327,0.01942623713273406,0.0003773786891372156,1.9387462208317423e-05
42002,1.0,stable-local,1002,1154,1.0,0.23619691412206095,0.23619691412206095,1154.236196914122,152.23619691412205,23175.859650875344,0.1519323322496228
42002,1.0,naive-2c,1002,1002,2.0,0.23619691412206095,0.4723938282441219,1002.4723938282441,0.47239382824409404,0.22315592896311062,0.0004714509263913114
42002,1.0,unitscope,1002,1002,1.0,0.23619691412206095,0.23619691412206095,1002.236196914122,0.23619691412204702,0.055788982240777656,0.0002357254631956557
42002,4.0,stable-local,1002,1154,1.0,0.23619691412206095,0.05904922853051524,1154.0590492285305,152.0590492285305,23121.954452284666,0.15175553815222606
42002,4.0,naive-2c,1002,1002,2.0,0.23619691412206095,0.11809845706103048,1002.118098457061,0.11809845706102351,0.013947245560194414,0.00011786273159782786
42002,4.0,unitscope,1002,1002,1.0,0.23619691412206095,0.05904922853051524,1002.0590492285305,0.059049228530511755,0.0034868113900486035,5.893136579891393e-05
42002,16.0,stable-local,1002,1154,1.0,0.23619691412206095,0.01476230713262881,1154.0147623071327,152.01476230713274,23108.487959294067,0.151711339627877
42002,16.0,naive-2c,1002,1002,2.0,0.23619691412206095,0.02952461426525762,1002.0295246142653,0.029524614265255877,0.0008717028475121509,2.9465682899456964e-05
42002,16.0,unitscope,1002,1002,1.0,0.23619691412206095,0.01476230713262881,1002.0147623071326,0.014762307132627939,0.00021792571187803772,1.4732841449728482e-05
42003,1.0,stable-local,1002,1154,1.0,-0.6788157946965044,-0.6788157946965044,1153.3211842053036,151.32118420530355,22898.100789295408,0.1510191459134766
42003,1.0,naive-2c,1002,1002,2.0,-0.6788157946965044,-1.3576315893930089,1000.642368410607,-1.3576315893930087,1.8431635325177869,0.0013549217459012063
42003,1.0,unitscope,1002,1002,1.0,-0.6788157946965044,-0.6788157946965044,1001.3211842053034,-0.6788157946965612,0.4607908831295239,0.0006774608729506598
42003,4.0,stable-local,1002,1154,1.0,-0.6788157946965044,-0.1697039486741261,1153.8302960513258,151.83029605132583,23052.438799033247,0.15152724156818945
42003,4.0,naive-2c,1002,1002,2.0,-0.6788157946965044,-0.3394078973482522,1001.6605921026518,-0.33940789734822374,0.11519772078234239,0.0003387304364752732
42003,4.0,unitscope,1002,1002,1.0,-0.6788157946965044,-0.1697039486741261,1001.8302960513258,-0.16970394867416871,0.02879943019560489,0.00016936521823769334
42003,16.0,stable-local,1002,1154,1.0,-0.6788157946965044,-0.04242598716853153,1153.9575740128314,151.9575740128314,23091.104299865132,0.15165426548186767
42003,16.0,naive-2c,1002,1002,2.0,-0.6788157946965044,-0.08485197433706305,1001.9151480256629,-0.08485197433708436,0.007199857548901223,8.468260911884667e-05
42003,16.0,unitscope,1002,1002,1.0,-0.6788157946965044,-0.04242598716853153,1001.9575740128315,-0.042425987168485335,0.0017999643872204823,4.2341304559366604e-05
