seed,scenario,expected_valid,actual_valid,expected_route,actual_route,partial_units,local_units,noise_sensitivity,errors,pass
7,single-invalid-handle,True,True,fallback,fallback,327,394,1.0,,True
7,institution-nonresponse,True,True,fallback,fallback,0,439,1.0,,True
7,cross-domain-replay,False,False,reject,reject,328,394,1.0,evidence domain/epoch does not match public config,True
7,expired-epoch,False,False,reject,reject,328,394,1.0,evidence domain/epoch does not match public config,True
7,unregistered-claim,False,False,reject,reject,328,394,1.0,partial claim unregistered-claim is not in the frozen registry | record r-2f94c90560808d1ababf is covered by multiple identity claims,True
7,handle-quota-exceeded,False,False,reject,reject,328,394,1.0,partial claim partial-00388a5bdda57471 exceeds frozen H=2,True
7,record-count-mismatch,False,False,reject,reject,328,394,1.0,partial claim partial-00388a5bdda57471 references records outside the frozen universe,True
7,overlapping-claims,False,False,reject,reject,328,394,1.0,record r-2f94c90560808d1ababf is covered by multiple identity claims,True
8,valid-control,True,True,accept,accept,325,385,1.0,,True
8,single-invalid-handle,True,True,fallback,fallback,324,385,1.0,,True
8,institution-nonresponse,True,True,fallback,fallback,0,433,1.0,,True
8,cross-domain-replay,False,False,reject,reject,325,385,1.0,evidence domain/epoch does not match public config,True
8,expired-epoch,False,False,reject,reject,325,385,1.0,evidence domain/epoch does not match public config,True
8,unregistered-claim,False,False,reject,reject,325,385,1.0,partial claim unregistered-claim is not in the frozen registry | record r-070784aa6c0af6423b64 is covered by multiple identity claims,True
8,handle-quota-exceeded,False,False,reject,reject,325,385,1.0,partial claim partial-01d09e437e2d1df4 exceeds frozen H=2,True
8,record-count-mismatch,False,False,reject,reject,325,385,1.0,partial claim partial-01d09e437e2d1df4 references records outside the frozen universe,True
8,overlapping-claims,False,False,reject,reject,325,385,1.0,record r-070784aa6c0af6423b64 is covered by multiple identity claims,True
9,valid-control,True,True,accept,accept,330,388,1.0,,True
9,single-invalid-handle,True,True,fallback,fallback,329,389,1.0,,True
9,institution-nonresponse,True,True,fallback,fallback,0,440,1.0,,True
9,cross-domain-replay,False,False,reject,reject,330,388,1.0,evidence domain/epoch does not match public config,True
9,expired-epoch,False,False,reject,reject,330,388,1.0,evidence domain/epoch does not match public config,True
9,unregistered-claim,False,False,reject,reject,330,388,1.0,partial claim unregistered-claim is not in the frozen registry | record r-8b9029096357a665b7f0 is covered by multiple identity claims,True
9,handle-quota-exceeded,False,False,reject,reject,330,388,1.0,partial claim partial-003b4fd7cbebd885 exceeds frozen H=2,True
9,record-count-mismatch,False,False,reject,reject,330,388,1.0,partial claim partial-003b4fd7cbebd885 references records outside the frozen universe,True
9,overlapping-claims,False,False,reject,reject,330,388,1.0,record r-8b9029096357a665b7f0 is covered by multiple identity claims,True
