B,C,H,aggregate_snr,certificate_type,certified_sensitivity,clip_fraction,comparison_tier,complete_units,config_hash,contributing_record_gradient_evaluations,dataset,delta,diagnostic_gradient_seconds,diagnostic_record_gradient_evaluations,dropped_units,effective_record_utilization,epsilon,evidence_seed,evidence_view,gradient_distortion_l2,group_gradient_evaluations,handle_users_fully_covered_fraction,handle_users_with_residual_fraction,implementation_provenance,lambda,local_atom_units,local_mixed_units,manifest_hash,mean_residual_records_per_handle_user,method,metric_name,metric_value,noise_multiplier,noise_seed,noise_sensitivity,noisy_releases,non_dummy_record_gradient_evaluations,oracle_audit_seconds,overlap_probability,partial_clip_fraction,partial_gradient_distortion_l2,partial_handle_record_fraction,partial_handle_units,patient_or_user_auprc,plan_config_hash,privacy_semantics,public_normalizer,q_record_given_handle,q_record_given_handle_pooled,q_record_given_handle_requested,q_record_total,q_user,q_user_requested,realized_overlap_fraction,record_gradient_evaluations,residual_clip_fraction,residual_gradient_distortion_l2,residual_record_fraction,run_id,sample_accuracy,scenario,schedule_seed,seed,split_seed,structural_sensitivity_bound,topology_seed,user_macro_accuracy,validation_pass,wall_time_seconds,frontier_source
6,1.0,1,0.0023007466052031005,plan-c,1.0,0.9999999976158143,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.7237786546349525,20480,0.0,1.0,this-work,0.0,1657,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,stable-local-fallback,user_macro_accuracy,0.18042613636363636,9.214933748786253,101005,1.0,50,25600,0.06540070004120935,0.5,0.0,0.0,0.0,0,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999976158143,0.7237786546349525,1.0,50569cd60399cb01b79c3af9543c438b41fe3e1a182cd5604b4babfe133e375c,0.18012227621884308,controlled-middle,31011,7,31001,1.0,31002,0.18042613636363636,True,16.565424299958977,lambda=0 endpoint
6,1.0,1,0.002669728626844737,plan-c,1.0,0.9999999988079071,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.7593414221704006,20572,0.0,1.0,this-work,0.0,1657,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,stable-local-fallback,user_macro_accuracy,0.11421875,9.214933748786253,121005,1.0,50,25600,0.06496890001290012,0.5,0.0,0.0,0.0,0,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999988079071,0.7593414221704006,1.0,560a4edc64d928706b1f39e60afce067bd0703860f3a3bcaf0490b61d755206e,0.11459476406960338,controlled-middle,31013,9,31001,1.0,31002,0.11421875,True,16.5300062999886,lambda=0 endpoint
6,1.0,1,0.0021049758358376498,plan-c,1.0,0.9999999761581421,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.8037408320605754,21270,0.0,1.0,this-work,0.14285714285714285,1655,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,unitscope-equal,user_macro_accuracy,0.1674715909090909,9.214933748786253,51005,1.0,50,25600,0.07166809996124357,0.5,0.9999999845027924,0.2563423303514719,0.25203125,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999940395355,0.6015791840851307,0.74796875,5a8edf93403aa7ee8a324bc744419548e69d28c1943f138196a48e8780736042,0.16742436118513873,controlled-middle,31006,2,31001,1.0,31002,0.1674715909090909,True,23.85774470002798,equal-allocation ablation
6,1.0,1,0.004578749941339044,plan-c,1.0,0.9999999856948852,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,6414,femnist,1e-05,11.199663699968369,25600,1655,0.250546875,4.0,31003,controlled,0.9426310685276985,5346,0.0,1.0,this-work,1.0,0,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,handle-only-drop-residual,user_macro_accuracy,0.10842329545454545,9.214933748786253,61005,1.0,50,6414,0.06853409997711424,0.5,0.9999999856948852,0.27026795882731675,0.250546875,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.0,0.723152299374342,0.0,5de2c20cb2e0a8371112cbcfbb015c7c2d1613c48a900053f1564f5871202b8e,0.10848095312744944,controlled-middle,31007,3,31001,1.0,31002,0.10842329545454545,True,22.46238400004222,lambda=1 endpoint
6,1.0,1,0.0025435928684800794,plan-c,1.0,0.9999999749660492,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,1.156693373322487,21302,0.0,1.0,this-work,0.14285714285714285,1655,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,unitscope-equal,user_macro_accuracy,0.0690625,9.214933748786253,91005,1.0,50,25600,0.06283870001789182,0.5,0.9999999856948852,0.3294661101698875,0.250546875,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999904632568,0.8794875213503838,0.749453125,63c8d9fa6a8983c5dabd0d12e76ff80079be986b8f335884d7070029d36e7dac,0.06928985734441134,controlled-middle,31010,6,31001,1.0,31002,0.0690625,True,20.017947799991816,equal-allocation ablation
6,1.0,1,0.0023704412333492996,plan-c,1.0,0.9999999761581421,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.872447595000267,21385,0.0,1.0,this-work,0.14285714285714285,1655,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,unitscope-equal,user_macro_accuracy,0.1600994318181818,9.214933748786253,31005,1.0,50,25600,0.06725989998085424,0.5,0.9999999856948852,0.2578133123368025,0.253515625,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999868869781,0.6578872586786747,0.746484375,75bf2289e946d3fa48a3d9f8c663203e5fc2eec296763b96967a7b74b0280100,0.15942937764539897,controlled-middle,31004,0,31001,1.0,31002,0.1600994318181818,True,25.15196920002927,equal-allocation ablation
6,1.0,1,0.0025329224006973134,plan-c,1.0,0.9999999964237213,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,1.0679697307944298,20659,0.0,1.0,this-work,0.0,1657,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,stable-local-fallback,user_macro_accuracy,0.11873579545454545,9.214933748786253,61005,1.0,50,25600,0.06416570002329536,0.5,0.0,0.0,0.0,0,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999964237213,1.0679697307944298,1.0,7783f0a992099b8e0199078e18743c37514d4b85f80007150413cf05c0eb6005,0.1188274024141715,controlled-middle,31007,3,31001,1.0,31002,0.11873579545454545,True,16.318403899975237,lambda=0 endpoint
6,1.0,1,0.0022020851269019125,plan-c,1.0,0.9999999797344208,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.7492916612327098,21283,0.0,1.0,this-work,0.14285714285714285,1655,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,unitscope-equal,user_macro_accuracy,0.07748579545454545,9.214933748786253,111005,1.0,50,25600,0.06745869998121634,0.5,0.9999999868869781,0.23130207173526288,0.2526171875,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999928474427,0.5708404690027237,0.7473828125,7c1211ea65f6f8c448e12286f69253883801ee7252cbce916b63cf59dfd58186,0.07744160526728328,controlled-middle,31012,8,31001,1.0,31002,0.07748579545454545,True,23.876430200019968,equal-allocation ablation
6,1.0,1,0.00246700771795149,plan-c,1.0,0.9999999928474427,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.7288152794539928,20533,0.0,1.0,this-work,0.0,1657,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,stable-local-fallback,user_macro_accuracy,0.0771875,9.214933748786253,111005,1.0,50,25600,0.06278670005849563,0.5,0.0,0.0,0.0,0,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.9999999928474427,0.7288152794539928,1.0,7d14ac80c46de488837b849032d4614f1fd4d239c634c605084f39ba133d87e0,0.07744160526728328,controlled-middle,31012,8,31001,1.0,31002,0.0771875,True,16.44871599994076,lambda=0 endpoint
6,1.0,1,0.004834358791014255,plan-c,1.0,0.9999999856948852,primary,0,321be27adaa6b18de46f154b7b19f483da8cd90548babd6e4abfb57532665fdf,6294,femnist,1e-05,11.438827800040599,25600,1655,0.245859375,4.0,31003,controlled,0.8760854852199554,5275,0.0,1.0,this-work,1.0,0,0,807205a46345f70a8bce8ce6770ffa3d758f69cd83498477bad0f4cd949a3523,15.993846153846153,handle-only-drop-residual,user_macro_accuracy,0.1983806818181818,9.214933748786253,41005,1.0,50,6294,0.07078049999836367,0.5,0.9999999856948852,0.23853800907731057,0.245859375,325,,1ff157e6e19bb70a469f3512054134ecba838394572619b67f17c7b6da38f8a7,user-certified,512.0,0.5000992555831265,0.5000961723408348,0.5,0.25002404077315127,0.5,0.5,0.5,25600,0.0,0.6912076880037784,0.0,8205987a18dc98f6fc03308e684d82da4662a9fb7860a559f3a42ab4f596f33d,0.1978366515127763,controlled-middle,31005,1,31001,1.0,31002,0.1983806818181818,True,23.608851199955097,lambda=1 endpoint
