B,C,H,aggregate_snr,certificate_type,certified_sensitivity,clip_fraction,comparison_tier,complete_units,config_hash,contributing_record_gradient_evaluations,dataset,delta,diagnostic_gradient_seconds,diagnostic_record_gradient_evaluations,dropped_units,effective_record_utilization,epsilon,evidence_seed,evidence_view,gradient_distortion_l2,group_gradient_evaluations,handle_users_fully_covered_fraction,handle_users_with_residual_fraction,implementation_provenance,lambda,local_atom_units,local_mixed_units,manifest_hash,mean_residual_records_per_handle_user,method,metric_name,metric_value,noise_multiplier,noise_seed,noise_sensitivity,noisy_releases,non_dummy_record_gradient_evaluations,oracle_audit_seconds,overlap_probability,partial_clip_fraction,partial_gradient_distortion_l2,partial_handle_record_fraction,partial_handle_units,patient_or_user_auprc,plan_config_hash,privacy_semantics,public_normalizer,q_record_given_handle,q_record_given_handle_pooled,q_record_given_handle_requested,q_record_total,q_user,q_user_requested,realized_overlap_fraction,record_gradient_evaluations,residual_clip_fraction,residual_gradient_distortion_l2,residual_record_fraction,run_id,sample_accuracy,scenario,schedule_seed,seed,split_seed,structural_sensitivity_bound,topology_seed,user_macro_accuracy,validation_pass,wall_time_seconds,replicate
6,1.0,1,0.0028367352172824433,plan-c,1.0,0.9999999988079071,primary,0,7e36e58947a84df3ef64de6febfa22b4f269925fbcfa2923abb24aacecbe2edb,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71003,controlled,1.0988010232150556,20518,0.0,1.0,this-work,0.0,1606,0,39b4aaccdaf43af918db70e59265013dd17a67ce949552aba60413d27f9a2610,16.0,stable-local-fallback,user_macro_accuracy,0.16015625,9.214933748786253,1111001,1.0,50,25600,0.06326759999501519,0.5,0.0,0.0,0.0,0,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2502165335386392,0.5,0.5,0.5,25600,0.9999999988079071,1.0988010232150556,1.0,8b2c270d619f23218eab61732d0e808abe25f46205a6a71b142f3b232b538309,0.16015625,controlled-middle,81103,102,51003,1.0,61003,0.16015625,True,15.392786399985198,2
6,1.0,1,0.006482417902305152,plan-delta,2.0,0.9992910957336426,primary,0,7e36e58947a84df3ef64de6febfa22b4f269925fbcfa2923abb24aacecbe2edb,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71003,controlled,12.057855873852969,21320,0.0,1.0,this-work,,1600,0,39b4aaccdaf43af918db70e59265013dd17a67ce949552aba60413d27f9a2610,16.0,naive-recalibrated-2c,user_macro_accuracy,0.109375,9.214933748786253,1111001,2.0,50,25600,0.06577489987830631,0.5,0.998862954378128,3.0578487517870965,0.2533203125,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2502165335386392,0.5,0.5,0.5,25600,0.9994387078285217,9.112833057194948,0.7466796875,f4a6211c8f179b7aceaec099a1533a9f62281b8089dbb05d7cf9a35bbbacf7b2,0.109375,controlled-middle,81103,102,51003,2.0,61003,0.109375,True,13.93295150011545,2
6,1.0,1,0.0042277061141007,plan-c,1.0,0.9999999821186065,diagnostic,0,7e5a7b1076ff2cb16324c00267a273a1d37e60817c0c3a0697dfe7dbe151f94a,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71004,controlled,0.7032464873790741,21258,0.0,1.0,this-work,0.9,1595,0,51ac3532ef9ca78f2f3bcdd5cf5188833d4ca28719ee2705bcdaba84c0f1fcfa,16.0,unitscope-lambda-sweep,user_macro_accuracy,0.12578125,9.214933748786253,1121001,1.0,50,25600,0.06621370001812465,0.5,0.9999999904632568,0.19908741932362317,0.2493359375,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2503008423586041,0.5,0.5,0.5,25600,0.9999999928474427,0.5518925480544568,0.7506640625,1dd25609375ed5a4203f9d89eff0275703a754cf7ca550f6c4ba7407f614f353,0.12578125,controlled-middle,81104,103,51004,1.0,61004,0.12578125,True,16.47789159999229,3
6,1.0,1,0.0054678172834765285,plan-delta,2.0,0.9999999821186065,primary,0,7e5a7b1076ff2cb16324c00267a273a1d37e60817c0c3a0697dfe7dbe151f94a,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71004,controlled,6.055866495668888,21258,0.0,1.0,this-work,,1595,0,51ac3532ef9ca78f2f3bcdd5cf5188833d4ca28719ee2705bcdaba84c0f1fcfa,16.0,naive-recalibrated-2c,user_macro_accuracy,0.1384375,9.214933748786253,1121001,2.0,50,25600,0.06575260005774908,0.5,0.9999999904632568,1.5796144254505635,0.2493359375,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2503008423586041,0.5,0.5,0.5,25600,0.9999999928474427,4.559303283542395,0.7506640625,284ed59ab6831b5acf28ab3b080628cfdf51e14b398be8c726bb6bc2bafd0516,0.1384375,controlled-middle,81104,103,51004,2.0,61004,0.1384375,True,16.753762899927096,3
6,1.0,1,0.004516713091928664,plan-c,1.0,0.9999999904632568,primary,0,7e5a7b1076ff2cb16324c00267a273a1d37e60817c0c3a0697dfe7dbe151f94a,6383,femnist,1e-05,11.028094000095734,25600,1595,0.2493359375,4.0,71004,controlled,0.6957456636428833,5315,0.0,1.0,this-work,1.0,0,0,51ac3532ef9ca78f2f3bcdd5cf5188833d4ca28719ee2705bcdaba84c0f1fcfa,16.0,handle-only-drop-residual,user_macro_accuracy,0.12765625,9.214933748786253,1121001,1.0,50,6383,0.1610000999935437,0.5,0.9999999904632568,0.19494359783828258,0.2493359375,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2503008423586041,0.5,0.5,0.5,25600,0.0,0.5487931604683399,0.0,867c7c9c4639a5264113153b8958db94568b7259c2b70c97842809dedfdad758,0.12765625,controlled-middle,81104,103,51004,1.0,61004,0.12765625,True,16.998570599913364,3
6,1.0,1,0.0026081198266288967,plan-c,1.0,0.9999999952316284,primary,0,7e5a7b1076ff2cb16324c00267a273a1d37e60817c0c3a0697dfe7dbe151f94a,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71004,controlled,0.845100090354681,20445,0.0,1.0,this-work,0.0,1597,0,51ac3532ef9ca78f2f3bcdd5cf5188833d4ca28719ee2705bcdaba84c0f1fcfa,16.0,stable-local-fallback,user_macro_accuracy,0.10453125,9.214933748786253,1121001,1.0,50,25600,0.05959739998797886,0.5,0.0,0.0,0.0,0,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2503008423586041,0.5,0.5,0.5,25600,0.9999999952316284,0.845100090354681,1.0,da811f04ad1646e7ed4b420483f2ac79724081c6032facf38c40c84bcd6079ea,0.10453125,controlled-middle,81104,103,51004,1.0,61004,0.10453125,True,15.94587710002088,3
6,1.0,1,0.004860181661470959,plan-c,1.0,0.9999999809265137,primary,0,23da1c0c692ae454db6e5ea6da7f66613b3e4f16585e6290e7b23790c012af36,6436,femnist,1e-05,10.913740599906305,25600,1651,0.25140625,4.0,71005,controlled,1.0243232992291451,5351,0.0,1.0,this-work,1.0,0,0,93f00606b8597402a8af246bcc5aea00fb4d7d96dde7040f4a708855d24f6b35,15.972307692307693,handle-only-drop-residual,user_macro_accuracy,0.18015625,9.214933748786253,1131001,1.0,50,6436,0.06513519983855076,0.5,0.9999999809265137,0.28909049682319166,0.25140625,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2497834664613608,0.5,0.5,0.5,25600,0.0,0.795699048191309,0.0,016be35071ac2855c33f1b606b4ebe3ad00199180d82109cce9fb141209397bf,0.18015625,controlled-middle,81105,104,51005,1.0,61005,0.18015625,True,15.807329100265633,4
6,1.0,1,0.005972935072888494,plan-delta,2.0,0.999015451669693,primary,0,23da1c0c692ae454db6e5ea6da7f66613b3e4f16585e6290e7b23790c012af36,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71005,controlled,10.328901191651822,21383,0.0,1.0,this-work,,1651,0,93f00606b8597402a8af246bcc5aea00fb4d7d96dde7040f4a708855d24f6b35,15.972307692307693,naive-recalibrated-2c,user_macro_accuracy,0.1628125,9.214933748786253,1131001,2.0,50,25600,0.06778159996611066,0.5,0.9975371825695037,2.638050736784935,0.25140625,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2497834664613608,0.5,0.5,0.5,25600,0.9995043754577637,7.805301158279181,0.74859375,4227e7e8d6bc95667baabfd8f207fcb184ca2b0ec5f58579615820cee003e3e9,0.1628125,controlled-middle,81105,104,51005,2.0,61005,0.1628125,True,15.999604900018312,4
6,1.0,1,0.004516693362546309,plan-c,1.0,0.9999999880790711,diagnostic,0,23da1c0c692ae454db6e5ea6da7f66613b3e4f16585e6290e7b23790c012af36,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71005,controlled,1.028434106260538,21383,0.0,1.0,this-work,0.9,1651,0,93f00606b8597402a8af246bcc5aea00fb4d7d96dde7040f4a708855d24f6b35,15.972307692307693,unitscope-lambda-sweep,user_macro_accuracy,0.17609375,9.214933748786253,1131001,1.0,50,25600,0.06970510000246577,0.5,0.9999999809265137,0.2926304142922163,0.25140625,325,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2497834664613608,0.5,0.5,0.5,25600,0.9999999904632568,0.7966298782825469,0.74859375,9e394d619a46b184d547db22079135fb45c1ddc5868fa5903172940635111a2c,0.17609375,controlled-middle,81105,104,51005,1.0,61005,0.17609375,True,15.910469700000249,4
6,1.0,1,0.002665096172903685,plan-c,1.0,0.9999999976158143,primary,0,23da1c0c692ae454db6e5ea6da7f66613b3e4f16585e6290e7b23790c012af36,25600,femnist,1e-05,0.0,0,0,1.0,4.0,71005,controlled,1.0949643449485302,20632,0.0,1.0,this-work,0.0,1653,0,93f00606b8597402a8af246bcc5aea00fb4d7d96dde7040f4a708855d24f6b35,15.972307692307693,stable-local-fallback,user_macro_accuracy,0.16296875,9.214933748786253,1131001,1.0,50,25600,0.058707599848276004,0.5,0.0,0.0,0.0,0,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5,0.5,0.5,0.2497834664613608,0.5,0.5,0.5,25600,0.9999999976158143,1.0949643449485302,1.0,ed0ceace9841a4953c88e969125a192b819bd224e2b08afc985c5e5b4e88af06,0.16296875,controlled-middle,81105,104,51005,1.0,61005,0.16296875,True,15.790864800161216,4
