dataset,method,metric_mean,metric_ci_lower,metric_ci_upper,effective_record_utilization_mean,certified_sensitivity_over_c,replicates
femnist,stable-local-fallback,0.13059120535714286,0.11904739397321427,0.14302452343749997,1.0,1.0,20
femnist,unitscope-lambda-sweep,0.154895625,0.13888914620535714,0.17141354687499996,1.0,1.0,20
femnist,handle-only-drop-residual,0.15815120535714283,0.14172152008928576,0.17499017299107142,0.2504023437499999,1.0,20
femnist,naive-recalibrated-2c,0.139769375,0.12372726339285714,0.15636278124999997,1.0,2.0,20
synthea,stable-local-fallback,0.21589386753982814,0.20443820541440202,0.22842991567288357,1.0,1.0,20
synthea,unitscope-lambda-sweep,0.2574513777672715,0.24114608321568118,0.27362216518196886,1.0,1.0,20
synthea,handle-only-drop-residual,0.26148392125583964,0.2452401661887765,0.27761318161247545,0.4032988281249999,1.0,20
synthea,naive-recalibrated-2c,0.2654282663812514,0.2467221328186505,0.28393376608085663,1.0,2.0,20
