dataset,replicate,seed,method,round,epsilon,metric_name,metric_value
femnist,2,102,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.109375
femnist,3,103,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.079375
femnist,3,103,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.0903125
femnist,3,103,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.10546875
femnist,3,103,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.098125
femnist,3,103,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.1025
femnist,3,103,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.12578125
femnist,3,103,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.079375
femnist,3,103,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.0834375
femnist,3,103,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.1175
femnist,3,103,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.1228125
femnist,3,103,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.0896875
femnist,3,103,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.1384375
femnist,3,103,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.079375
femnist,3,103,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.08953125
femnist,3,103,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.10515625
femnist,3,103,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.09890625
femnist,3,103,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.10421875
femnist,3,103,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.12765625
femnist,3,103,stable-local-fallback,0,0.0,user_macro_accuracy,0.079375
femnist,3,103,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.0921875
femnist,3,103,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.1078125
femnist,3,103,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.09109375
femnist,3,103,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.09421875
femnist,3,103,stable-local-fallback,50,4.0,user_macro_accuracy,0.10453125
femnist,4,104,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.06484375
femnist,4,104,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.10296875
femnist,4,104,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.09828125
femnist,4,104,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.21640625
femnist,4,104,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.13015625
femnist,4,104,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.18015625
femnist,4,104,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.06484375
femnist,4,104,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.1084375
femnist,4,104,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.101875
femnist,4,104,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.10015625
femnist,4,104,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.11359375
femnist,4,104,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.1628125
femnist,4,104,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.06484375
femnist,4,104,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.09578125
femnist,4,104,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.0984375
femnist,4,104,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.20859375
femnist,4,104,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.1246875
femnist,4,104,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.17609375
femnist,4,104,stable-local-fallback,0,0.0,user_macro_accuracy,0.06484375
femnist,4,104,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.11359375
femnist,4,104,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.10203125
femnist,4,104,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.20609375
femnist,4,104,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.09875
femnist,4,104,stable-local-fallback,50,4.0,user_macro_accuracy,0.16296875
femnist,5,105,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.12357142857142858
femnist,5,105,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.10383928571428572
femnist,5,105,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.14388392857142857
femnist,5,105,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.12466517857142857
femnist,5,105,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.17459821428571431
femnist,5,105,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.17180803571428568
femnist,5,105,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.12357142857142858
femnist,5,105,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.10352678571428571
femnist,5,105,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.11102678571428572
femnist,5,105,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.11821428571428572
femnist,5,105,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.1305580357142857
femnist,5,105,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.1791517857142857
femnist,5,105,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.12357142857142858
femnist,5,105,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.10415178571428571
femnist,5,105,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.14341517857142858
femnist,5,105,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.11888392857142857
femnist,5,105,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.16564732142857141
femnist,5,105,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.16560267857142857
femnist,5,105,stable-local-fallback,0,0.0,user_macro_accuracy,0.12357142857142858
femnist,5,105,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.10446428571428572
femnist,5,105,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.12904017857142858
femnist,5,105,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.09466517857142857
femnist,5,105,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.12466517857142857
femnist,5,105,stable-local-fallback,50,4.0,user_macro_accuracy,0.12825892857142857
femnist,6,106,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.09783392857142857
femnist,6,106,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.09127142857142857
femnist,6,106,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.09932767857142856
femnist,6,106,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.10444017857142857
femnist,6,106,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.12495267857142857
femnist,6,106,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.2424330357142857
femnist,6,106,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.09783392857142857
femnist,6,106,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.12316875
femnist,6,106,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.12664642857142858
femnist,6,106,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.10629374999999999
femnist,6,106,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.10745267857142857
femnist,6,106,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.20062232142857142
femnist,6,106,stable-local-fallback,0,0.0,user_macro_accuracy,0.09783392857142857
femnist,6,106,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.09017767857142857
femnist,6,106,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.09385892857142857
femnist,6,106,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.11975267857142857
femnist,6,106,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.10198392857142856
femnist,6,106,stable-local-fallback,50,4.0,user_macro_accuracy,0.19903928571428572
femnist,6,106,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.09783392857142857
femnist,6,106,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.09127142857142857
femnist,6,106,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.09714017857142856
femnist,6,106,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.10475267857142857
femnist,6,106,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.12167142857142857
femnist,6,106,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.2375892857142857
femnist,7,107,stable-local-fallback,0,0.0,user_macro_accuracy,0.09575625
femnist,7,107,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.11645
femnist,7,107,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.09013125000000001
femnist,7,107,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.09816875
femnist,7,107,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.16508124999999998
femnist,7,107,stable-local-fallback,50,4.0,user_macro_accuracy,0.14399375
femnist,7,107,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.09575625
femnist,7,107,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.06566875
