dataset,method,round,metric_name,metric_mean,ci_lower,ci_upper,replicates
femnist,handle-only-drop-residual,0,user_macro_accuracy,0.10270625,0.09496748102678572,0.11124213504464282,20
femnist,handle-only-drop-residual,10,user_macro_accuracy,0.10578526785714285,0.09706313504464287,0.11540471874999998,20
femnist,handle-only-drop-residual,20,user_macro_accuracy,0.12284562500000003,0.1111593861607143,0.13498417410714283,20
femnist,handle-only-drop-residual,30,user_macro_accuracy,0.12593504464285715,0.11422605245535712,0.1399229029017857,20
femnist,handle-only-drop-residual,40,user_macro_accuracy,0.13492571428571426,0.1208113761160714,0.1505207790178571,20
femnist,handle-only-drop-residual,50,user_macro_accuracy,0.15815120535714283,0.14172152008928576,0.17499017299107142,20
femnist,naive-recalibrated-2c,0,user_macro_accuracy,0.10270625,0.09496748102678572,0.11124213504464282,20
femnist,naive-recalibrated-2c,10,user_macro_accuracy,0.10745825892857142,0.09804374441964285,0.11755703124999996,20
femnist,naive-recalibrated-2c,20,user_macro_accuracy,0.12216120535714288,0.111449296875,0.13309584374999997,20
femnist,naive-recalibrated-2c,30,user_macro_accuracy,0.12297933035714285,0.1087573325892857,0.13636315736607146,20
femnist,naive-recalibrated-2c,40,user_macro_accuracy,0.12840089285714285,0.1176086082589286,0.1402210044642857,20
femnist,naive-recalibrated-2c,50,user_macro_accuracy,0.139769375,0.12372726339285714,0.15636278124999997,20
femnist,stable-local-fallback,0,user_macro_accuracy,0.10270625,0.09496748102678572,0.11124213504464282,20
femnist,stable-local-fallback,10,user_macro_accuracy,0.10733214285714285,0.09854730691964288,0.11596577232142859,20
femnist,stable-local-fallback,20,user_macro_accuracy,0.11551401785714285,0.1060496205357143,0.1256077377232143,20
femnist,stable-local-fallback,30,user_macro_accuracy,0.1125890625,0.10079518861607142,0.12651678236607142,20
femnist,stable-local-fallback,40,user_macro_accuracy,0.11683723214285713,0.10610310602678573,0.12824742410714285,20
femnist,stable-local-fallback,50,user_macro_accuracy,0.13059120535714286,0.11904739397321427,0.14302452343749997,20
femnist,unitscope-lambda-sweep,0,user_macro_accuracy,0.10270625,0.09496748102678572,0.11124213504464282,20
femnist,unitscope-lambda-sweep,10,user_macro_accuracy,0.10517589285714284,0.09680344866071429,0.11453630022321427,20
femnist,unitscope-lambda-sweep,20,user_macro_accuracy,0.12169495535714285,0.11043607142857144,0.13327527566964287,20
femnist,unitscope-lambda-sweep,30,user_macro_accuracy,0.1230109375,0.11202209486607141,0.13609251674107142,20
femnist,unitscope-lambda-sweep,40,user_macro_accuracy,0.13209316964285717,0.11838537388392854,0.14716231138392857,20
femnist,unitscope-lambda-sweep,50,user_macro_accuracy,0.154895625,0.13888914620535714,0.17141354687499996,20
synthea,handle-only-drop-residual,0,patient_or_user_auprc,0.2212686814768925,0.20808307443363816,0.2344400546392892,20
synthea,handle-only-drop-residual,10,patient_or_user_auprc,0.21121818799328648,0.20155866199738312,0.22155486343426783,20
synthea,handle-only-drop-residual,20,patient_or_user_auprc,0.22059791969155151,0.209201476268455,0.23281260355827219,20
synthea,handle-only-drop-residual,30,patient_or_user_auprc,0.2351136490241938,0.2230244393289534,0.24777506512817296,20
synthea,handle-only-drop-residual,40,patient_or_user_auprc,0.2506842519613738,0.23372581378746998,0.2682681159944399,20
synthea,handle-only-drop-residual,50,patient_or_user_auprc,0.26148392125583964,0.2452401661887765,0.27761318161247545,20
synthea,naive-recalibrated-2c,0,patient_or_user_auprc,0.2212686814768925,0.20808307443363816,0.2344400546392892,20
synthea,naive-recalibrated-2c,10,patient_or_user_auprc,0.21102227634097964,0.2004988389936546,0.2217074624579528,20
synthea,naive-recalibrated-2c,20,patient_or_user_auprc,0.22215831341618292,0.20976374377215595,0.23577566769550357,20
synthea,naive-recalibrated-2c,30,patient_or_user_auprc,0.24170832965493264,0.22687443476481092,0.2565335593526978,20
synthea,naive-recalibrated-2c,40,patient_or_user_auprc,0.25728645464256245,0.23799447138916452,0.2777762440943031,20
synthea,naive-recalibrated-2c,50,patient_or_user_auprc,0.2654282663812514,0.2467221328186505,0.28393376608085663,20
synthea,stable-local-fallback,0,patient_or_user_auprc,0.2212686814768925,0.20808307443363816,0.2344400546392892,20
synthea,stable-local-fallback,10,patient_or_user_auprc,0.2067707485876335,0.1964115961028945,0.21753833443439788,20
synthea,stable-local-fallback,20,patient_or_user_auprc,0.20343511788330731,0.19514277066316163,0.2122502456911919,20
synthea,stable-local-fallback,30,patient_or_user_auprc,0.20710832957284114,0.1984294779786812,0.2159011848301502,20
synthea,stable-local-fallback,40,patient_or_user_auprc,0.21223357060188447,0.20127096497205552,0.22389191336848396,20
synthea,stable-local-fallback,50,patient_or_user_auprc,0.21589386753982814,0.20443820541440202,0.22842991567288357,20
synthea,unitscope-lambda-sweep,0,patient_or_user_auprc,0.2212686814768925,0.20808307443363816,0.2344400546392892,20
synthea,unitscope-lambda-sweep,10,patient_or_user_auprc,0.20959229798508772,0.20028140546597914,0.2195013234904747,20
synthea,unitscope-lambda-sweep,20,patient_or_user_auprc,0.2178475645752831,0.20686646514320212,0.2293209579213059,20
synthea,unitscope-lambda-sweep,30,patient_or_user_auprc,0.23080057757464462,0.2191644789159457,0.24309255051190767,20
synthea,unitscope-lambda-sweep,40,patient_or_user_auprc,0.2460018182100327,0.2292906315501934,0.2634236586380972,20
synthea,unitscope-lambda-sweep,50,patient_or_user_auprc,0.2574513777672715,0.24114608321568118,0.27362216518196886,20
