seed,scenario,expected_valid,actual_valid,decision,observed_wur,noise_sensitivity,errors,pass
8,unregistered-new-record,False,False,reject,,1.0,fallback slot future-slot-8 is not frozen in the registry | record future-8 is outside the frozen universe,True
8,preallocated-new-record,True,True,preallocated-slot,0.016666666666666663,1.0,,True
8,institution-exit-same-epoch,True,True,requires-new-epoch,39.249999999999936,1.0,,True
8,institution-exit-new-epoch,True,True,new-epoch-valid,,1.0,,True
8,credential-reissue-no-refill,False,False,reject,,1.0,partial claim reissue-8 is not in the frozen registry | record r-45f4b1c78aa87460b017 is covered by multiple identity claims,True
9,single-user-deletion,True,True,same-epoch-safe,0.9166666666666667,1.0,,True
9,credential-revocation,True,True,fallback-without-refill,0.9166666666666667,1.0,,True
9,unregistered-new-record,False,False,reject,,1.0,fallback slot future-slot-9 is not frozen in the registry | record future-9 is outside the frozen universe,True
9,preallocated-new-record,True,True,preallocated-slot,0.016666666666666663,1.0,,True
9,institution-exit-same-epoch,True,True,requires-new-epoch,45.63333333333326,1.0,,True
9,institution-exit-new-epoch,True,True,new-epoch-valid,,1.0,,True
9,credential-reissue-no-refill,False,False,reject,,1.0,partial claim reissue-9 is not in the frozen registry | record r-141cb1c61e8251cf2546 is covered by multiple identity claims,True
