method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse
stable-local-fallback,this-work,user-certified,primary,0,5a1a0d9face92aec0a0f641341aa62346ee1398565778501f38bf6cc267e64e8,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.9,0.9000000000000001,0.8999999999999999,0.9000000000000001,0.9000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.3081867526944897,0.07615690000238828,0.00028857065636634635,0.0002867414956175202
handle-only-drop-residual,this-work,user-certified,primary,0,5a1a0d9face92aec0a0f641341aa62346ee1398565778501f38bf6cc267e64e8,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.9,0.9000000000000001,0.8999999999999999,0.9000000000000001,0.9000000000000001,1.0,1.0,plan-c,1.0,0.24833222148098733,0.24833222148098733,0.0,0.489,2.9738962009252665,0.06052310000814032,0.00022363929468757163,0.00022127510977134875
unitscope-equal,this-work,user-certified,primary,0,5a1a0d9face92aec0a0f641341aa62346ee1398565778501f38bf6cc267e64e8,0.14285714285714285,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.9,0.9000000000000001,0.8999999999999999,0.9000000000000001,0.9000000000000001,1.0,1.0,plan-c,1.0,1.0,0.24833222148098733,0.7516677785190127,1.0,1.4943619196673472,0.06728080000902992,0.00026178248465796817,0.0002614862644123411
unitscope-tuned,this-work,user-certified,primary,0,5a1a0d9face92aec0a0f641341aa62346ee1398565778501f38bf6cc267e64e8,0.9,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.9,0.9000000000000001,0.8999999999999999,0.9000000000000001,0.9000000000000001,1.0,1.0,plan-c,1.0,1.0,0.24833222148098733,0.7516677785190127,0.86696172871648,2.8436162394088083,0.06826869999349583,0.0002124747014037311,0.000211244672693546
naive-recalibrated-2c,this-work,user-certified,primary,0,5a1a0d9face92aec0a0f641341aa62346ee1398565778501f38bf6cc267e64e8,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.9,0.9000000000000001,0.8999999999999999,0.9000000000000001,0.9000000000000001,2.0,2.0,plan-delta,2.0,1.0,0.24833222148098733,0.7516677785190127,0.86696172871648,2.0040512030289883,0.061851199992815964,0.00013081937619809623,0.00018087162521951568
full-identity-reference,oracle,oracle-assumption,full-identity-reference,0,5a1a0d9face92aec0a0f641341aa62346ee1398565778501f38bf6cc267e64e8,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.9,0.9000000000000001,0.8999999999999999,0.9000000000000001,0.9000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,1.0,5.020101177068899,0.3446981000015512,0.0,1.9925347562214553e-05
non-private-reference,oracle,non-private,diagnostic,0,5a1a0d9face92aec0a0f641341aa62346ee1398565778501f38bf6cc267e64e8,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.9,0.9000000000000001,0.8999999999999999,0.9000000000000001,0.9000000000000001,,,non-private,0.0,1.0,0.0,0.0,0.0,inf,0.06579969999438617,0.0004865900422117025,0.0004865900422117025
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,0,5a1a0d9face92aec0a0f641341aa62346ee1398565778501f38bf6cc267e64e8,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.499,0.9,0.9000000000000001,0.8999999999999999,0.9000000000000001,0.9000000000000001,,2.0,unsafe-diagnostic,1.0,1.0,0.24833222148098733,0.7516677785190127,0.86696172871648,4.008102406057977,0.06276519999664742,0.00013081937619809623,0.00013592015314659142
stable-local-fallback,this-work,user-certified,primary,1,5a1a0d9face92aec0a0f641341aa62346ee1398565778501f38bf6cc267e64e8,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.9,0.9000000000000001,0.8999999999999999,0.9000000000000001,0.9000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.5185492072199989,0.05324799999652896,0.00032976740258128083,0.0003636077631473731
handle-only-drop-residual,this-work,user-certified,primary,1,5a1a0d9face92aec0a0f641341aa62346ee1398565778501f38bf6cc267e64e8,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.9,0.9000000000000001,0.8999999999999999,0.9000000000000001,0.9000000000000001,1.0,1.0,plan-c,1.0,0.2504168056018673,0.2504168056018673,0.0,0.502,2.9948249781768332,0.08017200000176672,0.0003264998365914482,0.0003563997796345184
