method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
unitscope-tuned,this-work,user-certified,primary,603,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,1552,0,2849,1.0,3.9274224181547974,0.04272159998072311,0.00025399049854980414,0.00033458854558093105,ungated-unitscope-lambda075,0.75,00100129357a8a2faa2a615714de962d89f5c6d1a50f77405fb01c45e6bf669f
unitscope-tuned,this-work,user-certified,primary,603,0d43a48591b0b58ed62d407112b18ef2d9b6a7e3fcaf448780bbfadf2268b052,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1730,0,1730,1.0,4.3590746182046844,0.03137410001363605,9.208851468138706e-05,0.00015177325548969864,gated-unitscope,0.0,00100129357a8a2faa2a615714de962d89f5c6d1a50f77405fb01c45e6bf669f
stable-local-fallback,this-work,user-certified,primary,604,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.754,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1754,0,1754,1.0,4.60631100857452,0.029452399990987033,5.933512790960818e-05,0.00011385720565141524,stable-local-fallback,0.0,61b954afe476223a089dafebdaf4d3b716a06f59edfd0bc7027664fd79d7334d
unitscope-tuned,this-work,user-certified,primary,604,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.754,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3751425313568985,0.6248574686431014,1316,1570,0,2886,1.0,3.723632152540782,0.041943299991544336,0.00026432594136964867,0.0003267994528876065,ungated-unitscope-lambda075,0.75,61b954afe476223a089dafebdaf4d3b716a06f59edfd0bc7027664fd79d7334d
unitscope-tuned,this-work,user-certified,primary,604,0d43a48591b0b58ed62d407112b18ef2d9b6a7e3fcaf448780bbfadf2268b052,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.754,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1754,0,1754,1.0,4.60631100857452,0.031532199995126575,5.933512790960818e-05,0.00011385720565141524,gated-unitscope,0.0,61b954afe476223a089dafebdaf4d3b716a06f59edfd0bc7027664fd79d7334d
stable-local-fallback,this-work,user-certified,primary,605,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,5.0021807956583935,0.03054010000778362,7.42755741197911e-05,0.00010387993671721015,stable-local-fallback,0.0,6334f927e9dd44516a230ab47b3b08c58fa53ba1031d0678fdf40ddc4b1b23fa
unitscope-tuned,this-work,user-certified,primary,605,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3734974241556955,0.6265025758443046,1305,1561,0,2866,1.0,4.374527134185049,0.044055999955162406,0.0002717817410766494,0.0003007834135961658,ungated-unitscope-lambda075,0.75,6334f927e9dd44516a230ab47b3b08c58fa53ba1031d0678fdf40ddc4b1b23fa
unitscope-tuned,this-work,user-certified,primary,605,0d43a48591b0b58ed62d407112b18ef2d9b6a7e3fcaf448780bbfadf2268b052,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,5.0021807956583935,0.03192610002588481,7.42755741197911e-05,0.00010387993671721015,gated-unitscope,0.0,6334f927e9dd44516a230ab47b3b08c58fa53ba1031d0678fdf40ddc4b1b23fa
stable-local-fallback,this-work,user-certified,primary,606,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.75,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1750,0,1750,1.0,3.654557553220376,0.030089500010944903,8.391637043072766e-05,0.00012926903105303132,stable-local-fallback,0.0,c39cf5bb392f8a06c52df21042027dc144c5c94feb1d6b766ded518d13f8fc83
unitscope-tuned,this-work,user-certified,primary,606,402a55581fbd5e20a8d8af4c328923e2dc5aa6a81672f9b00e02608895609fe4,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.75,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37857142857142856,0.6214285714285714,1325,1551,0,2876,1.0,3.070416938799607,0.04400090000126511,0.00027484904113983847,0.0003213643895470585,ungated-unitscope-lambda075,0.75,c39cf5bb392f8a06c52df21042027dc144c5c94feb1d6b766ded518d13f8fc83
