B,mixed_local_slots,seeds,gated_vs_stable_mean,gated_vs_stable_ci_lower,gated_vs_stable_ci_upper,gated_vs_stable_max_abs,gated_vs_ungated_mean,gated_vs_ungated_ci_lower,gated_vs_ungated_ci_upper,gated_vs_ungated_max_abs
2,False,10,0.0,0.0,0.0,0.0,-0.0001771000809029214,-0.0001963144945492096,-0.00015311797848613546,0.00021294224723619125
2,True,10,-7.695985805729883e-05,-0.00010772711897814656,-4.769241525468712e-05,0.00018190516783251335,0.0,0.0,0.0,0.0
4,False,10,-7.695985805729878e-05,-0.00010798869742839059,-4.771364101021352e-05,0.00018190516783251297,0.0,0.0,0.0,0.0
4,True,10,-0.00031818017712803684,-0.00038115993936371843,-0.0002611161548573025,0.0005484381193595492,0.0,0.0,0.0,0.0
6,False,10,-0.00022931485969033692,-0.0002800327237489995,-0.00018304750661167311,0.0004134485248998154,0.0,0.0,0.0,0.0
6,True,10,-0.0004155040389798575,-0.0004932775212009359,-0.0003483528854472505,0.0006962396577700051,0.0,0.0,0.0,0.0
8,False,10,-0.0003181801771280367,-0.00038183409428664674,-0.0002608393462373645,0.0005484381193595481,0.0,0.0,0.0,0.0
8,True,10,-0.00046733792406106287,-0.0005522489594716079,-0.0003915099079441673,0.0007749449059567528,0.0,0.0,0.0,0.0
