method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,602,61281cf21838450771dc2c92c07d268360bebcbf62bcf1d81d3c6c6e41708ea7,0.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1766,1766,1.0,0.585697735901446,0.0300412000506185,0.0008746053334063809,0.0008955350746442777,stable-local-fallback,0.0,a7fee18b3b49327eb524dbb6f8aeee054d4089e812ee89f0283a7ffc88921818
unitscope-tuned,this-work,user-certified,primary,602,61281cf21838450771dc2c92c07d268360bebcbf62bcf1d81d3c6c6e41708ea7,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37514156285390715,0.6248584371460929,1325,0,1586,2911,1.0,3.3720628246821858,0.0455396999605,0.0003877924544204005,0.00041273688340691725,ungated-unitscope-lambda075,0.75,a7fee18b3b49327eb524dbb6f8aeee054d4089e812ee89f0283a7ffc88921818
unitscope-tuned,this-work,user-certified,primary,602,61281cf21838450771dc2c92c07d268360bebcbf62bcf1d81d3c6c6e41708ea7,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37514156285390715,0.6248584371460929,1325,0,1586,2911,1.0,3.3720628246821858,0.04300329997204244,0.0003877924544204005,0.00041273688340691725,gated-unitscope,0.75,a7fee18b3b49327eb524dbb6f8aeee054d4089e812ee89f0283a7ffc88921818
