method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,601,61281cf21838450771dc2c92c07d268360bebcbf62bcf1d81d3c6c6e41708ea7,0.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1755,1755,1.0,0.4579919567144421,0.03469910001149401,0.0007051896979181028,0.0008451973263286906,stable-local-fallback,0.0,460185301d4350c8cda8a9a89db25e1df26718923b48edca9d3a380d3e54af8b
unitscope-tuned,this-work,user-certified,primary,601,61281cf21838450771dc2c92c07d268360bebcbf62bcf1d81d3c6c6e41708ea7,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3754985754985755,0.6245014245014245,1318,0,1564,2882,1.0,2.5116420633093868,0.04717239999445155,0.00034752478911679837,0.0004520608250156097,ungated-unitscope-lambda075,0.75,460185301d4350c8cda8a9a89db25e1df26718923b48edca9d3a380d3e54af8b
unitscope-tuned,this-work,user-certified,primary,601,61281cf21838450771dc2c92c07d268360bebcbf62bcf1d81d3c6c6e41708ea7,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3754985754985755,0.6245014245014245,1318,0,1564,2882,1.0,2.5116420633093868,0.04283960000611842,0.00034752478911679837,0.0004520608250156097,gated-unitscope,0.75,460185301d4350c8cda8a9a89db25e1df26718923b48edca9d3a380d3e54af8b
