method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,604,4e1dd22803650e9fcae6ac62a891ceb816a0a2182d8f3622e8b44ca748d2c225,0.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.754,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1754,0,1754,1.0,1.15157775214363,0.030842099979054183,0.0006837859681306142,0.0007794611505911211,stable-local-fallback,0.0,9ffd030014dc5d132bfb401861103888eca118de063ad09334ae88cfb3691efa
unitscope-tuned,this-work,user-certified,primary,604,4e1dd22803650e9fcae6ac62a891ceb816a0a2182d8f3622e8b44ca748d2c225,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.754,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3751425313568985,0.6248574686431014,1316,1570,0,2886,1.0,3.0867073516731387,0.061986699991393834,0.0004077544876809491,0.00047980929177966406,ungated-unitscope-lambda075,0.75,9ffd030014dc5d132bfb401861103888eca118de063ad09334ae88cfb3691efa
unitscope-tuned,this-work,user-certified,primary,604,4e1dd22803650e9fcae6ac62a891ceb816a0a2182d8f3622e8b44ca748d2c225,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.754,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3751425313568985,0.6248574686431014,1316,1570,0,2886,1.0,3.0867073516731387,0.055568300012964755,0.0004077544876809491,0.00047980929177966406,gated-unitscope,0.75,9ffd030014dc5d132bfb401861103888eca118de063ad09334ae88cfb3691efa
