method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,609,b6dc8e1c2b0984336fde41cf9f2bf87ab032eaf60ef3f614cd44627fc000c7fe,0.0,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1759,1759,1.0,0.9475588277796941,0.033529300009831786,0.0008817259932613999,0.000932913375192883,stable-local-fallback,0.0,d223ed3692680f6bbfcbed39f261617656caca987e467279f6890d6d4c8e2bd9
unitscope-tuned,this-work,user-certified,primary,609,b6dc8e1c2b0984336fde41cf9f2bf87ab032eaf60ef3f614cd44627fc000c7fe,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37606594656054576,0.6239340534394542,1323,0,1577,2900,1.0,3.9642177662368305,0.04177819995675236,0.0004529622410021476,0.0004830727279124933,ungated-unitscope-lambda075,0.75,d223ed3692680f6bbfcbed39f261617656caca987e467279f6890d6d4c8e2bd9
unitscope-tuned,this-work,user-certified,primary,609,b6dc8e1c2b0984336fde41cf9f2bf87ab032eaf60ef3f614cd44627fc000c7fe,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37606594656054576,0.6239340534394542,1323,0,1577,2900,1.0,3.9642177662368305,0.042998499993700534,0.0004529622410021476,0.0004830727279124933,gated-unitscope,0.75,d223ed3692680f6bbfcbed39f261617656caca987e467279f6890d6d4c8e2bd9
