method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,608,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.736,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1736,0,1736,1.0,2.034066154853968,0.03289800003403798,0.0004547341375230143,0.0005070453096314235,stable-local-fallback,0.0,eff202e4ea3bcc2e93e9e9336f397da8af931ca43ce604d73eb7ee8327a2b0d4
unitscope-tuned,this-work,user-certified,primary,608,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.736,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3747119815668203,0.6252880184331797,1301,1557,0,2858,1.0,3.108289504633588,0.04342539998469874,0.00033383475598386923,0.0003871114247987453,ungated-unitscope-lambda075,0.75,eff202e4ea3bcc2e93e9e9336f397da8af931ca43ce604d73eb7ee8327a2b0d4
unitscope-tuned,this-work,user-certified,primary,608,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.736,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3747119815668203,0.6252880184331797,1301,1557,0,2858,1.0,3.108289504633588,0.04289670003345236,0.00033383475598386923,0.0003871114247987453,gated-unitscope,0.75,eff202e4ea3bcc2e93e9e9336f397da8af931ca43ce604d73eb7ee8327a2b0d4
