method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,603,61281cf21838450771dc2c92c07d268360bebcbf62bcf1d81d3c6c6e41708ea7,0.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1730,1730,1.0,0.5448843272755852,0.03007799998158589,0.0008817057603642326,0.0009843860095493998,stable-local-fallback,0.0,0f0fb005851dbdc4de07bcee8689a1520caec95a248bbf54ac0ff28c01b20fd9
unitscope-tuned,this-work,user-certified,primary,603,61281cf21838450771dc2c92c07d268360bebcbf62bcf1d81d3c6c6e41708ea7,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,0,1552,2849,1.0,3.288291321700843,0.039864999998826534,0.00040220104930395364,0.0004920221955200422,ungated-unitscope-lambda075,0.75,0f0fb005851dbdc4de07bcee8689a1520caec95a248bbf54ac0ff28c01b20fd9
unitscope-tuned,this-work,user-certified,primary,603,61281cf21838450771dc2c92c07d268360bebcbf62bcf1d81d3c6c6e41708ea7,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,0,1552,2849,1.0,3.288291321700843,0.04096889996435493,0.00040220104930395364,0.0004920221955200422,gated-unitscope,0.75,0f0fb005851dbdc4de07bcee8689a1520caec95a248bbf54ac0ff28c01b20fd9
