method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,605,2301a4444cd4cb7833674888f5f2e90947d863674ede019375e3647b7c8831c8,0.0,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1747,0,1747,1.0,1.6673935985527975,0.03021119994809851,0.0005584857449991321,0.0006214359971823563,stable-local-fallback,0.0,2b4158720a55c27376a65a323c540ebf01bc38f9a1fd7846a0b1306dccbf650b
unitscope-tuned,this-work,user-certified,primary,605,2301a4444cd4cb7833674888f5f2e90947d863674ede019375e3647b7c8831c8,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3734974241556955,0.6265025758443046,1305,1561,0,2866,1.0,3.7865489511307455,0.04181229998357594,0.00037626325906547995,0.00041197940808311323,ungated-unitscope-lambda075,0.75,2b4158720a55c27376a65a323c540ebf01bc38f9a1fd7846a0b1306dccbf650b
unitscope-tuned,this-work,user-certified,primary,605,2301a4444cd4cb7833674888f5f2e90947d863674ede019375e3647b7c8831c8,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.747,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3734974241556955,0.6265025758443046,1305,1561,0,2866,1.0,3.7865489511307455,0.043896199960727245,0.00037626325906547995,0.00041197940808311323,gated-unitscope,0.75,2b4158720a55c27376a65a323c540ebf01bc38f9a1fd7846a0b1306dccbf650b
