method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,609,2301a4444cd4cb7833674888f5f2e90947d863674ede019375e3647b7c8831c8,0.0,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1759,0,1759,1.0,1.8951176555593887,0.030241700005717576,0.0006469817015013965,0.0006944648169902822,stable-local-fallback,0.0,1811299519611b9c66ee22fb579f464712d6e2fcf251f2330f399b34849caec7
unitscope-tuned,this-work,user-certified,primary,609,2301a4444cd4cb7833674888f5f2e90947d863674ede019375e3647b7c8831c8,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37606594656054576,0.6239340534394542,1323,1577,0,2900,1.0,4.126041801248839,0.0429082999471575,0.00041724514552667194,0.00044680989965993054,ungated-unitscope-lambda075,0.75,1811299519611b9c66ee22fb579f464712d6e2fcf251f2330f399b34849caec7
unitscope-tuned,this-work,user-certified,primary,609,2301a4444cd4cb7833674888f5f2e90947d863674ede019375e3647b7c8831c8,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37606594656054576,0.6239340534394542,1323,1577,0,2900,1.0,4.126041801248839,0.04169090004870668,0.00041724514552667194,0.00044680989965993054,gated-unitscope,0.75,1811299519611b9c66ee22fb579f464712d6e2fcf251f2330f399b34849caec7
