method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,606,c531a958ca8a4320ba6fa6e732247cf2d3961a192db3000f3cc90231923b6a57,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.75,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1750,1750,1.0,0.913639388305094,0.029979299986734986,0.0005209993398064164,0.0005846901328514062,stable-local-fallback,0.0,4854550bb72de8e304d9d0516962bed6418ca1965a6441dd6af95540faadbc32
unitscope-tuned,this-work,user-certified,primary,606,c531a958ca8a4320ba6fa6e732247cf2d3961a192db3000f3cc90231923b6a57,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.75,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37857142857142856,0.6214285714285714,1325,0,1551,2876,1.0,2.6239286522854477,0.041679700021632016,0.0003776148380486809,0.0004284607090479202,ungated-unitscope-lambda075,0.75,4854550bb72de8e304d9d0516962bed6418ca1965a6441dd6af95540faadbc32
unitscope-tuned,this-work,user-certified,primary,606,c531a958ca8a4320ba6fa6e732247cf2d3961a192db3000f3cc90231923b6a57,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.75,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37857142857142856,0.6214285714285714,1325,0,1551,2876,1.0,2.6239286522854477,0.0574110999586992,0.0003776148380486809,0.0004284607090479202,gated-unitscope,0.75,4854550bb72de8e304d9d0516962bed6418ca1965a6441dd6af95540faadbc32
