method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,609,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1759,0,1759,1.0,2.8426764833390825,0.04162679996807128,0.0004500181963050365,0.0004937970453513252,stable-local-fallback,0.0,0f85ec4c5e5d1e94a99a8af84ba4522fbc0158e931ddf36d10a2ce58a5a0a509
unitscope-tuned,this-work,user-certified,primary,609,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37606594656054576,0.6239340534394542,1323,1577,0,2900,1.0,4.292080554122692,0.043905100028496236,0.00038339077603903474,0.0004124097973952064,ungated-unitscope-lambda075,0.75,0f85ec4c5e5d1e94a99a8af84ba4522fbc0158e931ddf36d10a2ce58a5a0a509
unitscope-tuned,this-work,user-certified,primary,609,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37606594656054576,0.6239340534394542,1323,1577,0,2900,1.0,4.292080554122692,0.04238999995868653,0.00038339077603903474,0.0004124097973952064,gated-unitscope,0.75,0f85ec4c5e5d1e94a99a8af84ba4522fbc0158e931ddf36d10a2ce58a5a0a509
