method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,603,2301a4444cd4cb7833674888f5f2e90947d863674ede019375e3647b7c8831c8,0.0,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1730,0,1730,1.0,1.453024872734894,0.030009599984623492,0.0006032365589219201,0.0006956797823030741,stable-local-fallback,0.0,a90342c011d05c13791437539723d4a485ea71114e9dd21be72f5723f5ec6640
unitscope-tuned,this-work,user-certified,primary,603,2301a4444cd4cb7833674888f5f2e90947d863674ede019375e3647b7c8831c8,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,1552,0,2849,1.0,3.432648586777037,0.041473899967968464,0.0003625310383381968,0.000450156208557866,ungated-unitscope-lambda075,0.75,a90342c011d05c13791437539723d4a485ea71114e9dd21be72f5723f5ec6640
unitscope-tuned,this-work,user-certified,primary,603,2301a4444cd4cb7833674888f5f2e90947d863674ede019375e3647b7c8831c8,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,1552,0,2849,1.0,3.432648586777037,0.041825200023595244,0.0003625310383381968,0.000450156208557866,gated-unitscope,0.75,a90342c011d05c13791437539723d4a485ea71114e9dd21be72f5723f5ec6640
