method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,602,c531a958ca8a4320ba6fa6e732247cf2d3961a192db3000f3cc90231923b6a57,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1766,1766,1.0,1.1713954718028925,0.02986179996514693,0.0007017186305117942,0.0007236246975457052,stable-local-fallback,0.0,7fa4c3f5b0cb6503360392eef4094f13bee52beefeec710d5b3e6b1f27774f08
unitscope-tuned,this-work,user-certified,primary,602,c531a958ca8a4320ba6fa6e732247cf2d3961a192db3000f3cc90231923b6a57,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37514156285390715,0.6248584371460929,1325,0,1586,2911,1.0,3.4720141517927803,0.04357090004486963,0.0003641014794745889,0.0003893617410010307,ungated-unitscope-lambda075,0.75,7fa4c3f5b0cb6503360392eef4094f13bee52beefeec710d5b3e6b1f27774f08
unitscope-tuned,this-work,user-certified,primary,602,c531a958ca8a4320ba6fa6e732247cf2d3961a192db3000f3cc90231923b6a57,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37514156285390715,0.6248584371460929,1325,0,1586,2911,1.0,3.4720141517927803,0.04167040000902489,0.0003641014794745889,0.0003893617410010307,gated-unitscope,0.75,7fa4c3f5b0cb6503360392eef4094f13bee52beefeec710d5b3e6b1f27774f08
