method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,601,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1755,0,1755,1.0,1.831967826857768,0.029687500034924597,0.00032970484498477264,0.0004342283880175043,stable-local-fallback,0.0,8ae0e969eeac801a240ad7d916a3fd0aa340ed2bc9f405412de1910405213cd9
unitscope-tuned,this-work,user-certified,primary,601,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3754985754985755,0.6245014245014245,1318,1564,0,2882,1.0,2.7378125661396835,0.04147110000485554,0.00028967704941345966,0.0003871438131925102,ungated-unitscope-lambda075,0.75,8ae0e969eeac801a240ad7d916a3fd0aa340ed2bc9f405412de1910405213cd9
unitscope-tuned,this-work,user-certified,primary,601,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3754985754985755,0.6245014245014245,1318,1564,0,2882,1.0,2.7378125661396835,0.041568599990569055,0.00028967704941345966,0.0003871438131925102,gated-unitscope,0.75,8ae0e969eeac801a240ad7d916a3fd0aa340ed2bc9f405412de1910405213cd9
