method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,603,b6dc8e1c2b0984336fde41cf9f2bf87ab032eaf60ef3f614cd44627fc000c7fe,0.0,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1730,1730,1.0,0.7265124363674468,0.029262500000186265,0.0008214886653094024,0.0009221215093337669,stable-local-fallback,0.0,8c836b442c7966d0b7448177443947dd3a1275c1efd24ffd268621a1a5002d28
unitscope-tuned,this-work,user-certified,primary,603,b6dc8e1c2b0984336fde41cf9f2bf87ab032eaf60ef3f614cd44627fc000c7fe,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,0,1552,2849,1.0,3.316701933511235,0.04238570004235953,0.0003940479578810161,0.0004834299088978207,ungated-unitscope-lambda075,0.75,8c836b442c7966d0b7448177443947dd3a1275c1efd24ffd268621a1a5002d28
unitscope-tuned,this-work,user-certified,primary,603,b6dc8e1c2b0984336fde41cf9f2bf87ab032eaf60ef3f614cd44627fc000c7fe,0.75,2,6,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,0,1552,2849,1.0,3.316701933511235,0.04163059999700636,0.0003940479578810161,0.0004834299088978207,gated-unitscope,0.75,8c836b442c7966d0b7448177443947dd3a1275c1efd24ffd268621a1a5002d28
