method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,609,4e1dd22803650e9fcae6ac62a891ceb816a0a2182d8f3622e8b44ca748d2c225,0.0,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1759,0,1759,1.0,1.4213382416695413,0.029262299998663366,0.000759631249060943,0.0008089664977711274,stable-local-fallback,0.0,8123f4e67722e54d2d27ca944e918eddeb1168deb3a441edc9375a1765a15271
unitscope-tuned,this-work,user-certified,primary,609,4e1dd22803650e9fcae6ac62a891ceb816a0a2182d8f3622e8b44ca748d2c225,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37606594656054576,0.6239340534394542,1323,1577,0,2900,1.0,4.0445710168892095,0.042160000011790544,0.00043487085251593026,0.00046470847303773245,ungated-unitscope-lambda075,0.75,8123f4e67722e54d2d27ca944e918eddeb1168deb3a441edc9375a1765a15271
unitscope-tuned,this-work,user-certified,primary,609,4e1dd22803650e9fcae6ac62a891ceb816a0a2182d8f3622e8b44ca748d2c225,0.75,2,8,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37606594656054576,0.6239340534394542,1323,1577,0,2900,1.0,4.0445710168892095,0.041573100024834275,0.00043487085251593026,0.00046470847303773245,gated-unitscope,0.75,8123f4e67722e54d2d27ca944e918eddeb1168deb3a441edc9375a1765a15271
