method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,603,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.0,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,1730,0,1730,1.0,2.179537309102342,0.02961289999075234,0.00042117049066537726,0.0005054240934033206,stable-local-fallback,0.0,e738c78a8ecd60e61d20a2b19819cbbbb94e7cfee16f66031dd0861cbecf9ff9
unitscope-tuned,this-work,user-certified,primary,603,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,1552,0,2849,1.0,3.5520095912119607,0.04076939995866269,0.000332766832633666,0.00041863522205619965,ungated-unitscope-lambda075,0.75,e738c78a8ecd60e61d20a2b19819cbbbb94e7cfee16f66031dd0861cbecf9ff9
unitscope-tuned,this-work,user-certified,primary,603,2857213005dc2d622202b3392c5548acaf75810e33d4bcc93029c59e806a222a,0.75,2,4,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,False,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,1552,0,2849,1.0,3.5520095912119607,0.044365800044033676,0.000332766832633666,0.00041863522205619965,gated-unitscope,0.75,e738c78a8ecd60e61d20a2b19819cbbbb94e7cfee16f66031dd0861cbecf9ff9
