q_user,q_record,rep,exact_q_user,exact_q_record,released_q_user,released_q_record,expected_cell,selected_cell,expected_lambda,selected_lambda,misclassified,selection_record,selection_sha256
0.25,0.25,0,0.24923076923076923,0.2500497809637595,0.2507734992249421,0.2626251139325526,u0-r0,u0-r0,0.0,0.0,False,q025_r025_rep00.json,acdc6db6b2678c9008916a7b1d9a5cb0cbe481fb41881f4dbaa893051c6f1fcf
0.25,0.25,1,0.24923076923076923,0.2500497809637595,0.25417467621209927,0.28020537812141744,u0-r0,u0-r0,0.0,0.0,False,q025_r025_rep01.json,8426fda16daacc2ff002479e81db2dabf816e7956eabeb3cd01d20ef14f4b1da
0.25,0.25,2,0.24923076923076923,0.2500497809637595,0.2487730534665805,0.25312774498295126,u0-r0,u0-r0,0.0,0.0,False,q025_r025_rep02.json,a17c750936b86e1110be17316e34196373e56ae51a6f0e07928ad3e8ea6dc547
0.25,0.25,3,0.24923076923076923,0.2500497809637595,0.25690483126903396,0.2252168883808379,u0-r0,u0-r0,0.0,0.0,False,q025_r025_rep03.json,fdd4e27a3a37cc87d8cf042a754c6af109e83ef5979ec6fdf51ebdff4df1eb7f
0.25,0.25,4,0.24923076923076923,0.2500497809637595,0.2613363790903535,0.2584937087054057,u0-r0,u0-r0,0.0,0.0,False,q025_r025_rep04.json,1727dd9812fbf14c456af239c1f086d233951102a18f5b6612541204f21b9994
0.25,0.25,5,0.24923076923076923,0.2500497809637595,0.24423450714485187,0.22869777673630132,u0-r0,u0-r0,0.0,0.0,False,q025_r025_rep05.json,3091489fe89bcb45f27deb493e9c703040616a1358271d9a5d6ce3ca18991ba5
0.25,0.25,6,0.24923076923076923,0.2500497809637595,0.2571883477660217,0.23696392123265977,u0-r0,u0-r0,0.0,0.0,False,q025_r025_rep06.json,921278305cb77f996c7e781cfeb61efd59aede5a096c26333713b7180630a6fc
0.25,0.25,7,0.24923076923076923,0.2500497809637595,0.25271159489205636,0.2144133324896654,u0-r0,u0-r0,0.0,0.0,False,q025_r025_rep07.json,ab7911384ea35f3b74c5414264615a167ebe5136f6a4012e63cc6ffd6c368b53
0.25,0.25,8,0.24923076923076923,0.2500497809637595,0.282774981347933,0.2421026452415446,u0-r0,u0-r0,0.0,0.0,False,q025_r025_rep08.json,8cf228150e775b33df5a57dd04d55a93cea8c383028d0470cf67a88010a81b46
0.25,0.25,9,0.24923076923076923,0.2500497809637595,0.2438639172454705,0.2687303920281066,u0-r0,u0-r0,0.0,0.0,False,q025_r025_rep09.json,86e3d2d2d89a9022d85be9dab686a04f01ea417565fa49aa69bcd190a081b00c
0.25,0.5,0,0.24923076923076923,0.500099561927519,0.2707245535135963,0.4814237203945076,u0-r1,u0-r1,0.0,0.0,False,q025_r050_rep00.json,dcdfb754bfc6de7e13d4911ff2e173a580ff7969321f12dadaf98c17df06487e
0.25,0.5,1,0.24923076923076923,0.500099561927519,0.2757073600461912,0.46733832973599543,u0-r1,u0-r1,0.0,0.0,False,q025_r050_rep01.json,24de85ba243ac3ab54a037affc3393314f393a3452c36179686aa650bf5be27a
0.25,0.5,2,0.24923076923076923,0.500099561927519,0.254205700841423,0.49379449659471414,u0-r1,u0-r1,0.0,0.0,False,q025_r050_rep02.json,ee527388faf20ef6434c6dfb3988bf56b1adb464c97d18bc80423748d7dfd039
0.25,0.5,3,0.24923076923076923,0.500099561927519,0.24096395683484853,0.5122239226142686,u0-r1,u0-r1,0.0,0.0,False,q025_r050_rep03.json,1ad16e5a116d93b22b2585e788be22b990dc5e2835f84348a56b25174fb33cce
0.25,0.5,4,0.24923076923076923,0.500099561927519,0.2422669267268522,0.49778685897852876,u0-r1,u0-r1,0.0,0.0,False,q025_r050_rep04.json,bfea7e8d17c3e5e2fea20df6553f54700fad8fa64ceb5a711c6f937e74ae8bd5
0.25,0.5,5,0.24923076923076923,0.500099561927519,0.25472154718069406,0.5138105392355958,u0-r1,u0-r1,0.0,0.0,False,q025_r050_rep05.json,df7d855d50a3df0e63e41ac32cdbda8fa4516a6a2c82e4884dcb3fa2e13f747b
0.25,0.5,6,0.24923076923076923,0.500099561927519,0.24328825197193757,0.514325528712733,u0-r1,u0-r1,0.0,0.0,False,q025_r050_rep06.json,b9369f38d15b5eff517ca3de61a741568813668b91263b9a40a26ecd666bed40
0.25,0.5,7,0.24923076923076923,0.500099561927519,0.2720546163191747,0.4865805035580896,u0-r1,u0-r1,0.0,0.0,False,q025_r050_rep07.json,bf4fd671e11fe13cd37479057b3b3efe1794dfb1be249c1849d65bb0acba02f3
0.25,0.5,8,0.24923076923076923,0.500099561927519,0.2624759674388297,0.4770450768591113,u0-r1,u0-r1,0.0,0.0,False,q025_r050_rep08.json,7941311ab10923a5ca549a89ac9f84ac8320c3f5d8f34728b651050723d9d934
0.25,0.5,9,0.24923076923076923,0.500099561927519,0.27001718131495317,0.47542097969570635,u0-r1,u0-r1,0.0,0.0,False,q025_r050_rep09.json,b23fca814afd3d5e5b55b1754f541fc45b38a0f4ea2447c9087ca4a637b7b2c4
0.25,0.75,0,0.24923076923076923,0.7499502190362406,0.26706866393947487,0.7499180772952926,u0-r2,u0-r2,0.0,0.0,False,q025_r075_rep00.json,4fd61781cc7c4f5d8bcbf959dc5c2cc311122a3801630acd92013132c7f10cfc
0.25,0.75,1,0.24923076923076923,0.7499502190362406,0.2587731840226484,0.7492301720505572,u0-r2,u0-r2,0.0,0.0,False,q025_r075_rep01.json,99910db99eacb2fa5b1bad3a7593c5d622b39ea28da3007f232922aa49791555
0.25,0.75,2,0.24923076923076923,0.7499502190362406,0.23599038051965282,0.7542651746266426,u0-r2,u0-r2,0.0,0.0,False,q025_r075_rep02.json,6a03edc4eeed5dee8f34c39cb424f8b8edb8b1f25d21a3eaf156c8e1eab61419
0.25,0.75,3,0.24923076923076923,0.7499502190362406,0.23509044930351017,0.7538033933128773,u0-r2,u0-r2,0.0,0.0,False,q025_r075_rep03.json,45cac9768a0bcb61dcea6ca3dd5370b3a1fd783ae53f891b5239a2e6c1794f36
