B,C,H,aggregate_snr,certificate_type,certified_sensitivity,clip_fraction,comparison_tier,complete_units,config_hash,contributing_record_gradient_evaluations,dataset,delta,diagnostic_gradient_seconds,diagnostic_record_gradient_evaluations,dropped_units,effective_record_utilization,epsilon,evidence_seed,evidence_view,gradient_distortion_l2,group_gradient_evaluations,handle_users_fully_covered_fraction,handle_users_with_residual_fraction,implementation_provenance,lambda,local_atom_units,local_mixed_units,manifest_hash,mean_residual_records_per_handle_user,method,metric_name,metric_value,noise_multiplier,noise_seed,noise_sensitivity,noisy_releases,non_dummy_record_gradient_evaluations,oracle_audit_seconds,overlap_probability,partial_clip_fraction,partial_gradient_distortion_l2,partial_handle_record_fraction,partial_handle_units,patient_or_user_auprc,plan_config_hash,privacy_semantics,public_normalizer,q_record_given_handle,q_record_given_handle_pooled,q_record_given_handle_requested,q_record_total,q_user,q_user_requested,realized_overlap_fraction,record_gradient_evaluations,residual_clip_fraction,residual_gradient_distortion_l2,residual_record_fraction,run_id,sample_accuracy,scenario,schedule_seed,seed,split_seed,structural_sensitivity_bound,topology_seed,user_macro_accuracy,validation_pass,wall_time_seconds,q_user_cell,q_record_cell
6,1.0,1,0.0029713640941054584,plan-c,1.0,0.9999999904632568,diagnostic,0,0d2f986dfbc84bc642baddc0fbf8388348e8c7865991ec4cc23a0c83e692c748,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.8578784030675888,20956,0.0,1.0,this-work,0.9,1656,0,2ac752325d2ab0f711b4fbf95ca42bbc21d4bebc4d8ff620e437e19193126e7c,15.993827160493828,unitscope-lambda-sweep,user_macro_accuracy,0.1472869318181818,9.214933748786253,31005,1.0,50,25600,0.06349939995561726,0.5,0.9999999940395355,0.13473894342780113,0.1275390625,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5000995619275189,0.5000964692263168,0.5,0.1246273680161554,0.24923076923076923,0.25,0.5,25600,0.9999999964237213,0.7595836317539215,0.8724609375,17b71af07356206c04aa023036293c92a5ab608d4c90386c5a459cea1d72b1cf,0.14657469822856248,custom,31004,0,31001,1.0,31002,0.1472869318181818,True,15.489335400052369,0.25,0.5
6,1.0,1,0.0031302021624126913,plan-c,1.0,0.9999999940395355,primary,0,0d2f986dfbc84bc642baddc0fbf8388348e8c7865991ec4cc23a0c83e692c748,3265,femnist,1e-05,9.494324599931133,25600,1656,0.1275390625,4.0,31003,controlled,0.8565957516431808,2724,0.0,1.0,this-work,1.0,0,0,2ac752325d2ab0f711b4fbf95ca42bbc21d4bebc4d8ff620e437e19193126e7c,15.993827160493828,handle-only-drop-residual,user_macro_accuracy,0.14306818181818182,9.214933748786253,31005,1.0,50,3265,0.062427400043816306,0.5,0.9999999940395355,0.1325866439566016,0.1275390625,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5000995619275189,0.5000964692263168,0.5,0.1246273680161554,0.24923076923076923,0.25,0.5,25600,0.0,0.7603661395609379,0.0,71e5bc5dddba5fe40779bb5ae5ecf121c5749be9f2c72da9ead6451c15290df7,0.14234205988399434,custom,31004,0,31001,1.0,31002,0.14306818181818182,True,17.02031740001985,0.25,0.5
6,1.0,1,0.0029262615719561407,plan-c,1.0,0.9999999952316284,diagnostic,0,0d2f986dfbc84bc642baddc0fbf8388348e8c7865991ec4cc23a0c83e692c748,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,1.142565758228302,20954,0.0,1.0,this-work,0.9,1656,0,2ac752325d2ab0f711b4fbf95ca42bbc21d4bebc4d8ff620e437e19193126e7c,15.993827160493828,unitscope-lambda-sweep,user_macro_accuracy,0.10154829545454545,9.214933748786253,61005,1.0,50,25600,0.0684229000180494,0.5,0.9999999916553497,0.17578601494431495,0.1240234375,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5000995619275189,0.5000964692263168,0.5,0.1246273680161554,0.24923076923076923,0.25,0.5,25600,0.9999999988079071,1.0131352676451206,0.8759765625,780e356c9f92cad35d0bef0d751b61e2f2a19d75a153d71a54eb3c56b0da0210,0.10158332026963474,custom,31007,3,31001,1.0,31002,0.10154829545454545,True,15.862187199978507,0.25,0.5
6,1.0,1,0.0029164554608634824,plan-c,1.0,0.9999999928474427,diagnostic,0,0d2f986dfbc84bc642baddc0fbf8388348e8c7865991ec4cc23a0c83e692c748,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,1.116943007707596,20861,0.0,1.0,this-work,0.9,1656,0,2ac752325d2ab0f711b4fbf95ca42bbc21d4bebc4d8ff620e437e19193126e7c,15.993827160493828,unitscope-lambda-sweep,user_macro_accuracy,0.14671875,9.214933748786253,41005,1.0,50,25600,0.06537040002876893,0.5,0.9999999916553497,0.15888506026938556,0.125,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5000995619275189,0.5000964692263168,0.5,0.1246273680161554,0.24923076923076923,0.25,0.5,25600,1.0,1.002909342199564,0.875,874245565470ad61cc2d8e1cb63b468ba7d77716da85a37c5b38548ebc0d8003,0.14720175576109107,custom,31005,1,31001,1.0,31002,0.14671875,True,15.846303999962402,0.25,0.5
6,1.0,1,0.0030759592185435865,plan-c,1.0,0.9999999928474427,primary,0,0d2f986dfbc84bc642baddc0fbf8388348e8c7865991ec4cc23a0c83e692c748,3161,femnist,1e-05,10.109825300081866,25600,1656,0.1234765625,4.0,31003,controlled,1.050202807933092,2635,0.0,1.0,this-work,1.0,0,0,2ac752325d2ab0f711b4fbf95ca42bbc21d4bebc4d8ff620e437e19193126e7c,15.993827160493828,handle-only-drop-residual,user_macro_accuracy,0.1878125,9.214933748786253,71005,1.0,50,3161,0.06691900003352202,0.5,0.9999999928474427,0.16262676045298577,0.1234765625,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5000995619275189,0.5000964692263168,0.5,0.1246273680161554,0.24923076923076923,0.25,0.5,25600,0.0,0.9391016401350498,0.0,8f1b02a46ba15e0b33eed5c090dec954551ff7ca960a5fdcd9b564fe278dc2a2,0.18843078852484715,custom,31008,4,31001,1.0,31002,0.1878125,True,15.207828299884568,0.25,0.5
6,1.0,1,0.002908803811681474,plan-c,1.0,0.9999999916553497,diagnostic,0,0d2f986dfbc84bc642baddc0fbf8388348e8c7865991ec4cc23a0c83e692c748,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,1.0423188790678979,20933,0.0,1.0,this-work,0.9,1656,0,2ac752325d2ab0f711b4fbf95ca42bbc21d4bebc4d8ff620e437e19193126e7c,15.993827160493828,unitscope-lambda-sweep,user_macro_accuracy,0.18609375,9.214933748786253,71005,1.0,50,25600,0.07022380008129403,0.5,0.9999999928474427,0.16378808341920376,0.1234765625,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5000995619275189,0.5000964692263168,0.5,0.1246273680161554,0.24923076923076923,0.25,0.5,25600,0.9999999952316284,0.9307125702500343,0.8765234375,b1c052a99ac665b643b492561548795ec1be0f404bbffbf2ac48730a7a13db74,0.18670638031039347,custom,31008,4,31001,1.0,31002,0.18609375,True,15.663224999923841,0.25,0.5
6,1.0,1,0.003081438863695426,plan-c,1.0,0.9999999916553497,primary,0,0d2f986dfbc84bc642baddc0fbf8388348e8c7865991ec4cc23a0c83e692c748,3200,femnist,1e-05,9.530163500006893,25600,1656,0.125,4.0,31003,controlled,1.1382466197013854,2667,0.0,1.0,this-work,1.0,0,0,2ac752325d2ab0f711b4fbf95ca42bbc21d4bebc4d8ff620e437e19193126e7c,15.993827160493828,handle-only-drop-residual,user_macro_accuracy,0.14296875,9.214933748786253,41005,1.0,50,3200,0.06375980004668236,0.5,0.9999999916553497,0.15883519385010003,0.125,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5000995619275189,0.5000964692263168,0.5,0.1246273680161554,0.24923076923076923,0.25,0.5,25600,0.0,1.0231788963079453,0.0,b31dac07900d7455b3270a8d97351c6ccaa3fa64ad7eb4b14fae83990ffda6b9,0.1434394105659194,custom,31005,1,31001,1.0,31002,0.14296875,True,15.22741529995983,0.25,0.5
6,1.0,1,0.0028459223066918744,plan-c,1.0,0.9999999904632568,diagnostic,0,0d2f986dfbc84bc642baddc0fbf8388348e8c7865991ec4cc23a0c83e692c748,25600,femnist,1e-05,0.0,0,0,1.0,4.0,31003,controlled,0.8422390384972096,20817,0.0,1.0,this-work,0.9,1656,0,2ac752325d2ab0f711b4fbf95ca42bbc21d4bebc4d8ff620e437e19193126e7c,15.993827160493828,unitscope-lambda-sweep,user_macro_accuracy,0.1470028409090909,9.214933748786253,51005,1.0,50,25600,0.07154749998881016,0.5,0.9999999928474427,0.14272726135328412,0.1271484375,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5000995619275189,0.5000964692263168,0.5,0.1246273680161554,0.24923076923076923,0.25,0.5,25600,0.9999999976158143,0.7436202138662338,0.8728515625,cd87c3b4801f75eb6ede87b2b9f18c4e70ecc4f38b51cfd2cad2e72b0f8d0974,0.1468882269948268,custom,31006,2,31001,1.0,31002,0.1470028409090909,True,15.455320100023528,0.25,0.5
6,1.0,1,0.0030864446640995434,plan-c,1.0,0.9999999916553497,primary,0,0d2f986dfbc84bc642baddc0fbf8388348e8c7865991ec4cc23a0c83e692c748,3175,femnist,1e-05,10.010593500061077,25600,1656,0.1240234375,4.0,31003,controlled,1.1474488580226898,2651,0.0,1.0,this-work,1.0,0,0,2ac752325d2ab0f711b4fbf95ca42bbc21d4bebc4d8ff620e437e19193126e7c,15.993827160493828,handle-only-drop-residual,user_macro_accuracy,0.10107954545454545,9.214933748786253,61005,1.0,50,3175,0.07350120006594807,0.5,0.9999999916553497,0.1735388069227338,0.1240234375,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5000995619275189,0.5000964692263168,0.5,0.1246273680161554,0.24923076923076923,0.25,0.5,25600,0.0,1.0196757812798023,0.0,e78357e0f4f3b42cee56ad1a25e8f60f0802fc38be30568dd606bc4f51412656,0.10111302712023829,custom,31007,3,31001,1.0,31002,0.10107954545454545,True,16.04108359986276,0.25,0.5
6,1.0,1,0.0030330170596351434,plan-c,1.0,0.9999999928474427,primary,0,0d2f986dfbc84bc642baddc0fbf8388348e8c7865991ec4cc23a0c83e692c748,3255,femnist,1e-05,9.978428400034318,25600,1656,0.1271484375,4.0,31003,controlled,0.8489224588871003,2727,0.0,1.0,this-work,1.0,0,0,2ac752325d2ab0f711b4fbf95ca42bbc21d4bebc4d8ff620e437e19193126e7c,15.993827160493828,handle-only-drop-residual,user_macro_accuracy,0.1421590909090909,9.214933748786253,51005,1.0,50,3255,0.0685838999634143,0.5,0.9999999928474427,0.14174204224720596,0.1271484375,162,,85e2c0f67dd26b6eb06bd8a9d1355cd162f47ba512379568bb155acfe11a2c54,user-certified,512.0,0.5000995619275189,0.5000964692263168,0.5,0.1246273680161554,0.24923076923076923,0.25,0.5,25600,0.0,0.7507751193642617,0.0,f16bf48d8001765b71690b49a35332943c6a1290a8300f7d24f49df92e15c7d3,0.14202853111773006,custom,31006,2,31001,1.0,31002,0.1421590909090909,True,14.725171600002795,0.25,0.5
