dataset,threshold,entity_id,deleted_records,touched_components,touched_records,deleted_group_tags,inserted_group_tags,witnessed_wur,changed_surviving_records
febrl2,0.72,1854,1,1,1,1,0,1,0
febrl2,0.72,1893,2,1,2,1,0,1,0
febrl2,0.72,2416,1,1,4,1,1,2,3
febrl2,0.72,976,1,1,1,1,0,1,0
febrl2,0.72,2369,1,1,1,1,0,1,0
febrl2,0.72,922,1,1,1,1,0,1,0
febrl2,0.72,1600,1,1,1,1,0,1,0
febrl2,0.72,1687,5,1,5,1,0,1,0
febrl2,0.72,2058,1,1,1,1,0,1,0
febrl2,0.72,3891,3,1,3,1,0,1,0
febrl2,0.72,1433,1,1,1,1,0,1,0
febrl2,0.72,3458,1,1,1,1,0,1,0
febrl2,0.72,3860,1,1,1,1,0,1,0
febrl2,0.72,54,1,1,1,1,0,1,0
febrl2,0.72,1563,1,1,1,1,0,1,0
febrl2,0.72,2276,1,1,1,1,0,1,0
febrl2,0.72,1843,1,1,1,1,0,1,0
febrl2,0.72,274,1,1,1,1,0,1,0
febrl2,0.72,2483,1,1,2,1,1,2,1
febrl2,0.72,633,4,1,4,1,0,1,0
febrl2,0.72,2912,1,1,2,1,1,2,1
febrl2,0.72,2753,1,1,1,1,0,1,0
febrl2,0.72,3562,1,1,1,1,0,1,0
febrl2,0.72,2738,1,1,1,1,0,1,0
febrl2,0.72,2965,1,1,1,1,0,1,0
febrl2,0.72,2733,6,1,6,1,0,1,0
febrl2,0.72,2367,1,1,1,1,0,1,0
febrl2,0.72,534,5,1,5,1,0,1,0
febrl2,0.72,1557,1,1,1,1,0,1,0
febrl2,0.72,623,2,1,2,1,0,1,0
febrl2,0.72,3166,3,1,3,1,0,1,0
febrl2,0.72,107,5,1,5,1,0,1,0
febrl2,0.72,2093,1,1,2,1,1,2,1
febrl2,0.72,3451,1,1,1,1,0,1,0
febrl2,0.72,717,1,1,1,1,0,1,0
febrl2,0.72,3072,1,1,1,1,0,1,0
febrl2,0.72,3947,1,1,1,1,0,1,0
febrl2,0.72,455,6,1,6,1,0,1,0
febrl2,0.72,1080,1,1,1,1,0,1,0
febrl2,0.72,626,3,1,3,1,0,1,0
febrl2,0.72,1706,1,1,1,1,0,1,0
febrl2,0.72,2351,1,1,1,1,0,1,0
febrl2,0.72,2731,3,2,3,2,0,2,0
febrl2,0.72,1592,1,1,1,1,0,1,0
febrl2,0.72,3517,1,1,1,1,0,1,0
febrl2,0.72,182,3,1,3,1,0,1,0
febrl2,0.72,219,1,1,1,1,0,1,0
febrl2,0.72,2745,1,1,1,1,0,1,0
febrl2,0.72,2669,1,1,1,1,0,1,0
febrl2,0.72,6,4,1,4,1,0,1,0
febrl2,0.72,1934,1,1,1,1,0,1,0
febrl2,0.72,859,1,1,1,1,0,1,0
febrl2,0.72,1476,1,1,1,1,0,1,0
