dataset,seed,method,round,metric_name,metric_value,run_id
movielens1m,415,full-identity-reference,50,user_macro_accuracy,0.5421518092495764,1a7af48f4af1f5e11a80ee44905516a23842c9ffaf5669a921bf8ddd9695d1e9
movielens1m,416,full-identity-reference,0,user_macro_accuracy,0.5056569907009654,bd607b718d53b9d6ccc3e97ae3ae8b9998b0c4cf755a89bec3f7aee758f639f1
movielens1m,416,full-identity-reference,10,user_macro_accuracy,0.5279226720337737,bd607b718d53b9d6ccc3e97ae3ae8b9998b0c4cf755a89bec3f7aee758f639f1
movielens1m,416,full-identity-reference,20,user_macro_accuracy,0.5126811832799347,bd607b718d53b9d6ccc3e97ae3ae8b9998b0c4cf755a89bec3f7aee758f639f1
movielens1m,416,full-identity-reference,30,user_macro_accuracy,0.5227118121330666,bd607b718d53b9d6ccc3e97ae3ae8b9998b0c4cf755a89bec3f7aee758f639f1
movielens1m,416,full-identity-reference,40,user_macro_accuracy,0.5364581189532562,bd607b718d53b9d6ccc3e97ae3ae8b9998b0c4cf755a89bec3f7aee758f639f1
movielens1m,416,full-identity-reference,50,user_macro_accuracy,0.5385854135469831,bd607b718d53b9d6ccc3e97ae3ae8b9998b0c4cf755a89bec3f7aee758f639f1
movielens1m,417,full-identity-reference,0,user_macro_accuracy,0.5015961887780437,54fe568825337103cf8e9ca29a7199ea3fffb72c154868ad5d6ea4c7346f495a
movielens1m,417,full-identity-reference,10,user_macro_accuracy,0.5139720700910717,54fe568825337103cf8e9ca29a7199ea3fffb72c154868ad5d6ea4c7346f495a
movielens1m,417,full-identity-reference,20,user_macro_accuracy,0.5434349815505086,54fe568825337103cf8e9ca29a7199ea3fffb72c154868ad5d6ea4c7346f495a
movielens1m,417,full-identity-reference,30,user_macro_accuracy,0.5335628710979448,54fe568825337103cf8e9ca29a7199ea3fffb72c154868ad5d6ea4c7346f495a
movielens1m,417,full-identity-reference,40,user_macro_accuracy,0.5336317702491145,54fe568825337103cf8e9ca29a7199ea3fffb72c154868ad5d6ea4c7346f495a
movielens1m,417,full-identity-reference,50,user_macro_accuracy,0.5380631856626944,54fe568825337103cf8e9ca29a7199ea3fffb72c154868ad5d6ea4c7346f495a
movielens1m,418,full-identity-reference,0,user_macro_accuracy,0.49539024342287735,b5c5a4dece13d6e9edaa1d3dc63bfb3e62ca9fb221b7011e61039f5a52efa1ac
movielens1m,418,full-identity-reference,10,user_macro_accuracy,0.49995859248518587,b5c5a4dece13d6e9edaa1d3dc63bfb3e62ca9fb221b7011e61039f5a52efa1ac
movielens1m,418,full-identity-reference,20,user_macro_accuracy,0.5166669732682402,b5c5a4dece13d6e9edaa1d3dc63bfb3e62ca9fb221b7011e61039f5a52efa1ac
movielens1m,418,full-identity-reference,30,user_macro_accuracy,0.5270672027391303,b5c5a4dece13d6e9edaa1d3dc63bfb3e62ca9fb221b7011e61039f5a52efa1ac
movielens1m,418,full-identity-reference,40,user_macro_accuracy,0.528750883847162,b5c5a4dece13d6e9edaa1d3dc63bfb3e62ca9fb221b7011e61039f5a52efa1ac
movielens1m,418,full-identity-reference,50,user_macro_accuracy,0.5403749612925899,b5c5a4dece13d6e9edaa1d3dc63bfb3e62ca9fb221b7011e61039f5a52efa1ac
movielens1m,419,full-identity-reference,0,user_macro_accuracy,0.5078932498648308,ce2d19798e2cab399eed7f1cda223a4a68a1691c9102e6bcfb24fe9af5c407ba
movielens1m,419,full-identity-reference,10,user_macro_accuracy,0.5249239371944816,ce2d19798e2cab399eed7f1cda223a4a68a1691c9102e6bcfb24fe9af5c407ba
movielens1m,419,full-identity-reference,20,user_macro_accuracy,0.5305551078745318,ce2d19798e2cab399eed7f1cda223a4a68a1691c9102e6bcfb24fe9af5c407ba
movielens1m,419,full-identity-reference,30,user_macro_accuracy,0.5238608775997388,ce2d19798e2cab399eed7f1cda223a4a68a1691c9102e6bcfb24fe9af5c407ba
movielens1m,419,full-identity-reference,40,user_macro_accuracy,0.5389406842319499,ce2d19798e2cab399eed7f1cda223a4a68a1691c9102e6bcfb24fe9af5c407ba
movielens1m,419,full-identity-reference,50,user_macro_accuracy,0.541329579828932,ce2d19798e2cab399eed7f1cda223a4a68a1691c9102e6bcfb24fe9af5c407ba
movielens1m,410,handle-only-drop-residual,0,user_macro_accuracy,0.48942329252275074,8c8569859d76d98ff3bdc13067cc4b7bbeeb85ee00bbd7b20e17bd9256cc9bd6
movielens1m,410,handle-only-drop-residual,10,user_macro_accuracy,0.49458642182289375,8c8569859d76d98ff3bdc13067cc4b7bbeeb85ee00bbd7b20e17bd9256cc9bd6
movielens1m,410,handle-only-drop-residual,20,user_macro_accuracy,0.47448926104836225,8c8569859d76d98ff3bdc13067cc4b7bbeeb85ee00bbd7b20e17bd9256cc9bd6
movielens1m,410,handle-only-drop-residual,30,user_macro_accuracy,0.5147669258904873,8c8569859d76d98ff3bdc13067cc4b7bbeeb85ee00bbd7b20e17bd9256cc9bd6
movielens1m,410,handle-only-drop-residual,40,user_macro_accuracy,0.4971497484828603,8c8569859d76d98ff3bdc13067cc4b7bbeeb85ee00bbd7b20e17bd9256cc9bd6
movielens1m,410,handle-only-drop-residual,50,user_macro_accuracy,0.49028389930291266,8c8569859d76d98ff3bdc13067cc4b7bbeeb85ee00bbd7b20e17bd9256cc9bd6
movielens1m,411,handle-only-drop-residual,0,user_macro_accuracy,0.512359032090288,f20d3fbc92eeb4c085528ca0d0af80557f9b2a6178f9fddbfd2b82ca44579b21
movielens1m,411,handle-only-drop-residual,10,user_macro_accuracy,0.5114318301072827,f20d3fbc92eeb4c085528ca0d0af80557f9b2a6178f9fddbfd2b82ca44579b21
movielens1m,411,handle-only-drop-residual,20,user_macro_accuracy,0.5116983567021762,f20d3fbc92eeb4c085528ca0d0af80557f9b2a6178f9fddbfd2b82ca44579b21
movielens1m,411,handle-only-drop-residual,30,user_macro_accuracy,0.5147596222648467,f20d3fbc92eeb4c085528ca0d0af80557f9b2a6178f9fddbfd2b82ca44579b21
movielens1m,411,handle-only-drop-residual,40,user_macro_accuracy,0.5137090536524344,f20d3fbc92eeb4c085528ca0d0af80557f9b2a6178f9fddbfd2b82ca44579b21
movielens1m,411,handle-only-drop-residual,50,user_macro_accuracy,0.5130514097817823,f20d3fbc92eeb4c085528ca0d0af80557f9b2a6178f9fddbfd2b82ca44579b21
movielens1m,412,handle-only-drop-residual,0,user_macro_accuracy,0.49499264027259887,785db7cec41b3d229036aa7e73853b8ca61dce6197ccf5e1ee4ecea4dbb8f20e
movielens1m,412,handle-only-drop-residual,10,user_macro_accuracy,0.4956756844171368,785db7cec41b3d229036aa7e73853b8ca61dce6197ccf5e1ee4ecea4dbb8f20e
movielens1m,412,handle-only-drop-residual,20,user_macro_accuracy,0.4946631097523546,785db7cec41b3d229036aa7e73853b8ca61dce6197ccf5e1ee4ecea4dbb8f20e
movielens1m,412,handle-only-drop-residual,30,user_macro_accuracy,0.5280096108735395,785db7cec41b3d229036aa7e73853b8ca61dce6197ccf5e1ee4ecea4dbb8f20e
movielens1m,412,handle-only-drop-residual,40,user_macro_accuracy,0.5263450389943609,785db7cec41b3d229036aa7e73853b8ca61dce6197ccf5e1ee4ecea4dbb8f20e
movielens1m,412,handle-only-drop-residual,50,user_macro_accuracy,0.5249979780160239,785db7cec41b3d229036aa7e73853b8ca61dce6197ccf5e1ee4ecea4dbb8f20e
movielens1m,413,handle-only-drop-residual,0,user_macro_accuracy,0.5106559030541481,b86783ba381c06ec9f5a9ccd0b7b8aa89bc63237bf80ab626e2f37a729d925e3
movielens1m,413,handle-only-drop-residual,10,user_macro_accuracy,0.5110069221766876,b86783ba381c06ec9f5a9ccd0b7b8aa89bc63237bf80ab626e2f37a729d925e3
movielens1m,413,handle-only-drop-residual,20,user_macro_accuracy,0.49310592334975656,b86783ba381c06ec9f5a9ccd0b7b8aa89bc63237bf80ab626e2f37a729d925e3
movielens1m,413,handle-only-drop-residual,30,user_macro_accuracy,0.4922270157817758,b86783ba381c06ec9f5a9ccd0b7b8aa89bc63237bf80ab626e2f37a729d925e3
movielens1m,413,handle-only-drop-residual,40,user_macro_accuracy,0.5155214253454427,b86783ba381c06ec9f5a9ccd0b7b8aa89bc63237bf80ab626e2f37a729d925e3
movielens1m,413,handle-only-drop-residual,50,user_macro_accuracy,0.5149439575819303,b86783ba381c06ec9f5a9ccd0b7b8aa89bc63237bf80ab626e2f37a729d925e3
movielens1m,414,handle-only-drop-residual,0,user_macro_accuracy,0.507106858149167,732be44cacf41cf855b0dea7243311e2d68ae97198b0eac8f356193a78a5074c
movielens1m,414,handle-only-drop-residual,10,user_macro_accuracy,0.5114086572017569,732be44cacf41cf855b0dea7243311e2d68ae97198b0eac8f356193a78a5074c
movielens1m,414,handle-only-drop-residual,20,user_macro_accuracy,0.5108533760707168,732be44cacf41cf855b0dea7243311e2d68ae97198b0eac8f356193a78a5074c
movielens1m,414,handle-only-drop-residual,30,user_macro_accuracy,0.5141109014609401,732be44cacf41cf855b0dea7243311e2d68ae97198b0eac8f356193a78a5074c
movielens1m,414,handle-only-drop-residual,40,user_macro_accuracy,0.5199210758555892,732be44cacf41cf855b0dea7243311e2d68ae97198b0eac8f356193a78a5074c
movielens1m,414,handle-only-drop-residual,50,user_macro_accuracy,0.512784181515042,732be44cacf41cf855b0dea7243311e2d68ae97198b0eac8f356193a78a5074c
movielens1m,415,handle-only-drop-residual,0,user_macro_accuracy,0.49472946744511714,ebfb0a2abf27e19ac01628f3176f9b3d0afc0d1939d4295d225281ee5da9bb91
movielens1m,415,handle-only-drop-residual,10,user_macro_accuracy,0.5092923790079616,ebfb0a2abf27e19ac01628f3176f9b3d0afc0d1939d4295d225281ee5da9bb91
movielens1m,415,handle-only-drop-residual,20,user_macro_accuracy,0.5097100548613455,ebfb0a2abf27e19ac01628f3176f9b3d0afc0d1939d4295d225281ee5da9bb91
movielens1m,415,handle-only-drop-residual,30,user_macro_accuracy,0.5126421046239746,ebfb0a2abf27e19ac01628f3176f9b3d0afc0d1939d4295d225281ee5da9bb91
movielens1m,415,handle-only-drop-residual,40,user_macro_accuracy,0.5152073929719643,ebfb0a2abf27e19ac01628f3176f9b3d0afc0d1939d4295d225281ee5da9bb91
movielens1m,415,handle-only-drop-residual,50,user_macro_accuracy,0.5126097741071913,ebfb0a2abf27e19ac01628f3176f9b3d0afc0d1939d4295d225281ee5da9bb91
movielens1m,416,handle-only-drop-residual,0,user_macro_accuracy,0.5056569907009654,d70c0d08f3ab38ea37c74434a628665a1aebf937441e26258b6b9169f966e91a
movielens1m,416,handle-only-drop-residual,10,user_macro_accuracy,0.5155079942236861,d70c0d08f3ab38ea37c74434a628665a1aebf937441e26258b6b9169f966e91a
movielens1m,416,handle-only-drop-residual,20,user_macro_accuracy,0.49560846457003405,d70c0d08f3ab38ea37c74434a628665a1aebf937441e26258b6b9169f966e91a
movielens1m,416,handle-only-drop-residual,30,user_macro_accuracy,0.5107133683216769,d70c0d08f3ab38ea37c74434a628665a1aebf937441e26258b6b9169f966e91a
movielens1m,416,handle-only-drop-residual,40,user_macro_accuracy,0.5046468080597506,d70c0d08f3ab38ea37c74434a628665a1aebf937441e26258b6b9169f966e91a
movielens1m,416,handle-only-drop-residual,50,user_macro_accuracy,0.5110195353683373,d70c0d08f3ab38ea37c74434a628665a1aebf937441e26258b6b9169f966e91a
movielens1m,417,handle-only-drop-residual,0,user_macro_accuracy,0.5015961887780437,09446f154dfc94d592d2894822c7a005a3924674965251fc5783e55d0a065dde
movielens1m,417,handle-only-drop-residual,10,user_macro_accuracy,0.5038343686595134,09446f154dfc94d592d2894822c7a005a3924674965251fc5783e55d0a065dde
movielens1m,417,handle-only-drop-residual,20,user_macro_accuracy,0.4976751448616941,09446f154dfc94d592d2894822c7a005a3924674965251fc5783e55d0a065dde
movielens1m,417,handle-only-drop-residual,30,user_macro_accuracy,0.5130103072265375,09446f154dfc94d592d2894822c7a005a3924674965251fc5783e55d0a065dde
movielens1m,417,handle-only-drop-residual,40,user_macro_accuracy,0.5034184569300668,09446f154dfc94d592d2894822c7a005a3924674965251fc5783e55d0a065dde
movielens1m,417,handle-only-drop-residual,50,user_macro_accuracy,0.506175195805538,09446f154dfc94d592d2894822c7a005a3924674965251fc5783e55d0a065dde
movielens1m,418,handle-only-drop-residual,0,user_macro_accuracy,0.49539024342287735,d6d99d65760910200b556c883484b954e04829fa5dbe189cff2db7a354b45e7e
movielens1m,418,handle-only-drop-residual,10,user_macro_accuracy,0.48408880293514833,d6d99d65760910200b556c883484b954e04829fa5dbe189cff2db7a354b45e7e
movielens1m,418,handle-only-drop-residual,20,user_macro_accuracy,0.4892191082440864,d6d99d65760910200b556c883484b954e04829fa5dbe189cff2db7a354b45e7e
movielens1m,418,handle-only-drop-residual,30,user_macro_accuracy,0.5054455173969576,d6d99d65760910200b556c883484b954e04829fa5dbe189cff2db7a354b45e7e
movielens1m,418,handle-only-drop-residual,40,user_macro_accuracy,0.513502678063201,d6d99d65760910200b556c883484b954e04829fa5dbe189cff2db7a354b45e7e
movielens1m,418,handle-only-drop-residual,50,user_macro_accuracy,0.511563508068598,d6d99d65760910200b556c883484b954e04829fa5dbe189cff2db7a354b45e7e
movielens1m,419,handle-only-drop-residual,0,user_macro_accuracy,0.5078932498648308,c7590cee588de4b92a255873e274acc799d5d37fc5fae170090c299a4863756d
movielens1m,419,handle-only-drop-residual,10,user_macro_accuracy,0.5157934939556288,c7590cee588de4b92a255873e274acc799d5d37fc5fae170090c299a4863756d
movielens1m,419,handle-only-drop-residual,20,user_macro_accuracy,0.5123331383332644,c7590cee588de4b92a255873e274acc799d5d37fc5fae170090c299a4863756d
movielens1m,419,handle-only-drop-residual,30,user_macro_accuracy,0.511529869322969,c7590cee588de4b92a255873e274acc799d5d37fc5fae170090c299a4863756d
movielens1m,419,handle-only-drop-residual,40,user_macro_accuracy,0.5123202203927822,c7590cee588de4b92a255873e274acc799d5d37fc5fae170090c299a4863756d
movielens1m,419,handle-only-drop-residual,50,user_macro_accuracy,0.5139567278786807,c7590cee588de4b92a255873e274acc799d5d37fc5fae170090c299a4863756d
