"family","dataset","dirichlet_alpha","seed","method","round","metric_name","metric_value"
"credible-accuracy-epsilon8-v1","femnist","","122","naive-recalibrated-2c","0","user_macro_accuracy","0.1"
"credible-accuracy-epsilon8-v1","femnist","","122","naive-recalibrated-2c","10","user_macro_accuracy","0.171875"
"credible-accuracy-epsilon8-v1","femnist","","122","naive-recalibrated-2c","20","user_macro_accuracy","0.11078125"
"credible-accuracy-epsilon8-v1","femnist","","122","naive-recalibrated-2c","30","user_macro_accuracy","0.10984375"
"credible-accuracy-epsilon8-v1","femnist","","122","naive-recalibrated-2c","40","user_macro_accuracy","0.1675"
"credible-accuracy-epsilon8-v1","femnist","","122","naive-recalibrated-2c","50","user_macro_accuracy","0.175625"
"credible-accuracy-epsilon8-v1","femnist","","122","stable-local-fallback","0","user_macro_accuracy","0.1"
"credible-accuracy-epsilon8-v1","femnist","","122","stable-local-fallback","10","user_macro_accuracy","0.0990625"
"credible-accuracy-epsilon8-v1","femnist","","122","stable-local-fallback","20","user_macro_accuracy","0.09109375"
"credible-accuracy-epsilon8-v1","femnist","","122","stable-local-fallback","30","user_macro_accuracy","0.07640625"
"credible-accuracy-epsilon8-v1","femnist","","122","stable-local-fallback","40","user_macro_accuracy","0.1071875"
"credible-accuracy-epsilon8-v1","femnist","","122","stable-local-fallback","50","user_macro_accuracy","0.11703125"
"credible-accuracy-epsilon8-v1","femnist","","122","handle-only-drop-residual","0","user_macro_accuracy","0.1"
"credible-accuracy-epsilon8-v1","femnist","","122","handle-only-drop-residual","10","user_macro_accuracy","0.10125"
"credible-accuracy-epsilon8-v1","femnist","","122","handle-only-drop-residual","20","user_macro_accuracy","0.0975"
"credible-accuracy-epsilon8-v1","femnist","","122","handle-only-drop-residual","30","user_macro_accuracy","0.11171875"
"credible-accuracy-epsilon8-v1","femnist","","122","handle-only-drop-residual","40","user_macro_accuracy","0.131875"
"credible-accuracy-epsilon8-v1","femnist","","122","handle-only-drop-residual","50","user_macro_accuracy","0.10546875"
"credible-accuracy-epsilon8-v1","femnist","","123","naive-recalibrated-2c","0","user_macro_accuracy","0.100625"
"credible-accuracy-epsilon8-v1","femnist","","123","naive-recalibrated-2c","10","user_macro_accuracy","0.09953125"
"credible-accuracy-epsilon8-v1","femnist","","123","naive-recalibrated-2c","20","user_macro_accuracy","0.111875"
"credible-accuracy-epsilon8-v1","femnist","","123","naive-recalibrated-2c","30","user_macro_accuracy","0.17953125"
"credible-accuracy-epsilon8-v1","femnist","","123","naive-recalibrated-2c","40","user_macro_accuracy","0.14609375"
"credible-accuracy-epsilon8-v1","femnist","","123","naive-recalibrated-2c","50","user_macro_accuracy","0.1971875"
"credible-accuracy-epsilon8-v1","femnist","","123","unitscope-lambda-sweep","0","user_macro_accuracy","0.100625"
"credible-accuracy-epsilon8-v1","femnist","","123","unitscope-lambda-sweep","10","user_macro_accuracy","0.12578125"
"credible-accuracy-epsilon8-v1","femnist","","123","unitscope-lambda-sweep","20","user_macro_accuracy","0.12390625"
"credible-accuracy-epsilon8-v1","femnist","","123","unitscope-lambda-sweep","30","user_macro_accuracy","0.20703125"
"credible-accuracy-epsilon8-v1","femnist","","123","unitscope-lambda-sweep","40","user_macro_accuracy","0.18171875"
"credible-accuracy-epsilon8-v1","femnist","","123","unitscope-lambda-sweep","50","user_macro_accuracy","0.25390625"
"credible-accuracy-epsilon8-v1","femnist","","123","stable-local-fallback","0","user_macro_accuracy","0.100625"
"credible-accuracy-epsilon8-v1","femnist","","123","stable-local-fallback","10","user_macro_accuracy","0.14390625"
"credible-accuracy-epsilon8-v1","femnist","","123","stable-local-fallback","20","user_macro_accuracy","0.1371875"
"credible-accuracy-epsilon8-v1","femnist","","123","stable-local-fallback","30","user_macro_accuracy","0.10546875"
"credible-accuracy-epsilon8-v1","femnist","","123","stable-local-fallback","40","user_macro_accuracy","0.2153125"
"credible-accuracy-epsilon8-v1","femnist","","123","stable-local-fallback","50","user_macro_accuracy","0.2059375"
"credible-accuracy-epsilon8-v1","femnist","","123","handle-only-drop-residual","0","user_macro_accuracy","0.100625"
"credible-accuracy-epsilon8-v1","femnist","","123","handle-only-drop-residual","10","user_macro_accuracy","0.115625"
"credible-accuracy-epsilon8-v1","femnist","","123","handle-only-drop-residual","20","user_macro_accuracy","0.1271875"
"credible-accuracy-epsilon8-v1","femnist","","123","handle-only-drop-residual","30","user_macro_accuracy","0.20828125"
"credible-accuracy-epsilon8-v1","femnist","","123","handle-only-drop-residual","40","user_macro_accuracy","0.17015625"
"credible-accuracy-epsilon8-v1","femnist","","123","handle-only-drop-residual","50","user_macro_accuracy","0.255"
"credible-accuracy-epsilon8-v1","femnist","","124","naive-recalibrated-2c","0","user_macro_accuracy","0.0978125"
"credible-accuracy-epsilon8-v1","femnist","","124","naive-recalibrated-2c","10","user_macro_accuracy","0.0928125"
"credible-accuracy-epsilon8-v1","femnist","","124","naive-recalibrated-2c","20","user_macro_accuracy","0.11921875"
"credible-accuracy-epsilon8-v1","femnist","","124","naive-recalibrated-2c","30","user_macro_accuracy","0.07046875"
"credible-accuracy-epsilon8-v1","femnist","","124","naive-recalibrated-2c","40","user_macro_accuracy","0.15875"
"credible-accuracy-epsilon8-v1","femnist","","124","naive-recalibrated-2c","50","user_macro_accuracy","0.0765625"
"credible-accuracy-epsilon8-v1","femnist","","124","handle-only-drop-residual","0","user_macro_accuracy","0.0978125"
"credible-accuracy-epsilon8-v1","femnist","","124","handle-only-drop-residual","10","user_macro_accuracy","0.098125"
"credible-accuracy-epsilon8-v1","femnist","","124","handle-only-drop-residual","20","user_macro_accuracy","0.095625"
"credible-accuracy-epsilon8-v1","femnist","","124","handle-only-drop-residual","30","user_macro_accuracy","0.1590625"
"credible-accuracy-epsilon8-v1","femnist","","124","handle-only-drop-residual","40","user_macro_accuracy","0.09734375"
"credible-accuracy-epsilon8-v1","femnist","","124","handle-only-drop-residual","50","user_macro_accuracy","0.12203125"
"credible-accuracy-epsilon8-v1","femnist","","124","unitscope-lambda-sweep","0","user_macro_accuracy","0.0978125"
"credible-accuracy-epsilon8-v1","femnist","","124","unitscope-lambda-sweep","10","user_macro_accuracy","0.095625"
"credible-accuracy-epsilon8-v1","femnist","","124","unitscope-lambda-sweep","20","user_macro_accuracy","0.095625"
"credible-accuracy-epsilon8-v1","femnist","","124","unitscope-lambda-sweep","30","user_macro_accuracy","0.14421875"
"credible-accuracy-epsilon8-v1","femnist","","124","unitscope-lambda-sweep","40","user_macro_accuracy","0.0971875"
"credible-accuracy-epsilon8-v1","femnist","","124","unitscope-lambda-sweep","50","user_macro_accuracy","0.12140625"
"credible-accuracy-epsilon8-v1","femnist","","124","stable-local-fallback","0","user_macro_accuracy","0.0978125"
"credible-accuracy-epsilon8-v1","femnist","","124","stable-local-fallback","10","user_macro_accuracy","0.09609375"
"credible-accuracy-epsilon8-v1","femnist","","124","stable-local-fallback","20","user_macro_accuracy","0.13859375"
"credible-accuracy-epsilon8-v1","femnist","","124","stable-local-fallback","30","user_macro_accuracy","0.07453125"
"credible-accuracy-epsilon8-v1","femnist","","124","stable-local-fallback","40","user_macro_accuracy","0.100625"
