"B","C","H","aggregate_snr","certificate_type","certified_sensitivity","clip_fraction","comparison_tier","complete_units","config_hash","contributing_record_gradient_evaluations","dataset","delta","diagnostic_gradient_seconds","diagnostic_record_gradient_evaluations","dropped_units","effective_record_utilization","epsilon","evidence_seed","evidence_view","gradient_distortion_l2","group_gradient_evaluations","handle_users_fully_covered_fraction","handle_users_with_residual_fraction","implementation_provenance","lambda","local_atom_units","local_mixed_units","manifest_hash","mean_residual_records_per_handle_user","method","metric_name","metric_value","noise_multiplier","noise_seed","noise_sensitivity","noisy_releases","non_dummy_record_gradient_evaluations","oracle_audit_seconds","overlap_probability","partial_clip_fraction","partial_gradient_distortion_l2","partial_handle_record_fraction","partial_handle_units","patient_or_user_auprc","plan_config_hash","privacy_semantics","public_normalizer","q_record_given_handle","q_record_given_handle_pooled","q_record_given_handle_requested","q_record_total","q_user","q_user_requested","realized_overlap_fraction","record_gradient_evaluations","residual_clip_fraction","residual_gradient_distortion_l2","residual_record_fraction","run_id","sample_accuracy","scenario","schedule_seed","seed","split_seed","structural_sensitivity_bound","topology_seed","user_macro_accuracy","validation_pass","wall_time_seconds","family","dirichlet_alpha"
"6","1.0","1","0.005548584423094642","plan-delta","2.0","0.9999999785423279","primary","0","c5db85c890b74c2c38ad9fec1e3441ab33d09dd45fa344cb7dcf2395449a535b","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72001","controlled","0.8133995136618615","21389","0.0","1.0","this-work","","1599","0","98edd313ed1435d36637a4ca27deacf008d13ba3c78cd39a97b65fa4b81f0ed1","16.0","naive-recalibrated-2c","user_macro_accuracy","0.2429017857142857","4.901514315076063","1292001","2.0","50","25600","0.07099299991386943","0.5","0.999999989271164","0.24144278690218926","0.2478125","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.5","0.5","0.5","0.25","0.5","0.5","0.5","25600","0.9999999880790711","0.6306095097959041","0.7521875","177313c63b32d4932a51c8d854a17ba3d0886fd41b49e6b4e506d31a5afe3e53","0.24318395487308053","controlled-middle","82121","120","52001","2.0","62001","0.2429017857142857","True","15.18941730010556","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.007386047659024498","plan-c","1.0","0.9999999785423279","diagnostic","0","c5db85c890b74c2c38ad9fec1e3441ab33d09dd45fa344cb7dcf2395449a535b","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72001","controlled","0.2621435150504112","21389","0.0","1.0","this-work","0.9","1599","0","98edd313ed1435d36637a4ca27deacf008d13ba3c78cd39a97b65fa4b81f0ed1","16.0","unitscope-lambda-sweep","user_macro_accuracy","0.31729910714285714","4.901514315076063","1292001","1.0","50","25600","0.07613720002700575","0.5","0.999999989271164","0.07689697410911321","0.2478125","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.5","0.5","0.5","0.25","0.5","0.5","0.5","25600","0.9999999880790711","0.2143664103746414","0.7521875","7d94a2b254227be3e63642ba6bb80a9618dd1f0a4c68f20e124fec8dbe8e495e","0.31698527107489816","controlled-middle","82121","120","52001","1.0","62001","0.31729910714285714","True","15.295340699958615","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.008056789936318486","plan-c","1.0","0.999999989271164","primary","0","c5db85c890b74c2c38ad9fec1e3441ab33d09dd45fa344cb7dcf2395449a535b","6344","femnist","1e-05","10.070596499979729","25600","1599","0.2478125","8.0","72001","controlled","0.26515132546424863","5301","0.0","1.0","this-work","1.0","0","0","98edd313ed1435d36637a4ca27deacf008d13ba3c78cd39a97b65fa4b81f0ed1","16.0","handle-only-drop-residual","user_macro_accuracy","0.32859375","4.901514315076063","1292001","1.0","50","6344","0.07221179999760352","0.5","0.999999989271164","0.07566484596580267","0.2478125","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.5","0.5","0.5","0.25","0.5","0.5","0.5","25600","0.0","0.21799004778265954","0.0","9806562926328e58d3ac09d241641aa72f39cdc4e35159960b13a584ec6376f0","0.3281103102475713","controlled-middle","82121","120","52001","1.0","62001","0.32859375","True","15.12904750002781","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.0036957806965388727","plan-c","1.0","0.9999999988079071","primary","0","c5db85c890b74c2c38ad9fec1e3441ab33d09dd45fa344cb7dcf2395449a535b","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72001","controlled","0.2505263026058674","20549","0.0","1.0","this-work","0.0","1604","0","98edd313ed1435d36637a4ca27deacf008d13ba3c78cd39a97b65fa4b81f0ed1","16.0","stable-local-fallback","user_macro_accuracy","0.1889732142857143","4.901514315076063","1292001","1.0","50","25600","0.07244799999170937","0.5","0.0","0.0","0.0","0","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.5","0.5","0.5","0.25","0.5","0.5","0.5","25600","0.9999999988079071","0.2505263026058674","1.0","fedfd5e53c9e2df55e5181cd08ab1e01550eed0c6dc8fec6677edff5a8df9724","0.188498903165152","controlled-middle","82121","120","52001","1.0","62001","0.1889732142857143","True","17.53728069999488","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.003604257747772569","plan-c","1.0","0.9999999940395355","primary","0","00ea0f7ed2fa4c4aa03de510bfd681532d1fe8ddc0b61f3f659ccdb8b0fa8599","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72002","controlled","0.3233991003036499","20553","0.0","1.0","this-work","0.0","1675","0","3cd0eb7679584762c0de7e76e14125c0fe60bfc8de340bdcbc65c7785a40c8c3","15.990769230769232","stable-local-fallback","user_macro_accuracy","0.15848214285714285","4.901514315076063","1302001","1.0","50","25600","0.06612509995466098","0.5","0.0","0.0","0.0","0","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.24989179050642044","0.5","0.5","0.5","25600","0.9999999940395355","0.3233991003036499","1.0","3b79a9f604e3dca34b43b7a938b39d97eab4e9b12590e97fdc1308c4a0d8e63c","0.15872767157630838","controlled-middle","82122","121","52002","1.0","62002","0.15848214285714285","True","16.75761630004854","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.005831881329979145","plan-delta","2.0","0.9999999797344208","primary","0","00ea0f7ed2fa4c4aa03de510bfd681532d1fe8ddc0b61f3f659ccdb8b0fa8599","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72002","controlled","1.1975488184392453","21363","0.0","1.0","this-work","","1665","0","3cd0eb7679584762c0de7e76e14125c0fe60bfc8de340bdcbc65c7785a40c8c3","15.990769230769232","naive-recalibrated-2c","user_macro_accuracy","0.18582589285714285","4.901514315076063","1302001","2.0","50","25600","0.08227080010692589","0.5","0.9999999880790711","0.32892697034403684","0.2448046875","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.24989179050642044","0.5","0.5","0.5","25600","0.9999999880790711","0.9299510897696018","0.7551953125","7dc0a957a59b079c2fb4a2b0991219e1e4a5fee455d2f0d14219fe5727f31af6","0.18614854277655907","controlled-middle","82122","121","52002","2.0","62002","0.18582589285714285","True","15.36028649986838","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.0068834721031582925","plan-c","1.0","0.9999999797344208","diagnostic","0","00ea0f7ed2fa4c4aa03de510bfd681532d1fe8ddc0b61f3f659ccdb8b0fa8599","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72002","controlled","0.3262438198924065","21363","0.0","1.0","this-work","0.9","1665","0","3cd0eb7679584762c0de7e76e14125c0fe60bfc8de340bdcbc65c7785a40c8c3","15.990769230769232","unitscope-lambda-sweep","user_macro_accuracy","0.18080357142857142","4.901514315076063","1302001","1.0","50","25600","0.06871099994168617","0.5","0.9999999880790711","0.09378097105771303","0.2448046875","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.24989179050642044","0.5","0.5","0.5","25600","0.9999999880790711","0.265336085408926","0.7551953125","caaa6686b0657d4881100b88e81d6cff943abca2cfb448b85ab1470c0df0342c","0.18050767784393607","controlled-middle","82122","121","52002","1.0","62002","0.18080357142857142","True","17.60903950003558","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.0074986363289454745","plan-c","1.0","0.9999999880790711","primary","0","00ea0f7ed2fa4c4aa03de510bfd681532d1fe8ddc0b61f3f659ccdb8b0fa8599","6267","femnist","1e-05","20.516607800062047","25600","1665","0.2448046875","8.0","72002","controlled","0.3308291120827198","5242","0.0","1.0","this-work","1.0","0","0","3cd0eb7679584762c0de7e76e14125c0fe60bfc8de340bdcbc65c7785a40c8c3","15.990769230769232","handle-only-drop-residual","user_macro_accuracy","0.18283482142857144","4.901514315076063","1302001","1.0","50","6267","0.07742379995761439","0.5","0.9999999880790711","0.09311239646747708","0.2448046875","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.24989179050642044","0.5","0.5","0.5","25600","0.0","0.2704642526805401","0.0","deb3733f445d08548516bcf5fca82a76362d3e7362ac1bab0def85f840a5a5d0","0.18254465684738327","controlled-middle","82122","121","52002","1.0","62002","0.18283482142857144","True","26.264320299989777","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.006611455004580799","plan-c","1.0","0.9999999868869781","diagnostic","0","879db3624ecea46fec56e933b6df1d99e025878f0d25c04092ffb13a974ab100","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72003","controlled","0.2620549659430981","21275","0.0","1.0","this-work","0.9","1623","0","d0711aeea9ea55d42b351f299265b858a077d1f9c35bf8d9ab8ee9317b4acffc","15.990769230769232","unitscope-lambda-sweep","user_macro_accuracy","0.1075","4.901514315076063","1312001","1.0","50","25600","0.07450969982892275","0.5","0.9999999928474427","0.07882704798132181","0.2469140625","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.2501083032490975","0.5","0.5","0.5","25600","0.9999999916553497","0.21731944724917412","0.7530859375","45f6d88333cfcf4157d1dd4a6b2c5c2993ed8e999ae4dc761bf9b2c7b794c599","0.1075","controlled-middle","82123","122","52003","1.0","62003","0.1075","True","15.06764020016999","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.005195619394195646","plan-delta","2.0","0.9999999868869781","primary","0","879db3624ecea46fec56e933b6df1d99e025878f0d25c04092ffb13a974ab100","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72003","controlled","0.8636342476308346","21275","0.0","1.0","this-work","","1623","0","d0711aeea9ea55d42b351f299265b858a077d1f9c35bf8d9ab8ee9317b4acffc","15.990769230769232","naive-recalibrated-2c","user_macro_accuracy","0.175625","4.901514315076063","1312001","2.0","50","25600","0.21338030000333674","0.5","0.9999999928474427","0.24716130509972573","0.2469140625","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.2501083032490975","0.5","0.5","0.5","25600","0.9999999916553497","0.681141747534275","0.7530859375","7cfb2b4451eb9c4ab976d652e8479ec88f05a7dbbaba275ba5e6e14be9125cdf","0.175625","controlled-middle","82123","122","52003","2.0","62003","0.175625","True","21.437530899973353","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.0031200992792652276","plan-c","1.0","0.9999999976158143","primary","0","879db3624ecea46fec56e933b6df1d99e025878f0d25c04092ffb13a974ab100","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72003","controlled","0.2498667700588703","20555","0.0","1.0","this-work","0.0","1631","0","d0711aeea9ea55d42b351f299265b858a077d1f9c35bf8d9ab8ee9317b4acffc","15.990769230769232","stable-local-fallback","user_macro_accuracy","0.11703125","4.901514315076063","1312001","1.0","50","25600","0.06483569997362792","0.5","0.0","0.0","0.0","0","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.2501083032490975","0.5","0.5","0.5","25600","0.9999999976158143","0.2498667700588703","1.0","c84b892ae4696635f406b1d03f29b8ebe6502e82d2c89e1cbb4e09185bdfe049","0.11703125","controlled-middle","82123","122","52003","1.0","62003","0.11703125","True","16.955610400007572","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.00723598703535751","plan-c","1.0","0.9999999928474427","primary","0","879db3624ecea46fec56e933b6df1d99e025878f0d25c04092ffb13a974ab100","6321","femnist","1e-05","9.936320799955865","25600","1623","0.2469140625","8.0","72003","controlled","0.26413618206977846","5301","0.0","1.0","this-work","1.0","0","0","d0711aeea9ea55d42b351f299265b858a077d1f9c35bf8d9ab8ee9317b4acffc","15.990769230769232","handle-only-drop-residual","user_macro_accuracy","0.10546875","4.901514315076063","1312001","1.0","50","6321","0.07680770006845705","0.5","0.9999999928474427","0.07705063346773386","0.2469140625","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.2501083032490975","0.5","0.5","0.5","25600","0.0","0.22027162119746208","0.0","df3acfd2f958ce344b2bd00878477e18219973f98eda22ae918380b0d7e7fba2","0.10546875","controlled-middle","82123","122","52003","1.0","62003","0.10546875","True","19.55762679997133","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.005731154471110081","plan-delta","2.0","0.9999999833106995","primary","0","e59b38d82aee8c971cd725321a27fcb01f14fa0cf3d8fc0d0b67cd115d0bfe80","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72004","controlled","1.0687918037176132","21225","0.0","1.0","this-work","","1623","0","97318a4da9510f527307817eaefe9563a697732d58bf2935ccf9d62052980cb4","15.990769230769232","naive-recalibrated-2c","user_macro_accuracy","0.1971875","4.901514315076063","1322001","2.0","50","25600","0.07591189982485957","0.5","0.9999999868869781","0.3176095690205693","0.2497265625","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.24989179050642044","0.5","0.5","0.5","25600","0.999999989271164","0.822940524071455","0.7502734375","05e0dfd18f54b2ab118c41a64e20760ceeaf241ad4aabeb92ce98c88d86b8e2c","0.1971875","controlled-middle","82124","123","52004","2.0","62004","0.1971875","True","85.46652080016793","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.007159676458335568","plan-c","1.0","0.9999999833106995","diagnostic","0","e59b38d82aee8c971cd725321a27fcb01f14fa0cf3d8fc0d0b67cd115d0bfe80","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72004","controlled","0.2920879054069519","21225","0.0","1.0","this-work","0.9","1623","0","97318a4da9510f527307817eaefe9563a697732d58bf2935ccf9d62052980cb4","15.990769230769232","unitscope-lambda-sweep","user_macro_accuracy","0.25390625","4.901514315076063","1322001","1.0","50","25600","0.07160619995556772","0.5","0.9999999868869781","0.0856804608181119","0.2497265625","325","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.24989179050642044","0.5","0.5","0.5","25600","0.999999989271164","0.24217369750142098","0.7502734375","4cee09b915833e38b55269f3d14c392eb6b8ff6ee2b5b0320c6ed5a53870d338","0.25390625","controlled-middle","82124","123","52004","1.0","62004","0.25390625","True","21.14567730005365","credible-accuracy-epsilon8-v1",""
"6","1.0","1","0.0034855505898566687","plan-c","1.0","0.9999999976158143","primary","0","e59b38d82aee8c971cd725321a27fcb01f14fa0cf3d8fc0d0b67cd115d0bfe80","25600","femnist","1e-05","0.0","0","0","1.0","8.0","72004","controlled","0.2728202547132969","20485","0.0","1.0","this-work","0.0","1628","0","97318a4da9510f527307817eaefe9563a697732d58bf2935ccf9d62052980cb4","15.990769230769232","stable-local-fallback","user_macro_accuracy","0.2059375","4.901514315076063","1322001","1.0","50","25600","0.06547870006761514","0.5","0.0","0.0","0.0","0","","0378254090209392f4025d0a6affb75e397aa659e77d1acd456d0bce3b0e2cab","user-certified","512.0","0.4999384615384616","0.49995189069566054","0.5","0.24989179050642044","0.5","0.5","0.5","25600","0.9999999976158143","0.2728202547132969","1.0","6f2b29daf1f6b540c25bab3680c7b3f346c621efc70287f1fae0e8b18be10aeb","0.2059375","controlled-middle","82124","123","52004","1.0","62004","0.2059375","True","16.931781999912346","credible-accuracy-epsilon8-v1",""
