threshold,K,mean_d_w_empirical,p95_d_w_empirical,p99_d_w_empirical,max_d_w_empirical,max_changed_surviving_nodes,max_component_size,max_degree_observed,kappa_hc_conservative_observed_degree,worst_entity_id,fraction_d_w_le_4,fraction_d_w_le_8,fraction_d_w_le_16,pair_precision,pair_recall,pair_f1,predicted_pairs,true_positive_pairs,total_true_pairs,exact_multi_entity_recovery,disclaimer
0.72,2,2.341,6.0,6.0,9,2,16,8,228,528,0.8325,0.9985,1.0,0.9889807162534435,0.05490975833588253,0.10404289233444428,363,359,6538,0.29871244635193134,empirical deletion recourse is not a deterministic certificate
0.72,4,1.868,6.0,7.0,12,6,16,8,444,1105,0.827,0.996,1.0,0.9920283436669619,0.3426124197002141,0.5093224192814916,2258,2240,6538,0.6523605150214592,empirical deletion recourse is not a deterministic certificate
0.72,8,1.1945,2.0,10.0,17,11,16,8,876,1493,0.986,0.9865,0.9995,0.9926293863162955,0.9475374732334048,0.9695594334454966,6241,6195,6538,0.9244635193133047,empirical deletion recourse is not a deterministic certificate
0.72,16,1.0435,1.0,2.0,3,5,16,8,1740,597,1.0,1.0,1.0,0.9908541311424586,0.9776690119302539,0.9842174147355454,6451,6392,6538,0.9450643776824035,empirical deletion recourse is not a deterministic certificate
0.72,32,1.0435,1.0,2.0,3,5,16,8,3468,597,1.0,1.0,1.0,0.9908541311424586,0.9776690119302539,0.9842174147355454,6451,6392,6538,0.9450643776824035,empirical deletion recourse is not a deterministic certificate
0.76,2,2.3225,6.0,6.0,9,2,9,7,204,528,0.834,0.9995,1.0,0.9973404255319149,0.057356989905169777,0.10847555684119178,376,375,6538,0.30472103004291845,empirical deletion recourse is not a deterministic certificate
0.76,4,1.776,6.0,6.0,10,4,9,7,396,1616,0.839,0.9985,1.0,0.9995764506565015,0.3609666564698685,0.5303966737835712,2361,2360,6538,0.6721030042918454,empirical deletion recourse is not a deterministic certificate
0.76,8,1.0695,1.0,2.0,11,8,9,7,780,940,0.9965,0.9965,1.0,0.9990416866315285,0.9567145916182319,0.9774201109461678,6261,6255,6538,0.9313304721030042,empirical deletion recourse is not a deterministic certificate
0.76,16,1.0385,1.0,2.0,2,5,9,7,1548,740,1.0,1.0,1.0,0.9990483743061063,0.9634444784337718,0.9809234602507203,6305,6299,6538,0.936480686695279,empirical deletion recourse is not a deterministic certificate
0.76,32,1.0385,1.0,2.0,2,5,9,7,3084,740,1.0,1.0,1.0,0.9990483743061063,0.9634444784337718,0.9809234602507203,6305,6299,6538,0.936480686695279,empirical deletion recourse is not a deterministic certificate
0.8,2,2.3075,6.0,6.0,6,1,6,5,156,459,0.8355,1.0,1.0,0.9974226804123711,0.05919241358213521,0.11175281547790933,388,387,6538,0.3012875536480687,empirical deletion recourse is not a deterministic certificate
0.8,4,1.752,6.0,6.0,6,1,6,5,300,459,0.847,1.0,1.0,0.9995744680851064,0.3592841847659835,0.5285778577857786,2350,2349,6538,0.6446351931330472,empirical deletion recourse is not a deterministic certificate
0.8,8,1.0725,2.0,2.0,3,5,6,5,588,296,1.0,1.0,1.0,0.9990163934426229,0.932089323952279,0.9643931001740782,6100,6094,6538,0.8806866952789699,empirical deletion recourse is not a deterministic certificate
0.8,16,1.0725,2.0,2.0,3,5,6,5,1164,296,1.0,1.0,1.0,0.9990163934426229,0.932089323952279,0.9643931001740782,6100,6094,6538,0.8806866952789699,empirical deletion recourse is not a deterministic certificate
0.8,32,1.0725,2.0,2.0,3,5,6,5,2316,296,1.0,1.0,1.0,0.9990163934426229,0.932089323952279,0.9643931001740782,6100,6094,6538,0.8806866952789699,empirical deletion recourse is not a deterministic certificate
0.84,2,2.3095,6.0,6.0,6,0,6,5,156,459,0.8365,1.0,1.0,1.0,0.05827470174365249,0.11013152189622778,381,381,6538,0.2798283261802575,empirical deletion recourse is not a deterministic certificate
0.84,4,1.7435,6.0,6.0,6,0,6,5,300,459,0.86,1.0,1.0,1.0,0.36295503211991437,0.5326001571091908,2373,2373,6538,0.5957081545064378,empirical deletion recourse is not a deterministic certificate
0.84,8,1.129,2.0,2.0,3,5,6,5,588,316,1.0,1.0,1.0,0.9991278562707134,0.8761089018048333,0.9335832450493032,5733,5728,6538,0.7931330472103004,empirical deletion recourse is not a deterministic certificate
0.84,16,1.129,2.0,2.0,3,5,6,5,1164,316,1.0,1.0,1.0,0.9991278562707134,0.8761089018048333,0.9335832450493032,5733,5728,6538,0.7931330472103004,empirical deletion recourse is not a deterministic certificate
0.84,32,1.129,2.0,2.0,3,5,6,5,2316,316,1.0,1.0,1.0,0.9991278562707134,0.8761089018048333,0.9335832450493032,5733,5728,6538,0.7931330472103004,empirical deletion recourse is not a deterministic certificate
0.88,2,2.299,6.0,6.0,6,0,6,5,156,459,0.8365,1.0,1.0,1.0,0.061486693178342,0.11585014409221903,402,402,6538,0.2721030042918455,empirical deletion recourse is not a deterministic certificate
0.88,4,1.7325,6.0,6.0,6,0,6,5,300,459,0.873,1.0,1.0,1.0,0.36846130315081066,0.53850452665698,2409,2409,6538,0.5570815450643777,empirical deletion recourse is not a deterministic certificate
0.88,8,1.18,2.0,3.0,4,0,6,5,588,1707,1.0,1.0,1.0,1.0,0.8250229427959621,0.9041233657391887,5394,5394,6538,0.7201716738197425,empirical deletion recourse is not a deterministic certificate
0.88,16,1.18,2.0,3.0,4,0,6,5,1164,1707,1.0,1.0,1.0,1.0,0.8250229427959621,0.9041233657391887,5394,5394,6538,0.7201716738197425,empirical deletion recourse is not a deterministic certificate
0.88,32,1.18,2.0,3.0,4,0,6,5,2316,1707,1.0,1.0,1.0,1.0,0.8250229427959621,0.9041233657391887,5394,5394,6538,0.7201716738197425,empirical deletion recourse is not a deterministic certificate
