threshold,K,entity_id,deleted_atoms,touched_original_components,touched_original_nodes,deleted_group_tags,inserted_group_tags,d_w_empirical,changed_surviving_nodes
0.72,2,1496,1,1,16,1,0,1,0
0.72,2,552,5,1,5,5,0,5,0
0.72,2,988,3,1,3,3,0,3,0
0.72,2,1716,4,1,4,4,0,4,0
0.72,2,1213,1,1,1,1,0,1,0
0.72,2,193,1,1,1,1,0,1,0
0.72,2,264,3,1,3,3,0,3,0
0.72,2,1695,5,1,5,5,0,5,0
0.72,2,875,2,1,2,1,0,1,0
0.72,2,1778,3,1,3,3,0,3,0
0.72,2,1696,3,1,3,3,0,3,0
0.72,2,382,3,1,3,3,0,3,0
0.72,2,442,2,1,2,1,0,1,0
0.72,2,1671,5,1,5,5,0,5,0
0.72,2,1816,3,1,3,3,0,3,0
0.72,2,459,6,1,6,6,0,6,0
0.72,2,1881,3,1,3,3,0,3,0
0.72,2,729,2,1,2,1,0,1,0
0.72,2,575,5,1,5,5,0,5,0
0.72,2,1688,1,1,1,1,0,1,0
0.72,2,292,2,1,2,1,0,1,0
0.72,2,834,3,1,3,3,0,3,0
0.72,2,1943,2,1,2,1,0,1,0
0.72,2,1611,4,1,10,4,0,4,0
0.72,2,1706,4,1,4,4,0,4,0
0.72,2,462,1,1,1,1,0,1,0
0.72,2,1626,1,1,1,1,0,1,0
0.72,2,408,4,2,4,4,0,4,0
0.72,2,1224,2,1,2,1,0,1,0
0.72,2,1561,6,1,6,6,0,6,0
0.72,2,1723,4,1,4,4,0,4,0
0.72,2,182,1,1,1,1,0,1,0
0.72,2,1781,2,1,2,1,0,1,0
0.72,2,1614,2,1,2,1,0,1,0
0.72,2,885,6,1,6,6,0,6,0
0.72,2,1690,4,1,6,6,1,7,2
0.72,2,1217,5,1,5,5,0,5,0
0.72,2,1830,4,1,4,4,0,4,0
0.72,2,208,2,2,2,2,0,2,0
0.72,2,32,2,1,2,1,0,1,0
0.72,2,799,5,1,5,5,0,5,0
0.72,2,856,2,1,2,1,0,1,0
0.72,2,1128,6,2,6,6,0,6,0
0.72,2,365,3,1,3,3,0,3,0
0.72,2,642,6,1,6,6,0,6,0
0.72,2,854,2,1,2,1,0,1,0
0.72,2,421,6,1,6,6,0,6,0
0.72,2,1560,6,1,6,6,0,6,0
0.72,2,1929,3,1,3,3,0,3,0
0.72,2,1992,3,1,3,3,0,3,0
0.72,2,1693,3,1,3,3,0,3,0
0.72,2,665,2,1,2,1,0,1,0
0.72,2,501,1,1,1,1,0,1,0
0.72,2,1057,4,1,4,4,0,4,0
0.72,2,561,4,1,4,4,0,4,0
0.72,2,540,6,1,6,6,0,6,0
0.72,2,636,6,1,6,6,0,6,0
0.72,2,918,5,1,5,5,0,5,0
0.72,2,929,3,1,3,3,0,3,0
0.72,2,1489,4,1,5,4,0,4,0
0.72,2,427,6,1,6,6,0,6,0
0.72,2,15,1,1,1,1,0,1,0
0.72,2,316,6,1,6,6,0,6,0
0.72,2,1498,6,1,6,6,0,6,0
0.72,2,910,3,1,3,3,0,3,0
0.72,2,1355,2,1,2,1,0,1,0
0.72,2,1648,5,2,5,5,0,5,0
0.72,2,658,4,1,4,4,0,4,0
0.72,2,1190,3,1,3,3,0,3,0
0.72,2,1876,2,1,2,1,0,1,0
0.72,2,305,3,1,3,3,0,3,0
0.72,2,152,4,1,4,4,0,4,0
0.72,2,1829,3,1,3,3,0,3,0
0.72,2,805,5,1,5,5,0,5,0
0.72,2,480,3,1,3,3,0,3,0
0.72,2,1200,6,1,6,6,0,6,0
0.72,2,717,1,1,1,1,0,1,0
0.72,2,618,5,1,5,5,0,5,0
0.72,2,1509,2,1,2,1,0,1,0
0.72,2,1368,2,1,2,1,0,1,0
0.72,2,879,6,1,6,6,0,6,0
0.72,2,1668,5,2,5,5,0,5,0
0.72,2,794,2,1,2,1,0,1,0
0.72,2,1917,6,1,6,6,0,6,0
0.72,2,1081,3,1,3,3,0,3,0
0.72,2,568,3,1,3,3,0,3,0
0.72,2,1333,1,1,1,1,0,1,0
0.72,2,368,2,1,2,1,0,1,0
0.72,2,666,6,1,6,6,0,6,0
0.72,2,1991,6,1,6,6,0,6,0
0.72,2,1878,1,1,1,1,0,1,0
0.72,2,528,6,2,8,8,1,9,2
0.72,2,1180,2,1,2,1,0,1,0
0.72,2,1794,1,1,1,1,0,1,0
0.72,2,1130,3,1,3,3,0,3,0
0.72,2,569,5,1,5,5,0,5,0
0.72,2,860,2,1,2,1,0,1,0
0.72,2,1667,3,1,3,3,0,3,0
0.72,2,1337,5,1,5,5,0,5,0
0.72,2,1901,4,1,4,4,0,4,0
0.72,2,125,5,1,5,5,0,5,0
0.72,2,78,2,1,2,1,0,1,0
0.72,2,1685,1,1,1,1,0,1,0
0.72,2,1953,6,1,6,6,0,6,0
0.72,2,115,1,1,1,1,0,1,0
0.72,2,1068,1,1,1,1,0,1,0
0.72,2,1981,4,1,4,4,0,4,0
0.72,2,479,4,1,4,4,0,4,0
0.72,2,224,1,1,1,1,0,1,0
0.72,2,755,4,1,4,4,0,4,0
0.72,2,1511,3,1,3,3,0,3,0
0.72,2,1387,2,1,2,1,0,1,0
0.72,2,1093,1,1,1,1,0,1,0
0.72,2,1518,1,1,1,1,0,1,0
0.72,2,1014,4,1,4,4,0,4,0
0.72,2,824,5,1,5,5,0,5,0
0.72,2,718,1,1,1,1,0,1,0
0.72,2,285,1,1,1,1,0,1,0
0.72,2,1857,6,1,6,6,0,6,0
0.72,2,1590,2,1,2,1,0,1,0
0.72,2,1996,6,1,6,6,0,6,0
0.72,2,1540,5,1,5,5,0,5,0
0.72,2,935,6,1,6,6,0,6,0
0.72,2,1183,2,1,2,1,0,1,0
0.72,2,1062,5,1,5,5,0,5,0
0.72,2,256,6,1,6,6,0,6,0
0.72,2,1140,1,1,1,1,0,1,0
0.72,2,1895,5,1,8,5,0,5,0
0.72,2,401,6,1,10,6,0,6,0
0.72,2,571,3,1,3,3,0,3,0
0.72,2,133,6,1,6,6,0,6,0
0.72,2,1534,6,1,6,6,0,6,0
0.72,2,1566,5,1,5,5,0,5,0
0.72,2,165,3,1,3,3,0,3,0
0.72,2,1617,1,1,1,1,0,1,0
0.72,2,203,1,1,1,1,0,1,0
0.72,2,961,1,1,1,1,0,1,0
0.72,2,1610,5,1,5,5,0,5,0
0.72,2,1487,1,1,1,1,0,1,0
0.72,2,1446,2,1,2,1,0,1,0
0.72,2,118,3,1,3,3,0,3,0
0.72,2,486,2,1,2,1,0,1,0
0.72,2,1388,3,1,3,3,0,3,0
0.72,2,703,4,1,4,4,0,4,0
0.72,2,732,5,1,5,5,0,5,0
0.72,2,286,6,1,6,6,0,6,0
0.72,2,1031,1,1,1,1,0,1,0
0.72,2,13,2,1,2,1,0,1,0
0.72,2,299,4,1,4,4,0,4,0
0.72,2,1442,3,1,3,3,0,3,0
0.72,2,779,5,1,5,5,0,5,0
0.72,2,375,5,2,5,5,0,5,0
0.72,2,1883,6,1,6,6,0,6,0
0.72,2,1729,1,1,1,1,0,1,0
0.72,2,438,3,1,3,3,0,3,0
0.72,2,1232,6,1,6,6,0,6,0
0.72,2,245,4,1,4,4,0,4,0
0.72,2,1228,6,1,6,6,0,6,0
0.72,2,1347,1,1,1,1,0,1,0
0.72,2,1945,4,1,4,4,0,4,0
0.72,2,1454,2,1,2,1,0,1,0
0.72,2,306,3,1,3,3,0,3,0
0.72,2,1185,2,1,2,1,0,1,0
0.72,2,1346,1,1,1,1,0,1,0
0.72,2,907,3,1,3,3,0,3,0
0.72,2,443,5,1,5,5,0,5,0
0.72,2,361,4,1,4,4,0,4,0
0.72,2,891,2,1,2,1,0,1,0
0.72,2,1177,1,1,1,1,0,1,0
0.72,2,818,2,1,2,1,0,1,0
0.72,2,1845,1,1,1,1,0,1,0
0.72,2,1334,4,1,4,4,0,4,0
0.72,2,1113,4,1,4,4,0,4,0
0.72,2,332,6,1,6,6,0,6,0
0.72,2,1815,5,1,5,5,0,5,0
0.72,2,144,1,1,1,1,0,1,0
0.72,2,1903,3,1,3,3,0,3,0
0.72,2,853,3,1,3,3,0,3,0
0.72,2,1035,5,1,5,5,0,5,0
0.72,2,960,5,2,5,5,0,5,0
0.72,2,1124,6,1,6,6,0,6,0
0.72,2,517,6,1,6,6,0,6,0
0.72,2,1746,2,1,2,1,0,1,0
0.72,2,283,4,1,4,4,0,4,0
0.72,2,439,4,1,4,4,0,4,0
0.72,2,1967,6,1,6,6,0,6,0
0.72,2,71,6,1,6,6,0,6,0
0.72,2,1925,5,1,5,5,0,5,0
0.72,2,1109,6,1,6,6,0,6,0
0.72,2,1644,4,1,4,4,0,4,0
0.72,2,1157,3,1,3,3,0,3,0
0.72,2,738,6,1,6,6,0,6,0
0.72,2,362,4,2,4,4,0,4,0
0.72,2,1835,1,1,1,1,0,1,0
0.72,2,219,6,1,6,6,0,6,0
0.72,2,899,1,1,1,1,0,1,0
0.72,2,550,3,1,3,3,0,3,0
0.72,2,1407,3,1,3,3,0,3,0
0.72,2,1258,2,1,2,1,0,1,0
0.72,2,1343,4,1,4,4,0,4,0
0.72,2,1985,3,1,8,3,0,3,0
0.72,2,4,1,1,1,1,0,1,0
0.72,2,990,3,1,3,3,0,3,0
0.72,2,1570,1,1,1,1,0,1,0
0.72,2,410,4,1,4,4,0,4,0
0.72,2,1799,3,1,5,5,1,6,2
0.72,2,1852,2,1,2,1,0,1,0
0.72,2,1271,5,1,5,5,0,5,0
0.72,2,750,1,1,1,1,0,1,0
0.72,2,247,1,1,1,1,0,1,0
0.72,2,277,4,1,4,4,0,4,0
0.72,2,1191,5,1,5,5,0,5,0
0.72,2,1616,5,1,9,5,0,5,0
0.72,2,454,2,1,2,1,0,1,0
0.72,2,1236,5,1,5,5,0,5,0
0.72,2,108,4,1,4,4,0,4,0
0.72,2,1390,1,1,1,1,0,1,0
0.72,2,1111,6,1,6,6,0,6,0
0.72,2,1548,4,1,4,4,0,4,0
0.72,2,1452,1,1,1,1,0,1,0
0.72,2,1941,1,1,1,1,0,1,0
0.72,2,1776,1,1,1,1,0,1,0
0.72,2,1399,1,1,1,1,0,1,0
0.72,2,1577,1,1,1,1,0,1,0
0.72,2,147,6,2,6,6,0,6,0
0.72,2,1416,5,1,5,5,0,5,0
0.72,2,1539,3,1,12,3,0,3,0
0.72,2,250,1,1,1,1,0,1,0
0.72,2,397,3,1,3,3,0,3,0
0.72,2,1425,2,1,2,1,0,1,0
0.72,2,1707,6,1,6,6,0,6,0
0.72,2,1481,2,1,2,1,0,1,0
0.72,2,1076,3,1,3,3,0,3,0
0.72,2,1050,5,1,5,5,0,5,0
0.72,2,905,2,1,2,1,0,1,0
0.72,2,1811,3,1,3,3,0,3,0
0.72,2,436,1,1,1,1,0,1,0
0.72,2,497,5,1,5,5,0,5,0
0.72,2,1697,6,1,6,6,0,6,0
0.72,2,762,1,1,1,1,0,1,0
0.72,2,111,2,1,2,1,0,1,0
0.72,2,1554,2,1,2,1,0,1,0
0.72,2,1684,6,1,6,6,0,6,0
0.72,2,1478,4,1,4,4,0,4,0
0.72,2,1329,6,1,6,6,0,6,0
0.72,2,1341,2,1,2,1,0,1,0
0.72,2,686,2,1,2,1,0,1,0
0.72,2,288,5,1,5,5,0,5,0
0.72,2,1069,4,1,4,4,0,4,0
0.72,2,1353,3,1,3,3,0,3,0
0.72,2,761,2,1,2,1,0,1,0
0.72,2,302,3,1,10,3,0,3,0
0.72,2,704,1,1,1,1,0,1,0
0.72,2,1641,1,1,1,1,0,1,0
0.72,2,216,6,1,6,6,0,6,0
0.72,2,773,3,1,3,3,0,3,0
0.72,2,980,6,1,6,6,0,6,0
0.72,2,268,1,1,1,1,0,1,0
0.72,2,1951,3,1,3,3,0,3,0
0.72,2,607,4,1,4,4,0,4,0
0.72,2,10,4,1,4,4,0,4,0
0.72,2,888,1,1,1,1,0,1,0
0.72,2,1134,3,1,3,3,0,3,0
0.72,2,611,2,1,2,1,0,1,0
0.72,2,1304,4,1,4,4,0,4,0
0.72,2,876,6,1,6,6,0,6,0
0.72,2,1834,4,1,4,4,0,4,0
0.72,2,341,5,1,5,5,0,5,0
0.72,2,1042,3,1,3,3,0,3,0
0.72,2,1646,4,1,4,4,0,4,0
0.72,2,1745,5,1,5,5,0,5,0
0.72,2,75,6,2,6,6,0,6,0
0.72,2,676,5,1,5,5,0,5,0
0.72,2,527,1,1,1,1,0,1,0
0.72,2,1220,3,1,3,3,0,3,0
0.72,2,1589,4,1,4,4,0,4,0
0.72,2,941,6,1,6,6,0,6,0
0.72,2,1532,2,1,2,1,0,1,0
0.72,2,8,5,1,5,5,0,5,0
0.72,2,1537,1,1,1,1,0,1,0
0.72,2,1579,5,1,12,5,0,5,0
0.72,2,708,6,1,6,6,0,6,0
0.72,2,1320,6,1,6,6,0,6,0
0.72,2,582,6,1,6,6,0,6,0
0.72,2,160,6,1,6,6,0,6,0
0.72,2,1940,5,1,5,5,0,5,0
0.72,2,1988,2,1,2,1,0,1,0
0.72,2,723,4,1,4,4,0,4,0
0.72,2,1296,4,1,4,4,0,4,0
0.72,2,684,4,1,4,4,0,4,0
0.72,2,952,5,1,5,5,0,5,0
0.72,2,634,1,1,1,1,0,1,0
0.72,2,159,4,1,4,4,0,4,0
0.72,2,1451,4,1,4,4,0,4,0
0.72,2,5,2,1,2,1,0,1,0
0.72,2,1492,4,1,4,4,0,4,0
0.72,2,85,6,1,6,6,0,6,0
0.72,2,1308,1,1,1,1,0,1,0
0.72,2,1363,4,1,4,4,0,4,0
0.72,2,52,1,1,1,1,0,1,0
0.72,2,830,4,2,4,4,0,4,0
0.72,2,821,3,1,3,3,0,3,0
0.72,2,142,1,1,1,1,0,1,0
0.72,2,1301,3,1,3,3,0,3,0
0.72,2,576,5,1,5,5,0,5,0
0.72,2,585,1,1,1,1,0,1,0
0.72,2,11,1,1,1,1,0,1,0
0.72,2,894,1,1,1,1,0,1,0
0.72,2,904,6,1,6,6,0,6,0
0.72,2,771,5,1,5,5,0,5,0
0.72,2,1155,5,1,5,5,0,5,0
0.72,2,1897,4,1,9,4,0,4,0
0.72,2,1196,3,1,3,3,0,3,0
0.72,2,1958,1,1,1,1,0,1,0
0.72,2,526,4,1,16,4,0,4,0
0.72,2,1942,2,1,2,1,0,1,0
0.72,2,90,3,1,4,3,0,3,0
0.72,2,61,4,1,4,4,0,4,0
0.72,2,1536,2,1,2,1,0,1,0
0.72,2,629,4,1,4,4,0,4,0
0.72,2,1703,2,1,2,1,0,1,0
0.72,2,1694,5,1,5,5,0,5,0
0.72,2,35,6,1,6,6,0,6,0
0.72,2,107,6,1,6,6,0,6,0
0.72,2,1978,1,1,1,1,0,1,0
0.72,2,378,4,1,4,4,0,4,0
0.72,2,455,4,1,4,4,0,4,0
0.72,2,1006,4,1,4,4,0,4,0
