dataset,replicate,seed,method,metric_name,metric_value,people,records
femnist,19,119,unitscope-lambda-sweep,writer_macro_accuracy,0.165625,100,3200
femnist,19,119,stable-local-fallback,writer_macro_accuracy,0.1496875,100,3200
femnist,19,119,naive-recalibrated-2c,writer_macro_accuracy,0.1634375,100,3200
synthea,0,100,unitscope-lambda-sweep,patient_auprc,0.19184003980874587,735,1601
synthea,0,100,naive-recalibrated-2c,patient_auprc,0.18221767486467505,735,1601
synthea,0,100,stable-local-fallback,patient_auprc,0.1723420770292299,735,1601
synthea,0,100,handle-only-drop-residual,patient_auprc,0.19750845229264,735,1601
synthea,1,101,naive-recalibrated-2c,patient_auprc,0.3520013017517909,763,1659
synthea,1,101,unitscope-lambda-sweep,patient_auprc,0.33404778356898357,763,1659
synthea,1,101,stable-local-fallback,patient_auprc,0.26033886192114974,763,1659
synthea,1,101,handle-only-drop-residual,patient_auprc,0.3386541534941745,763,1659
synthea,2,102,unitscope-lambda-sweep,patient_auprc,0.2455937556776634,764,1504
synthea,2,102,stable-local-fallback,patient_auprc,0.23587334818478106,764,1504
synthea,2,102,handle-only-drop-residual,patient_auprc,0.24681440230232918,764,1504
synthea,2,102,naive-recalibrated-2c,patient_auprc,0.25528647856365994,764,1504
synthea,3,103,naive-recalibrated-2c,patient_auprc,0.25312148438897597,787,1761
synthea,3,103,stable-local-fallback,patient_auprc,0.2310230330020902,787,1761
synthea,3,103,unitscope-lambda-sweep,patient_auprc,0.26480454096235495,787,1761
synthea,3,103,handle-only-drop-residual,patient_auprc,0.269751255724731,787,1761
synthea,4,104,naive-recalibrated-2c,patient_auprc,0.3584780892187518,774,1603
synthea,4,104,stable-local-fallback,patient_auprc,0.1931734094988416,774,1603
synthea,4,104,handle-only-drop-residual,patient_auprc,0.31399421864613947,774,1603
synthea,4,104,unitscope-lambda-sweep,patient_auprc,0.30488795203404095,774,1603
synthea,5,105,handle-only-drop-residual,patient_auprc,0.208052740201971,773,1548
synthea,5,105,unitscope-lambda-sweep,patient_auprc,0.2061946809392198,773,1548
synthea,5,105,naive-recalibrated-2c,patient_auprc,0.2221852123361228,773,1548
synthea,5,105,stable-local-fallback,patient_auprc,0.18874739842509397,773,1548
synthea,6,106,handle-only-drop-residual,patient_auprc,0.285547013610175,759,1602
synthea,6,106,stable-local-fallback,patient_auprc,0.21580759684959872,759,1602
synthea,6,106,naive-recalibrated-2c,patient_auprc,0.3075078344064225,759,1602
synthea,6,106,unitscope-lambda-sweep,patient_auprc,0.28112268389832473,759,1602
synthea,7,107,naive-recalibrated-2c,patient_auprc,0.2183560165062216,778,1760
synthea,7,107,stable-local-fallback,patient_auprc,0.18922889674905816,778,1760
synthea,7,107,handle-only-drop-residual,patient_auprc,0.2080867994269649,778,1760
synthea,7,107,unitscope-lambda-sweep,patient_auprc,0.20576746255809292,778,1760
synthea,8,108,stable-local-fallback,patient_auprc,0.16063590321986954,767,1662
synthea,8,108,unitscope-lambda-sweep,patient_auprc,0.1724679013749717,767,1662
synthea,8,108,naive-recalibrated-2c,patient_auprc,0.21422425882233387,767,1662
synthea,8,108,handle-only-drop-residual,patient_auprc,0.176906503440535,767,1662
synthea,9,109,handle-only-drop-residual,patient_auprc,0.28058608035233756,778,1698
synthea,9,109,unitscope-lambda-sweep,patient_auprc,0.28022965132540756,778,1698
synthea,9,109,stable-local-fallback,patient_auprc,0.26732734581470263,778,1698
synthea,9,109,naive-recalibrated-2c,patient_auprc,0.29295918415605493,778,1698
synthea,10,110,unitscope-lambda-sweep,patient_auprc,0.2967563593037508,778,1699
synthea,10,110,stable-local-fallback,patient_auprc,0.2369510491677963,778,1699
synthea,10,110,naive-recalibrated-2c,patient_auprc,0.32762254437555416,778,1699
synthea,10,110,handle-only-drop-residual,patient_auprc,0.3033708756755839,778,1699
synthea,11,111,unitscope-lambda-sweep,patient_auprc,0.26055009268898954,769,1575
synthea,11,111,naive-recalibrated-2c,patient_auprc,0.21911645342209096,769,1575
synthea,11,111,handle-only-drop-residual,patient_auprc,0.2679537117594797,769,1575
synthea,11,111,stable-local-fallback,patient_auprc,0.21367270993470572,769,1575
synthea,12,112,naive-recalibrated-2c,patient_auprc,0.21976017646825816,786,1624
synthea,12,112,unitscope-lambda-sweep,patient_auprc,0.21339701925130738,786,1624
synthea,12,112,handle-only-drop-residual,patient_auprc,0.21395646845801375,786,1624
synthea,12,112,stable-local-fallback,patient_auprc,0.202417131187622,786,1624
synthea,13,113,stable-local-fallback,patient_auprc,0.19398264811346813,792,1647
synthea,13,113,unitscope-lambda-sweep,patient_auprc,0.24045097186249303,792,1647
synthea,13,113,handle-only-drop-residual,patient_auprc,0.25119110036478975,792,1647
synthea,13,113,naive-recalibrated-2c,patient_auprc,0.27030631829801016,792,1647
