dataset,contrast,mean_difference,ci_lower,ci_upper,zero_margin_hypothesis_supported,replicates
femnist,unitscope-lambda-sweep minus handle-only-drop-residual,-0.0036250000000000024,-0.004968750000000003,-0.0023281250000000025,False,20
synthea,unitscope-lambda-sweep minus handle-only-drop-residual,-0.0034397663357111337,-0.004873493289937771,-0.0020659233610959868,False,20
