dataset,method,frozen_mean,rerun_mean,difference,absolute_tolerance,pass
femnist,stable-local-fallback,0.13059120535714286,0.13058339285714288,-7.812499999981792e-06,0.0003125,True
femnist,handle-only-drop-residual,0.15815120535714283,0.15815901785714284,7.812500000009548e-06,0.0003125,True
femnist,unitscope-lambda-sweep,0.154895625,0.15494249999999998,4.687499999997402e-05,0.0003125,True
femnist,naive-recalibrated-2c,0.139769375,0.139831875,6.249999999999312e-05,0.0003125,True
synthea,stable-local-fallback,0.21589386753982814,0.21589386753982814,0.0,0.0011716461628588166,True
synthea,handle-only-drop-residual,0.26148392125583964,0.2614839744800192,5.32241795636601e-08,0.0011716461628588166,True
synthea,unitscope-lambda-sweep,0.2574513777672715,0.2574513847263602,6.959088694191706e-09,0.0011716461628588166,True
synthea,naive-recalibrated-2c,0.2654282663812514,0.2654282663812514,0.0,0.0011716461628588166,True
