dataset,replicate,seed,method,metric_name,metric_value,residual_norm_share,residual_clip_saturation_rate,residual_only_subgroup_metric,residual_only_subgroup_people,residual_only_subgroup_records,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,residual_clip_fraction,clip_fraction,noise_multiplier,epsilon,delta,rounds,run_id,config_hash,manifest_hash
femnist,3,103,unitscope-lambda-sweep,user_macro_accuracy,0.12578125,0.04353134483371325,1.0,0.1315625,100,3200,1.0,0.2493359375,0.7506640625,0.9999999928474427,0.9999999821186065,9.214933748786253,4.0,1e-05,,8364dd47bc251962e6adf65167ac5fc2637f496bc974eace362ba30e0fda383d,c9b21ce106d9a6c6b6db3ea050250841ea9d6039610cedd9bf2572e6bf3b6bb5,3b1708483824fb86a594facc2462e84258bd1b6abab832bcf40cf43220674f6a
femnist,3,103,handle-only-drop-residual,user_macro_accuracy,0.12765625,0.0,,0.134375,100,3200,0.2493359375,0.2493359375,0.0,0.0,0.9999999904632568,9.214933748786253,4.0,1e-05,,a2712f890e6f6da8e5ac304e65167a90e89f151ecc2c56c213c4ce8e190c91d6,c9b21ce106d9a6c6b6db3ea050250841ea9d6039610cedd9bf2572e6bf3b6bb5,3b1708483824fb86a594facc2462e84258bd1b6abab832bcf40cf43220674f6a
femnist,3,103,naive-recalibrated-2c,user_macro_accuracy,0.13828125,0.3152125400336808,1.0,0.14125,100,3200,1.0,0.2493359375,0.7506640625,0.9999999928474427,0.9999999821186065,9.214933748786253,4.0,1e-05,,efb9aa0fd7cebf490166c5e1f210608dec7fe6432943b801f9b506c2f7eef1f2,c9b21ce106d9a6c6b6db3ea050250841ea9d6039610cedd9bf2572e6bf3b6bb5,3b1708483824fb86a594facc2462e84258bd1b6abab832bcf40cf43220674f6a
femnist,4,104,unitscope-lambda-sweep,user_macro_accuracy,0.17609375,0.04307305656092009,1.0,0.1790625,100,3200,1.0,0.25140625,0.74859375,0.9999999904632568,0.9999999880790711,9.214933748786253,4.0,1e-05,,57e0381b2e46432254acbc3ad2d0c34c87a396db41caa4018346e7a7fbaac0e8,3a12ca0f02df062c7e9464a76ef6e87b2b5d288d904f18aea3e980dfd024b1d8,00cd605178dc805f6820b73a91d44209d92d4f52a97ad0fcde029f6a929132e1
femnist,4,104,naive-recalibrated-2c,user_macro_accuracy,0.1628125,0.31206871006414505,0.9995009980039921,0.1678125,100,3200,1.0,0.25140625,0.74859375,0.9995043754577637,0.999015451669693,9.214933748786253,4.0,1e-05,,69f6c6824d31956dffeedbcf7a4c2816ab4c3e812331219cb946427a3e6998a2,3a12ca0f02df062c7e9464a76ef6e87b2b5d288d904f18aea3e980dfd024b1d8,00cd605178dc805f6820b73a91d44209d92d4f52a97ad0fcde029f6a929132e1
femnist,4,104,handle-only-drop-residual,user_macro_accuracy,0.18015625,0.0,,0.184375,100,3200,0.25140625,0.25140625,0.0,0.0,0.9999999809265137,9.214933748786253,4.0,1e-05,,7a53675637fefe8b5f9487ef99b0215f93d9290261b2f893d3969c9d169f7985,3a12ca0f02df062c7e9464a76ef6e87b2b5d288d904f18aea3e980dfd024b1d8,00cd605178dc805f6820b73a91d44209d92d4f52a97ad0fcde029f6a929132e1
femnist,4,104,stable-local-fallback,user_macro_accuracy,0.16296875,1.0,1.0,0.166875,100,3200,1.0,0.0,1.0,0.9999999976158143,0.9999999976158143,9.214933748786253,4.0,1e-05,,e7b10b62ba3c2fc9ab11ab2dce6c4c48c9ced793c29ca66e5d9acacf2bebb0ef,3a12ca0f02df062c7e9464a76ef6e87b2b5d288d904f18aea3e980dfd024b1d8,00cd605178dc805f6820b73a91d44209d92d4f52a97ad0fcde029f6a929132e1
femnist,5,105,handle-only-drop-residual,user_macro_accuracy,0.17180803571428568,0.0,,0.175,100,3200,0.2518359375,0.2518359375,0.0,0.0,0.9999999797344208,9.214933748786253,4.0,1e-05,,594fa0293f8a6dd7d37541e2804957fd14dad67c5c43dfffa03e0fda29b76b17,d2d77f7dd2139fc916270934b0934f1f55d522817487fdc63f4f548640399132,4e39344da05c35ec2f84fdb6ffb597ce72be442a675ffde2a522ef6ecfa91adf
femnist,5,105,unitscope-lambda-sweep,user_macro_accuracy,0.16544642857142858,0.04128961003765113,1.0,0.168125,100,3200,1.0,0.2518359375,0.7481640625,0.9999999868869781,0.9999999833106995,9.214933748786253,4.0,1e-05,,e3655f6744e29c6da3fd5388a604836bc072a9f78f8f968bdba1ec3513088e6a,d2d77f7dd2139fc916270934b0934f1f55d522817487fdc63f4f548640399132,4e39344da05c35ec2f84fdb6ffb597ce72be442a675ffde2a522ef6ecfa91adf
femnist,5,105,naive-recalibrated-2c,user_macro_accuracy,0.1791517857142857,0.29964852070981357,0.9999371464487744,0.17375,100,3200,1.0,0.2518359375,0.7481640625,0.999935884475708,0.9996192240715027,9.214933748786253,4.0,1e-05,,ecf26d220892511a16bec0f0184757940e843e977bf33d3e32875a68ddaebcce,d2d77f7dd2139fc916270934b0934f1f55d522817487fdc63f4f548640399132,4e39344da05c35ec2f84fdb6ffb597ce72be442a675ffde2a522ef6ecfa91adf
femnist,5,105,stable-local-fallback,user_macro_accuracy,0.12825892857142857,1.0,1.0,0.125,100,3200,1.0,0.0,1.0,0.9999999952316284,0.9999999952316284,9.214933748786253,4.0,1e-05,,f7020b01d07777ec6872300cf655bb5a8e68251bf6eb1e6097f11aeee03ec9ea,d2d77f7dd2139fc916270934b0934f1f55d522817487fdc63f4f548640399132,4e39344da05c35ec2f84fdb6ffb597ce72be442a675ffde2a522ef6ecfa91adf
femnist,6,106,unitscope-lambda-sweep,user_macro_accuracy,0.2380580357142857,0.042679764735421705,1.0,0.23705357142857142,100,3175,1.0,0.2483984375,0.7516015625,0.9999999880790711,0.9999999809265137,9.214933748786253,4.0,1e-05,,377a06e2218e1c415360c81d76a9dcd309e0bd65a632ccfabdc30b3c46145eb4,cec0aa1bc970f70cdee4e2f87bb28a4905eea579d8dfd616c26937155829bc7f,f9382d91eb68e9f7b65b9ababc34ffaf01081814ad66e1ec2123b3341a5b9c74
femnist,6,106,naive-recalibrated-2c,user_macro_accuracy,0.2003098214285714,0.318503742006243,0.9997492163009405,0.19593214285714286,100,3175,1.0,0.2483984375,0.7516015625,0.9997492372989655,0.9996238744258881,9.214933748786253,4.0,1e-05,,3d097728d9d02b4f835c3242ddd6960a3fdc5141ca273904d6f91231650ea2c3,cec0aa1bc970f70cdee4e2f87bb28a4905eea579d8dfd616c26937155829bc7f,f9382d91eb68e9f7b65b9ababc34ffaf01081814ad66e1ec2123b3341a5b9c74
femnist,6,106,stable-local-fallback,user_macro_accuracy,0.19903928571428572,1.0,1.0,0.19776607142857142,100,3175,1.0,0.0,1.0,0.9999999976158143,0.9999999976158143,9.214933748786253,4.0,1e-05,,55d47a6b8190134dadb2a360c8661b6756d7e22ca08691eb57bd7e19cd0efdc3,cec0aa1bc970f70cdee4e2f87bb28a4905eea579d8dfd616c26937155829bc7f,f9382d91eb68e9f7b65b9ababc34ffaf01081814ad66e1ec2123b3341a5b9c74
femnist,6,106,handle-only-drop-residual,user_macro_accuracy,0.24212053571428568,0.0,,0.24174107142857143,100,3175,0.2483984375,0.2483984375,0.0,0.0,0.9999999904632568,9.214933748786253,4.0,1e-05,,f6cd788790551759c1f3205c63ed237082ad0e5b72831b14b4de5a281d8e7320,cec0aa1bc970f70cdee4e2f87bb28a4905eea579d8dfd616c26937155829bc7f,f9382d91eb68e9f7b65b9ababc34ffaf01081814ad66e1ec2123b3341a5b9c74
femnist,7,107,stable-local-fallback,user_macro_accuracy,0.14399375,1.0,1.0,0.1453125,100,3200,1.0,0.0,1.0,0.9999999952316284,0.9999999952316284,9.214933748786253,4.0,1e-05,,0b4de5ff3214d012669911bb09e9ac860a17cdf6c25f93e846f345f7615413ac,a098e656b1a398eed5bf12aedc48258d0ef09d4808cae682e11dadca8bd0b57c,512fe0ad7e1404137e018657c30c7e90df8e53c66e29410fea1e66724f5bf343
femnist,7,107,handle-only-drop-residual,user_macro_accuracy,0.20725000000000002,0.0,,0.2103125,100,3200,0.246875,0.246875,0.0,0.0,0.9999999833106995,9.214933748786253,4.0,1e-05,,81bf519cbd182bdafda104c9dc956e606f63189e9a7e6aa8019ac1f26ae673ef,a098e656b1a398eed5bf12aedc48258d0ef09d4808cae682e11dadca8bd0b57c,512fe0ad7e1404137e018657c30c7e90df8e53c66e29410fea1e66724f5bf343
femnist,7,107,naive-recalibrated-2c,user_macro_accuracy,0.2066,0.31812821614400794,0.9998757609640949,0.208125,100,3200,1.0,0.246875,0.753125,0.9998802304267883,0.9999069535732269,9.214933748786253,4.0,1e-05,,bee69f7a1edf278866518e7d8f5564891440862b86d6bb74cdf91b9fb646e6bf,a098e656b1a398eed5bf12aedc48258d0ef09d4808cae682e11dadca8bd0b57c,512fe0ad7e1404137e018657c30c7e90df8e53c66e29410fea1e66724f5bf343
femnist,7,107,unitscope-lambda-sweep,user_macro_accuracy,0.20615625,0.044968365589287365,1.0,0.209375,100,3200,1.0,0.246875,0.753125,0.9999999904632568,0.9999999773502349,9.214933748786253,4.0,1e-05,,c46e7c3889d28bf6c3c0b2065fc7515380dae34d129e348aa0d1051c707fa41e,a098e656b1a398eed5bf12aedc48258d0ef09d4808cae682e11dadca8bd0b57c,512fe0ad7e1404137e018657c30c7e90df8e53c66e29410fea1e66724f5bf343
