method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse
unitscope-tuned,this-work,user-certified,primary,1,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.0,-1.0548994110669773e-18,-3.4694469519536136e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.2446626361921118,0.0543460000044433,0.0003545236986979,0.0003896107826631
naive-recalibrated-2c,this-work,user-certified,primary,1,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.0,-1.0548994110669773e-18,-3.4694469519536136e-17,0.0,3.122502256758253e-17,2.0,2.0,plan-delta,2.0,1.0,0.2504168056018673,0.7495831943981327,0.7848730698769956,1.984807831198546,0.0682310999982291,0.0001861412549372,0.0002784818373264
full-identity-reference,oracle,oracle-assumption,full-identity-reference,1,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.0,-1.0548994110669773e-18,-3.4694469519536136e-17,0.0,3.122502256758253e-17,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,1.0,6.152632961737046,0.3791044999961741,0.0,1.4585911827834765e-05
non-private-reference,oracle,non-private,diagnostic,1,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.0,-1.0548994110669773e-18,-3.4694469519536136e-17,0.0,3.122502256758253e-17,,,non-private,0.0,1.0,0.0,0.0,0.0,inf,0.0475720999966142,0.0001379500758486,0.0001379500758486
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,1,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.4995,0.0,-1.0548994110669773e-18,-3.4694469519536136e-17,0.0,3.122502256758253e-17,,2.0,unsafe-diagnostic,1.0,1.0,0.2504168056018673,0.7495831943981327,0.7848730698769956,3.969615662397092,0.0758137999946484,0.0001861412549372,0.000217725634304
stable-local-fallback,this-work,user-certified,primary,2,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.484,0.0,1.154988925895715e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.1051820084478392,0.0506786000041756,0.0002974270203325,0.0003347230342958
handle-only-drop-residual,this-work,user-certified,primary,2,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.484,0.0,1.154988925895715e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,0.2498315363881401,0.2498315363881401,0.0,0.165,2.7306414419920397,0.0621868000016547,0.0003057367328774,0.0003559622248594
unitscope-equal,this-work,user-certified,primary,2,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.1428571428571428,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.484,0.0,1.154988925895715e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.2498315363881401,0.7501684636118598,1.0,1.2673936285416991,0.0672093000030145,0.0002822395359519,0.0003221034006256
unitscope-tuned,this-work,user-certified,primary,2,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.484,0.0,1.154988925895715e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.1051820084478392,0.068906300002709,0.0002974270203325,0.0003347230342958
naive-recalibrated-2c,this-work,user-certified,primary,2,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.484,0.0,1.154988925895715e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,2.0,2.0,plan-delta,2.0,1.0,0.2498315363881401,0.7501684636118598,0.7804364975019721,1.689212440448792,0.0616922000044724,0.0001900851505167,0.0003134018265076
full-identity-reference,oracle,oracle-assumption,full-identity-reference,2,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.484,0.0,1.154988925895715e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,1.0,5.397314953033132,0.3487485000077868,0.0,1.5944966299623317e-05
non-private-reference,oracle,non-private,diagnostic,2,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.484,0.0,1.154988925895715e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,,,non-private,0.0,1.0,0.0,0.0,0.0,inf,0.047300999998697,0.0001310097726748,0.0001310097726748
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,2,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.484,0.0,1.154988925895715e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,,2.0,unsafe-diagnostic,1.0,1.0,0.2498315363881401,0.7501684636118598,0.7804364975019721,3.378424880897584,0.0594879999989643,0.0001900851505167,0.0002357985222125
stable-local-fallback,this-work,user-certified,primary,3,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.508,0.0,-1.028711510114199e-18,-3.4694469519536136e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.2426967729710123,0.0556788999965647,0.0003081592329482,0.0003035198437984
