residual_fraction,zipf_exponent,rare_label_mass,lambda,residual_radius_over_C,signal_proxy,noise_sd_proxy,snr,detectable
0.2,1.2,0.3,0.5,0.08333333333333333,0.02041241452319315,0.7679166666666666,0.026581549026404538,False
0.2,1.2,0.5,0.5,0.08333333333333333,0.026352313834736494,0.7679166666666666,0.03431663223188692,False
0.2,1.2,0.7,0.5,0.08333333333333333,0.031180478223116176,0.7679166666666666,0.04060398683422617,False
0.2,1.2,0.9,0.5,0.08333333333333333,0.035355339059327376,0.7679166666666666,0.046040593457615686,False
0.2,2.0,0.3,0.5,0.08333333333333333,0.02041241452319315,0.7679166666666666,0.026581549026404538,False
0.2,2.0,0.5,0.5,0.08333333333333333,0.026352313834736494,0.7679166666666666,0.03431663223188692,False
0.2,2.0,0.7,0.5,0.08333333333333333,0.031180478223116176,0.7679166666666666,0.04060398683422617,False
0.2,2.0,0.9,0.5,0.08333333333333333,0.035355339059327376,0.7679166666666666,0.046040593457615686,False
0.2,3.0,0.3,0.5,0.08333333333333333,0.02041241452319315,0.7679166666666666,0.026581549026404538,False
0.2,3.0,0.5,0.5,0.08333333333333333,0.026352313834736494,0.7679166666666666,0.03431663223188692,False
0.2,3.0,0.7,0.5,0.08333333333333333,0.031180478223116176,0.7679166666666666,0.04060398683422617,False
0.2,3.0,0.9,0.5,0.08333333333333333,0.035355339059327376,0.7679166666666666,0.046040593457615686,False
0.4,1.2,0.3,0.5,0.08333333333333333,0.028867513459481287,0.7679166666666666,0.03759198714202664,False
0.4,1.2,0.5,0.5,0.08333333333333333,0.03726779962499649,0.7679166666666666,0.04853104671730417,False
0.4,1.2,0.7,0.5,0.08333333333333333,0.04409585518440984,0.7679166666666666,0.05742270886738124,False
0.4,1.2,0.9,0.5,0.08333333333333333,0.05,0.7679166666666666,0.0651112316874661,False
0.4,2.0,0.3,0.5,0.08333333333333333,0.028867513459481287,0.7679166666666666,0.03759198714202664,False
0.4,2.0,0.5,0.5,0.08333333333333333,0.03726779962499649,0.7679166666666666,0.04853104671730417,False
0.4,2.0,0.7,0.5,0.08333333333333333,0.04409585518440984,0.7679166666666666,0.05742270886738124,False
0.4,2.0,0.9,0.5,0.08333333333333333,0.05,0.7679166666666666,0.0651112316874661,False
0.4,3.0,0.3,0.5,0.08333333333333333,0.028867513459481287,0.7679166666666666,0.03759198714202664,False
0.4,3.0,0.5,0.5,0.08333333333333333,0.03726779962499649,0.7679166666666666,0.04853104671730417,False
0.4,3.0,0.7,0.5,0.08333333333333333,0.04409585518440984,0.7679166666666666,0.05742270886738124,False
0.4,3.0,0.9,0.5,0.08333333333333333,0.05,0.7679166666666666,0.0651112316874661,False
0.6,1.2,0.3,0.5,0.08333333333333333,0.035355339059327376,0.7679166666666666,0.046040593457615686,False
0.6,1.2,0.5,0.5,0.08333333333333333,0.04564354645876384,0.7679166666666666,0.0594381505702839,False
0.6,1.2,0.7,0.5,0.08333333333333333,0.05400617248673216,0.7679166666666666,0.0703281681867375,False
0.6,1.2,0.9,0.5,0.08333333333333333,0.06123724356957945,0.7679166666666666,0.07974464707921362,False
0.6,2.0,0.3,0.5,0.08333333333333333,0.035355339059327376,0.7679166666666666,0.046040593457615686,False
0.6,2.0,0.5,0.5,0.08333333333333333,0.04564354645876384,0.7679166666666666,0.0594381505702839,False
0.6,2.0,0.7,0.5,0.08333333333333333,0.05400617248673216,0.7679166666666666,0.0703281681867375,False
0.6,2.0,0.9,0.5,0.08333333333333333,0.06123724356957945,0.7679166666666666,0.07974464707921362,False
0.6,3.0,0.3,0.5,0.08333333333333333,0.035355339059327376,0.7679166666666666,0.046040593457615686,False
0.6,3.0,0.5,0.5,0.08333333333333333,0.04564354645876384,0.7679166666666666,0.0594381505702839,False
0.6,3.0,0.7,0.5,0.08333333333333333,0.05400617248673216,0.7679166666666666,0.0703281681867375,False
0.6,3.0,0.9,0.5,0.08333333333333333,0.06123724356957945,0.7679166666666666,0.07974464707921362,False
